I.	NE	I.
De	NE	De
Nothwendigkeit	NN	Nothwendigkeit
der	ART	die
Darstellung	NN	Darstellung
,	$,	,
von	APPR	von
welcher	PRELS	welche
hier	ADV	hier
die	ART	die
Rede	NN	Rede
ist	VAFIN	sein
,	$,	,
soll	VMFIN	sollen
und	KON	und
darf	VMFIN	dürfen
nicht	PTKNEG	nicht
aus	APPR	aus
dem	ART	die
Correlat	NN	Correlat
derselben	PDS	dieselbe
,	$,	,
aus	APPR	aus
dem	ART	die
Begriff	NN	Begriff
der	ART	die
Vorstellung	NN	Vorstellung
genommen	VVPP	nehmen
werden	VAFIN	werden
,	$,	,
denn	KON	denn
dies	PDS	dies
wuͤrde	VVFIN	wuͤrde
,	$,	,
wenn	KOUS	wenn
es	PPER	es
auch	ADV	auch
an	APPR	an
sich	PRF	sich
moͤglich	ADJD	moͤglich
waͤre	VVFIN	waͤre
,	$,	,
in	APPR	in
einen	ART	eine
Zirkel	NN	Zirkel
verwickeln	VVFIN	verwickeln
,	$,	,
–	$(	-
sondern	KON	sondern
aus	APPR	aus
einem	ART	eine
Beduͤrfnisse	NN	Beduͤrfnisse
der	ART	die
Vernunft	NN	Vernunft
und	KON	und
Intelligenz	NN	Intelligenz
selbst	ADV	selbst
.	$.	.
2	CARD	@card@
)	$(	)
Es	NN	Es
kann	VMFIN	können
aber	ADV	aber
hier	ADV	hier
nur	ADV	nur
die	ART	die
Rede	NN	Rede
davon	PAV	davon
seyn	ADJD	seyn
,	$,	,
wie	KOUS	wie
diese	PDAT	dies
Intelligenz	NN	Intelligenz
erscheint	VVFIN	erscheinen
,	$,	,
ohngeachtet	VVFIN	ohngeachtet
die	ART	die
absolute	ADJA	absolut
Intelligenz	NN	Intelligenz
zum	APPRART	zu+die
Grunde	NN	Grund
gelegt	VVPP	legen
wird	VAFIN	werden
.	$.	.
Mit	APPR	mit
andern	PIAT	andere
Worten	NN	Wort
:	$.	:
Die	ART	die
Darstellung	NN	Darstellung
ist	VAFIN	sein
nur	ADV	nur
eine	ART	eine
Folge	NN	Folge
der	ART	die
Erscheinung	NN	Erscheinung
der	ART	die
Intelligenz	NN	Intelligenz
und	KON	und
einer	ART	eine
bestimmten	ADJA	bestimmt
Erscheinung	NN	Erscheinung
.	$.	.
3	CARD	@card@
)	$(	)
Es	NN	Es
erscheint	VVFIN	erscheinen
aber	ADV	aber
die	ART	die
Intelligenz	NN	Intelligenz
in	APPR	in
zwei	CARD	zwei
Formen	NN	Form
.	$.	.
Bewußtlos	ADJD	bewusstlos
als	KOKOM	als
Natur	NN	Natur
und	KON	und
mit	APPR	mit
Bewußtseyn	NE	Bewußtseyn
.	$.	.
Die	ART	die
Darstellung	NN	Darstellung
,	$,	,
weil	KOUS	weil
sie	PPER	sie
Vorstellungen	NN	Vorstellung
zum	APPRART	zu+die
Objecte	NN	Objecte
hat	VAFIN	haben
,	$,	,
bezieht	VVFIN	beziehen
sich	PRF	sich
lediglich	ADV	lediglich
auf	APPR	auf
die	ART	die
Erscheinung	NN	Erscheinung
der	ART	die
Intelligenz	NN	Intelligenz
,	$,	,
sofern	KOUS	sofern
sie	PPER	sie
sich	PRF	sich
ihrer	PPOSAT	ihr
selbst	ADV	selbst
bewußt	ADJD	bewusst
ist	VAFIN	sein
,	$,	,
sofern	KOUS	sofern
sie	PPER	sie
Vorstellung	NN	Vorstellung
producirt	VVFIN	producirt
.	$.	.
4	CARD	@card@
)	$(	)
.	$.	.
Die	ART	die
Intelligenz	NN	Intelligenz
,	$,	,
welche	PRELS	welche
sich	PRF	sich
ihrer	PPOSAT	ihr
bewußt	ADJD	bewusst
ist	VAFIN	sein
,	$,	,
erscheint	VVFIN	erscheinen
in	APPR	in
einer	ART	eine
Menge	NN	Menge
Individuen	NN	Individuum
