Einleitung	NN	Einleitung
.	$.	.
Die	ART	die
Welt	NN	Welt
.	$.	.
§	NN	§
.	$.	.
1	CARD	@card@
.	$.	.
Die	ART	die
Welt	NN	Welt
in	APPR	in
der	ART	die
umfassendsten	ADJA	umfassend
Bedeutung	NN	Bedeutung
ist	VAFIN	sein
der	ART	die
Inbegriff	NN	Inbegriff
aller	PIAT	alle
Erscheinungen	NN	Erscheinung
außer	APPR	außer
uns	PPER	wir
.	$.	.
Dahin	PAV	dahin
gehoͤrt	VVFIN	gehoͤrt
die	ART	die
Erde	NN	Erde
mit	APPR	mit
ihren	PPOSAT	ihr
tausend	CARD	tausend
Wundern	NN	Wunder|Wundern
,	$,	,
die	ART	die
Kraͤfte	NN	Kraͤfte
der	ART	die
Natur	NN	Natur
,	$,	,
der	ART	die
Stern	NN	Stern
des	ART	die
Himmels	NN	Himmel
,	$,	,
der	ART	die
Raͤume	NN	Raͤume
Unermeßlichkeit	NN	Unermesslichkeit
–	$(	-
ja	ADV	ja
selbst	ADV	selbst
der	ART	die
Mensch	NN	Mensch
.	$.	.
Darum	PAV	darum
sagen	VVFIN	sagen
wir	PPER	wir
„	$(	„
die	ART	die
boͤse	NN	boͤse
Welt	NN	Welt
“	$(	“
und	KON	und
meinen	VVFIN	meinen
darunter	PAV	darunter
nur	ADV	nur
andere	PIAT	andere
Menschen	NN	Mensch
als	KOKOM	als
wir	PPER	wir
sind	VAFIN	sein
.	$.	.
Die	ART	die
Welt	NN	Welt
in	APPR	in
dieser	PDAT	dies
Bedeutung	NN	Bedeutung
schließt	VVFIN	schließen
also	ADV	also
Alles	NN	All
in	APPR	in
sich	PRF	sich
ein	PTKVZ	ein
,	$,	,
was	PRELS	was
ein	ART	eine
außer	APPR	außer
dem	ART	die
Menschen	NN	Mensch
(	$(	(
der	PRELS	die
denkt	VVFIN	denken
)	$(	)
gelegener	ADJA	gelegen
Gegenstand	NN	Gegenstand
des	ART	die
Denkens	NN	Denken
seyn	NE	seyn
kann	VMFIN	können
.	$.	.
(	$(	(
Welt	NN	Welt
=	$(	=
Sinnenwelt	NN	Sinnenwelt
.	$.	.
)	$(	)
Der	ART	die
Mensch	NN	Mensch
.	$.	.
§	NN	§
.	$.	.
2	CARD	@card@
.	$.	.
Gott	NN	Gott
hat	VAFIN	haben
ein	ART	eine
Wesen	NN	Wesen
geschaffen	VVPP	schaffen
,	$,	,
welches	PWAT	welche
uͤber	NN	uͤber
alle	PIAT	alle
Erscheinungen	NN	Erscheinung
außer	APPR	außer
sich	PRF	sich
denken	VVINF	denken
kann	VMFIN	können
,	$,	,
und	KON	und
sogar	ADV	sogar
im	APPRART	in+die
Stande	NN	Stand
ist	VAFIN	sein
,	$,	,
Erscheinungen	NN	Erscheinung
in	APPR	in
sich	PRF	sich
selbst	ADV	selbst
hervorzubringen	VVIZU	hervorbringen
,	$,	,
die	PRELS	die
ebenfalls	ADV	ebenfalls
ein	ART	eine
Gegenstand	NN	Gegenstand
