Titel	NN	Titel
I.	NE	I.
Von	APPR	von
der	ART	die
Bildung	NN	Bildung
und	KON	und
Eintheilung	NN	Eintheilung
der	ART	die
Gemeinden	NN	Gemeinde
.	$.	.
Art	NN	Art
.	$.	.
I.	APPR	in
Die	ART	die
gegenwärtige	ADJA	gegenwärtig
Bildung	NN	Bildung
und	KON	und
Zusammensetzung	NN	Zusammensetzung
der	ART	die
Gemeinden	NN	Gemeinde
ist	VAFIN	sein
die	ART	die
Grundlage	NN	Grundlage
der	ART	die
Gemeindeeintheilung	NN	Gemeindeeintheilung
des	ART	die
Großherzogthums	NN	Großherzogthums
.	$.	.
Art	NN	Art
.	$.	.
2	CARD	@card@
.	$.	.
Jede	PIAT	jede
Gemeinde	NN	Gemeinde
soll	VMFIN	sollen
mit	APPR	mit
einem	ART	eine
bestimmten	ADJA	bestimmt
umgränzten	ADJA	umgränzten
Bezirk	NN	Bezirk
,	$,	,
welcher	PRELS	welche
die	ART	die
Gemarkung	NN	Gemarkung
heißt	VVFIN	heißen
,	$,	,
versehen	VVFIN	versehen
seyn	NE	seyn
,	$,	,
Ausnahmsweise	ADV	ausnahmsweise
kann	VMFIN	können
,	$,	,
wenn	KOUS	wenn
zwei	CARD	zwei
Gemeinden	NN	Gemeinde
eine	ART	eine
gemeinschaftliche	ADJA	gemeinschaftlich
Gemarkung	NN	Gemarkung
haben	VAFIN	haben
,	$,	,
und	KON	und
in	APPR	in
diesem	PDAT	dies
Zustande	NN	Zustand
zu	PTKZU	zu
verbleiben	VVINF	verbleiben
wünschen	VVFIN	wünschen
,	$,	,
die	ART	die
Staats	NN	Staat
=	$(	=
Regierung	NN	Regierung
diesem	PDAT	dies
Wunsche	NN	Wunsch
entsprechen	VVFIN	entsprechen
.	$.	.
Art	NN	Art
.	$.	.
3	CARD	@card@
.	$.	.
Keine	PIAT	keine
Gemeinde	NN	Gemeinde
darf	VMFIN	dürfen
sich	PRF	sich
bilden	VVINF	bilden
,	$,	,
umgestalten	VVINF	umgestalten
oder	KON	oder
auflösen	VVFIN	auflösen
,	$,	,
ohne	KOUI	ohne
Bewilligung	NN	Bewilligung
der	ART	die
Staats	NN	Staat
=	$(	=
Regierung	NN	Regierung
.	$.	.
Art	NN	Art
.	$.	.
4	CARD	@card@
.	$.	.
Einzelne	ADJA	einzeln
