*	XY	*
Breslau	NE	Breslau
,	$,	,
vom	APPRART	von+die
31	CARD	@card@
.	$.	.
März	NN	März
.	$.	.
Zur	APPRART	zu+die
Gedaͤchtnißfeier	NN	Gedaͤchtnißfeier
des	ART	die
Einzuges	NN	Einzug
in	APPR	in
Paris	NE	Paris
,	$,	,
ward	VVFIN	werd
heute	ADV	heute
von	APPR	von
der	ART	die
ganzen	ADJA	ganz
hiesigen	ADJA	hiesig
Garnison	NN	Garnison
ein	ART	eine
feierlicher	ADJA	feierlich
Gottesdienst	NN	Gottesdienst
abgehalten	VVPP	abhalten
,	$,	,
bei	APPR	bei
welchem	PRELS	welche
der	ART	die
Divisionsprediger	NN	Divisionsprediger
Hennecke	NE	Hennecke
eine	PIS	eine
der	ART	die
Feier	NN	Feier
des	ART	die
Tages	NN	Tag
angemessene	ADJA	angemessen
Rede	NN	Rede
hielt	VVFIN	halten
.	$.	.
Hierauf	PAV	hierauf
war	VAFIN	sein
große	ADJA	groß
Parade	NN	Parade
.	$.	.
Se	NE	se
.	$.	.
Excellenz	NN	Excellenz
der	ART	die
kommandirende	ADJA	kommandirende
General	NN	General
Graf	NE	Graf
von	APPR	von
Zieten	NN	Zieten
gaben	VVFIN	geben
große	ADJA	groß
Mittagstafel	NN	Mittagstafel
.	$.	.
