Oesterreich	NN	Oesterreich
.	$.	.
Innsbruck	NE	Innsbruck
,	$,	,
den	ART	die
21	CARD	@card@
.	$.	.
Oktober	NN	Oktober
.	$.	.
Uebersicht	NN	Uebersicht
der	ART	die
hier	ADV	hier
durchmarschirenden	ADJA	durchmarschirenden
Truppen	NN	Truppe
:	$.	:
Am	APPRART	an+die
20	CARD	@card@
.	$.	.
Oktober	NN	Oktober
die	ART	die
12te	ADJA	12te
Kompagnie	NN	Kompagnie
vom	APPRART	von+die
1sten	NN	1sten
Artillerie	NN	Artillerie
=	$(	=
Regiment	NN	Regiment
,	$,	,
am	APPRART	an+die
21sten	ADJA	21sten
der	ART	die
Regimentsstab	NN	Regimentsstab
von	APPR	von
Erzherz	NN	Erzherz
.	$.	.
Ludwig	NE	Ludwig
Infanterie	NN	Infanterie
,	$,	,
bleibt	VVFIN	bleiben
in	APPR	in
Innsbruck	NE	Innsbruck
.	$.	.
Am	APPRART	an+die
23	CARD	@card@
.	$.	.
Oktober	NN	Oktober
die	ART	die
2te	ADJA	2te
(	$(	(
Majors	NN	Major
=	$(	=
)	$(	)
Division	NN	Division
von	APPR	von
Windischgraͤtz	NN	Windischgraͤtz
Chevaurlegers	NN	Chevaurlegers
durchmarschirend	ADJD	durchmarschirend
,	$,	,
und	KON	und
fuͤr	ADJA	fuͤr
Telfs	NN	Telfs
und	KON	und
Konkurrenz	NN	Konkurrenz
bestimmt	VVPP	bestimmen
;	$.	;
dann	ADV	dann
eine	ART	eine
6	CARD	@card@
pfuͤndige	ADJA	pfuͤndige
Fußbatterie	NN	Fußbatterie
Nr.	NN	Nr.
11	CARD	@card@
durchmarschirend	ADJD	durchmarschirend
.	$.	.
Am	APPRART	an+die
25	CARD	@card@
.	$.	.
Oktober	NN	Oktober
das	ART	die
1ste	NN	1ste
Bataillon	NN	Bataillon
mit	APPR	mit
Regimentsstab	NN	Regimentsstab
von	APPR	von
Graf	NE	Graf
Rugent	NE	Rugent
Infanterie	NN	Infanterie
Nro	NN	Nro
.	$.	.
30	CARD	@card@
,	$,	,
bleibend	ADJD	bleibend
in	APPR	in
Innsbruck	NE	Innsbruck
und	KON	und
den	ART	die
umliegenden	ADJA	umliegend
Gemeinden	NN	Gemeinde
,	$,	,
naͤmlich	ADJD	naͤmlich
:	$.	:
