Straf	VVIMP	strafen
=	$(	=
Urtheil	NN	Urtheil
.	$.	.
–	$(	-
Durch	APPR	durch
Urtheil	NN	Urtheil
des	ART	die
Tribunals	NN	Tribunal
von	APPR	von
Bonn	NE	Bonn
ward	VVFIN	werd
Peter	NE	Peter
Piel	NE	Piel
,	$,	,
Tagloͤhner	NN	Tagloͤhner
,	$,	,
zu	APPR	zu
Lengsdorf	NN	Lengsdorf
im	APPRART	in+die
Landkanton	NN	Landkanton
Bonn	NE	Bonn
,	$,	,
wohnhaft	ADJD	wohnhaft
,	$,	,
bezuͤchtiget	VVFIN	bezuͤchtiget
,	$,	,
Bohnenstangen	NN	Bohnenstange
mit	APPR	mit
den	ART	die
Bohnen	NN	Bohne
auf	APPR	auf
einem	ART	eine
Felde	NN	Feld
gestohlen	VVPP	stehlen
zu	PTKZU	zu
haben	VAINF	haben
,	$,	,
welches	PWAT	welche
dem	ART	die
Herrmann	NE	Herrmann
Weingaͤrtner	NE	Weingaͤrtner
und	KON	und
Joachim	NE	Joachim
Limbach	NE	Limbach
zugehoͤrt	VVFIN	zugehoͤrt
,	$,	,
zu	APPR	zu
einer	ART	eine
Geldbuße	NN	Geldbuße
von	APPR	von
5	CARD	@card@
Franken	NN	Franke
,	$,	,
einer	ART	eine
aͤhnlichen	ADJA	aͤhnlichen
Summe	NN	Summe
Schadenersatz	NN	Schadenersatz
,	$,	,
und	KON	und
zu	APPR	zu
den	ART	die
auf	APPR	auf
8	CARD	@card@
Fr.	NN	Freitag
80	CARD	@card@
Ct	NN	Ct
.	$.	.
liquidirten	NN	liquidirten
Kosten	NN	Kosten
verdammt	VVPP	verdammen
.	$.	.
