*	XY	*
†	ADJA	†
Aus	NN	Aus
der	ART	die
Pfalz	NE	Pfalz
.	$.	.
Die	ART	die
„	$(	„
Pfälzer	NN	Pfälzer
Ztg	NE	Ztg
.	$.	.
”	ADJD	”
enthält	VVFIN	enthalten
in	APPR	in
Nro	NN	Nro
.	$.	.
55	CARD	@card@
einen	ART	eine
durch	APPR	durch
die	ART	die
Klagen	NN	Klage|Klagen
über	APPR	über
den	ART	die
herrschenden	ADJA	herrschend
Nothstand	NN	Nothstand
veranlaßten	ADJA	veranlasst
Artikel	NN	Artikel
,	$,	,
der	PRELS	die
unverkennbar	ADJD	unverkennbar
namentlich	ADJD	namentlich
gegen	APPR	gegen
verschiedene	ADJA	verschieden
Andeutungen	NN	Andeutung
in	APPR	in
der	ART	die
Speyr	NN	Speyr
.	$.	.
Ztg	NE	Ztg
.	$.	.
gerichtet	VVPP	richten
ist	VAFIN	sein
,	$,	,
und	KON	und
durch	APPR	durch
welchen	PIS	welche
u.	APPR	um
a.	ADJA	a.
dargethan	NN	dargethan
werden	VAINF	werden
soll	VMFIN	sollen
:	$.	:
daß	KOUS	dass
eine	ART	eine
solche	PIAT	solche
Noth	NE	Noth
,	$,	,
wie	KOKOM	wie
man	PIS	man
behaupte	VVFIN	behaupten
,	$,	,
gar	ADV	gar
nicht	PTKNEG	nicht
vorhanden	ADJD	vorhanden
,	$,	,
sondern	KON	sondern
nur	ADV	nur
eine	ART	eine
„	$(	„
angebliche	ADJA	angeblich
”	NN	”
sei	VAFIN	sein
;	$.	;
daß	KOUS	dass
,	$,	,
wer	PWS	wer
mehr	ADV	mehr
verlange	VVFIN	verlangen
,	$,	,
als	KOUS	als
von	APPR	von
der	ART	die
Regierung	NN	Regierung
gethan	NN	gethan
worden	VAPP	werden
,	$,	,
Unmögliches	NN	Unmögliche
begehre	VVFIN	begehren
und	KON	und
communistische	ADJA	communistische
Forderungen	NN	Forderung
erhebe	VVFIN	erheben
,	$,	,
und	KON	und
daß	KOUS	dass
Diejenigen	PDS	diejenigen
gerade	ADV	gerade
die	ART	die
größten	ADJA	groß
Anforderungen	NN	Anforderung
an	APPR	an
die	ART	die
Regierung	NN	Regierung
machten	VVFIN	machen
,	$,	,
welche	PRELS	welche
ihr	PPER	ihr
die	ART	die
Steuern	NN	Steuer
zur	APPRART	zu+die
Befriedigung	NN	Befriedigung
der	ART	die
„	$(	„
nothwendigsten	ADJA	nothwendigsten
Staatsbedürfniße	NN	Staatsbedürfniße
”	NN	”
verweigerten	VVFIN	verweigern
.	$.	.
Darauf	PAV	darauf
wenigstens	ADV	wenigstens
eine	ART	eine
kurze	ADJA	kurz
Erinnerung	NN	Erinnerung
.	$.	.
Wir	PPER	wir
überlassen	VVFIN	überlassen
der	ART	die
Pfälzer	NN	Pfälzer
Ztg	NE	Ztg
.	$.	.
recht	ADJD	recht
gerne	ADV	gerne
,	$,	,
zu	APPR	zu
demonstriren	NN	demonstriren
,	$,	,
daß	KOUS	dass
gar	ADV	gar
keine	PIAT	keine
allgemeine	ADJA	allgemein
Noth	NE	Noth
vorhanden	ADJD	vorhanden
sei	VAFIN	sein
,	$,	,
und	KON	und
daß	KOUS	dass
die	ART	die
seit	APPR	seit
Monaten	NN	Monat
herrschenden	ADJA	herrschend
Lebensmittelpreise	NN	Lebensmittelpreis
noch	ADV	noch
gar	ADV	gar
nicht	PTKNEG	nicht
eine	ART	eine
besondere	ADJA	besonder
Höhe	NN	Höhe
erreicht	VVPP	erreichen
haben	VAFIN	haben
;	$.	;
wir	PPER	wir
überlassen	VVFIN	überlassen
ihr	PPER	ihr
,	$,	,
die	ART	die
Nothleidenden	NN	Nothleidenden
als	KOKOM	als
„	$(	„
die	ART	die
niedern	NN	niedern
Volksklassen	NN	Volksklassen
”	ADJD	”
zu	PTKZU	zu
bezeichnen	VVINF	bezeichnen
,	$,	,
und	KON	und
zu	PTKZU	zu
behaupten	VVINF	behaupten
,	$,	,
daß	KOUS	dass
blos	VVFIN	blos
die	ART	die
Böswilligkeit	NN	Böswilligkeit
,	$,	,
die	ART	die
„	$(	„
Speculation	NN	Speculation
auf	APPR	auf
den	ART	die
Appetit	NN	Appetit
der	ART	die
niedern	NN	niedern
Volksklassen	NN	Volksklassen
”	ADJD	”
—	$,	—
die	ART	die
Handlangerei	NN	Handlangerei
zu	APPR	zu
den	ART	die
Tendenzen	NN	Tendenz
der	ART	die
Unzufriedenen	NN	Unzufriedene
,	$,	,
”	NN	”
—	$,	—
ein	ART	eine
vorhandenes	ADJA	vorhanden
Elend	NN	Elend
behaupten	VVINF	behaupten
könne	VMFIN	können
;	$.	;
wir	PPER	wir
überlassen	VVFIN	überlassen
ihr	PPER	ihr
das	ART	die
Verdienst	NN	Verdienst
,	$,	,
in	APPR	in
solchen	PIAT	solche
schamlosen	ADJA	schamlos
Aeußerungen	NN	Aeußerungen
die	ART	die
Armuth	NN	Armuth
mit	APPR	mit
Hohn	NN	Hohn
und	KON	und
Verachtung	NN	Verachtung
,	$,	,
die	ART	die
Nothleidenden	NN	Nothleidenden
mit	APPR	mit
Verdächtigung	NN	Verdächtigung
und	KON	und
Verläumdung	NN	Verläumdung
abzufertigen	VVIZU	abfertigen
;	$.	;
wir	PPER	wir
überlassen	VVFIN	überlassen
es	PPER	es
ihr	PPOSAT	ihr
auch	ADV	auch
,	$,	,
sich	PRF	sich
auf	PTKVZ	auf
—	$,	—
angebliche	ADJA	angeblich
oder	KON	oder
wirkliche	ADJA	wirklich
—	$,	—
amtliche	ADJA	amtlich
Berichte	NN	Bericht
über	APPR	über
den	ART	die
ansehnlichen	ADJA	ansehnlich
Ertrag	NN	Ertrag
der	ART	die
letzten	ADJA	letzt
Erndte	NN	Erndte
zu	PTKZU	zu
berufen	VVINF	berufen
,	$,	,
wonach	PWAV	wonach
die	ART	die
„	$(	„
Besorgniß	NN	Besorgniß
einer	ART	eine
anhaltenden	ADJA	anhaltend
Theuerung	NN	Theuerung
alles	PIAT	alle
Grundes	NN	Grund
entbehrt	VVPP	entbehren
,	$,	,
”	ADJD	”
und	KON	und
würden	VAFIN	werden
uns	PPER	wir
nicht	PTKNEG	nicht
einmal	ADV	einmal
wundern	VVINF	wundern
,	$,	,
wenn	KOUS	wenn
sie	PPER	sie
die	ART	die
Behauptung	NN	Behauptung
aufstellte	VVFIN	aufstellen
,	$,	,
daß	KOUS	dass
man	PIS	man
vermittelst	VVFIN	vermitteln
papierener	ADJA	papierener
Rescripte	NN	Rescripte
ganz	ADV	ganz
Deutschland	NE	Deutschland
in	APPR	in
einen	ART	eine
Zustand	NN	Zustand
des	ART	die
Reichthums	NN	Reichthums
und	KON	und
Ueberflusses	NN	Ueberflusses
versetzt	VVPP	versetzen
habe	VAFIN	haben
,	$,	,
so	ADV	so
daß	KOUS	dass
die	ART	die
Leute	NN	Leute
blos	ADJD	blos
darum	PAV	darum
klagten	VVFIN	klagen
,	$,	,
weil	KOUS	weil
es	PPER	es
ihnen	PPER	sie
zu	APPR	zu
gut	ADJD	gut
gehe	VVFIN	gehen
.	$.	.
Die	ART	die
Frage	NN	Frage
,	$,	,
was	PRELS	was
in	APPR	in
einem	ART	eine
