Sauerstoff	NN	Sauerstoff
.	$.	.
Wenn	KOUS	wenn
in	APPR	in
einer	ART	eine
gläsernen	ADJA	gläsernen
Retorte	NN	Retorte
a	FM	a
,	$,	,
deren	PRELAT	die
Hals	NN	Hals
mit	APPR	mit
einem	ART	eine
Kork	NN	Kork
in	APPR	in
die	ART	die
eine	ART	eine
Oeffnung	NN	Oeffnung
der	ART	die
Vorlage	NN	Vorlage
b	VVFIN	b
fest	ADJD	fest
eingepasst	VVPP	einpassen
ist	VAFIN	sein
,	$,	,
rothes	NE	Rothe
Quecksilberoxyd	NN	Quecksilberoxyd
durch	APPR	durch
eine	ART	eine
Lampe	NN	Lampe
mit	APPR	mit
doppeltem	ADJA	doppelt
Luftzuge	NN	Luftzuge
nach	PTKVZ	nach
und	KON	und
nach	ADV	nach
bis	APPR	bis
zum	APPRART	zu+die
Rothglühen	NN	Rothglühen
erhitzt	VVPP	erhitzen
wird	VAFIN	werden
,	$,	,
so	ADV	so
steigen	VVFIN	steigen
aus	APPR	aus
der	ART	die
Oeffnung	NN	Oeffnung
des	ART	die
Glasrohrs	NN	Glasrohrs
c	VVFIN	c
,	$,	,
das	PRELS	die
gleichfalls	ADV	gleichfalls
fest	ADJD	fest
mit	APPR	mit
einem	ART	eine
Kork	NN	Kork
in	APPR	in
die	ART	die
andere	PIAT	andere
Oeffnung	NN	Oeffnung
der	ART	die
Vorlage	NN	Vorlage
eingepasst	VVPP	einpassen
ist	VAFIN	sein
,	$,	,
Blasen	NN	Blase|Blasen
in	APPR	in
die	ART	die
Höhe	NN	Höhe
,	$,	,
die	PRELS	die
das	ART	die
Wasser	NN	Wasser
,	$,	,
womit	PWAV	womit
der	ART	die
umgekehrte	ADJA	umgekehrt
Cylinder	NN	Cylinder
e	ADJD	e
gefüllt	VVPP	füllen
ist	VAFIN	sein
,	$,	,
verdrängen	VVFIN	verdrängen
.	$.	.
Der	ART	die
umgekehrte	ADJA	umgekehrt
Cylinder	NN	Cylinder
steht	VVFIN	stehen
auf	APPR	auf
einer	ART	eine
Bank	NN	Bank
in	APPR	in
der	ART	die
bis	APPR	bis
zur	APPRART	zu+die
punktirten	NN	punktirten
Linie	NN	Linie
mit	APPR	mit
Wasser	NN	Wasser
gefüllten	ADJA	gefüllten
Wanne	NN	Wanne
g.	VVFIN	g.
Die	ART	die
ersten	ADJA	erst
Blasen	NN	Blase|Blasen
sind	VAFIN	sein
atmosphärische	ADJA	atmosphärisch
Luft	NN	Luft
,	$,	,
die	PRELS	die
durch	APPR	durch
die	ART	die
angewandte	ADJA	angewandt
Hitze	NN	Hitze
in	APPR	in
der	ART	die
Retorte	NN	Retorte
ausgedehnt	VVPP	ausdehnen
wird	VAFIN	werden
;	$.	;
denn	KON	denn
durch	APPR	durch
eine	ART	eine
vom	APPRART	von+die
Frostpunkt	NN	Frostpunkt
bis	KON	bis
zum	APPRART	zu+die
Kochpunkt	NN	Kochpunkt
des	ART	die
Wassers	NN	Wasser
erhöhte	VVFIN	erhöhen
