Vorspiel	NN	Vorspiel
.	$.	.
Hofraum	NN	Hofraum
mit	APPR	mit
einigen	PIAT	einige
Bäumen	NN	Baum
bepflanzt	VVPP	bepflanzen
,	$,	,
im	APPRART	in+die
Hintergrund	NN	Hintergrund
ein	ART	eine
offenes	ADJA	offen
Thor	NE	Thor
,	$,	,
das	ART	die
Haus	NN	Haus
ist	VAFIN	sein
groß	ADJD	groß
,	$,	,
aber	ADV	aber
alterthümlich	ADJD	alterthümlich
.	$.	.
Erste	ADJA	erst
Scene	NN	Scene
.	$.	.
Steinkopf	NN	Steinkopf
tritt	VVFIN	treten
durch	APPR	durch
das	ART	die
Thor	NE	Thor
ein	PTKVZ	ein
,	$,	,
er	PPER	er
ist	VAFIN	sein
ein	ART	eine
grauköpfiger	ADJA	grauköpfiger
,	$,	,
etwas	ADV	etwas
altmodisch	ADJD	altmodisch
gekleideter	ADJA	gekleidet
Herr	NN	Herr
.	$.	.
Stumpf	NN	Stumpf
(	$(	(
kehrt	VVIMP	kehren
eben	ADV	eben
den	ART	die
Hof	NN	Hof
)	$(	)
.	$.	.
Steinkopf	NN	Steinkopf
.	$.	.
He	NE	He
!	$.	!
Stumpf	ADJD	stumpf
!	$.	!
Stumpf	ADJD	stumpf
.	$.	.
Ah	ITJ	ah
,	$,	,
der	ART	die
Herr	NN	Herr
Hausherr	NN	Hausherr
!	$.	!
(	$(	(
Nimmt	VVFIN	nehmen
die	ART	die
Kappe	NN	Kappe
ab	PTKVZ	ab
.	$.	.
)	$(	)
Steinkopf	NN	Steinkopf
.	$.	.
Ist	VAFIN	sein
meine	PPOSAT	mein
Frau	NN	Frau
nach	APPR	nach
Hause	NN	Haus
gekommen	VVPP	kommen
?	$.	?
Stumpf	ADJD	stumpf
.	$.	.
Grad	NN	Grad
vor	APPR	vor
a	FM	a
fünf	CARD	fünf
Minuten	NN	Minute
ist	VAFIN	sein
die	ART	die
Frau	NN	Frau
Hausfrau	NN	Hausfrau
mit	APPR	mit
’	ADJA	’
n	ADJA	n
jungen	ADJA	jung
Herrn	NN	Herr
über	APPR	über
d’Stiegen	NN	d’Stiegen
‘	$(	‘
naufgangen	ADJD	naufgangen
!	$.	!
Steinkopf	NN	Steinkopf
(	$(	(
für	APPR	für
sich	PRF	sich
)	$(	)
.	$.	.
Also	ADV	also
ist	VAFIN	sein
es	PPER	es
schon	ADV	schon
vorüber	PTKVZ	vorüber
?	$.	?
Sag	VVIMP	sagen
