Brühen	NN	Brühe|Brühen
und	KON	und
Suppen	NN	Suppe
.	$.	.
Nr.	NN	Nr.
1	CARD	@card@
.	$.	.
Jus	NN	Jus
wird	VAFIN	werden
für	APPR	für
besondere	ADJA	besonder
Gelegenheiten	NN	Gelegenheit
vorräthig	ADJD	vorräthig
gekocht	VVPP	kochen
.	$.	.
Schneide	VVFIN	schneiden
4	CARD	@card@
Pfund	NN	Pfund
Kalbfleisch	NN	Kalbfleisch
,	$,	,
4	CARD	@card@
Pfund	NN	Pfund
Hammelfleisch	NN	Hammelfleisch
,	$,	,
2	CARD	@card@
Pfund	NN	Pfund
mageres	ADJA	mager
Rindfleisch	NN	Rindfleisch
,	$,	,
2	CARD	@card@
Pfund	NN	Pfund
rohen	ADJA	roh
Schinken	NN	Schinken
in	APPR	in
kleine	ADJA	klein
Stücke	NN	Stück
.	$.	.
Dann	ADV	dann
schneide	VVFIN	schneiden
mit	APPR	mit
dem	ART	die
Messer	NN	Messer
1	CARD	@card@
Pfund	NN	Pfund
Nierenfett	NN	Nierenfett
würfelig	ADJD	würfelig
,	$,	,
lege	VVFIN	legen
es	PPER	es
in	APPR	in
ein	ART	eine
Casserol	ADJA	Casserol
,	$,	,
dann	ADV	dann
schneide	VVFIN	schneiden
4	CARD	@card@
Zwiebeln	NN	Zwiebel
,	$,	,
4	CARD	@card@
Petersilienwurzeln	NN	Petersilienwurzel
,	$,	,
6	CARD	@card@
Gelberüben	NN	Gelberüben
,	$,	,
putze	VVFIN	putzen
und	KON	und
wasche	VVFIN	waschen
dieselben	PDS	dieselbe
,	$,	,
und	KON	und
lege	VVFIN	legen
Alles	NN	All
auf	APPR	auf
das	ART	die
Nierenfett	NN	Nierenfett
;	$.	;
dann	ADV	dann
gieb	VVFIN	gieb
noch	ADV	noch
Salz	NN	Salz
,	$,	,
10	CARD	@card@
Nägelein	NN	Nägelein
,	$,	,
10	CARD	@card@
Pefferkörner	NN	Pefferkörner
,	$,	,
Muskatnuß	NN	Muskatnuss
,	$,	,
2	CARD	@card@
Lorbeerblätter	NN	Lorbeerblatt
,	$,	,
setze	VVFIN	setzen
dasselbe	PDS	dasselbe
auf	APPR	auf
ein	ART	eine
starkes	ADJA	stark
Feuer	NN	Feuer
,	$,	,
und	KON	und
gieße	VVFIN	gießen
1	CARD	@card@
Schoppen	NN	Schoppen
Wasser	NN	Wasser
darauf	PAV	darauf
,	$,	,
'	$(	'
lasse	VVFIN	lassen
dann	ADV	dann
den	ART	die
Saft	NN	Saft
eingehen	VVINF	eingehen
,	$,	,
bis	KOUS	bis
er	PPER	er
einem	ART	eine
Biere	NN	Bier
gleich	ADJD	gleich
ist	VAFIN	sein
.	$.	.
Fülle	VVFIN	füllen
ihn	PPER	er
dann	ADV	dann
mit	APPR	mit
20	CARD	@card@
Schoppen	NN	Schoppen
guter	ADJA	gut
Fleischbrühe	NN	Fleischbrühe
auf	PTKVZ	auf
,	$,	,
und	KON	und
lasse	VVFIN	lassen
es	PPER	es
zusammen	ADV	zusammen
langsam	ADJD	langsam
kochen	VVINF	kochen
;	$.	;
schäume	VVFIN	schäumen
dieses	PDAT	dies
sauber	ADJD	sauber
ab	PTKVZ	ab
,	$,	,
und	KON	und
sondere	VVFIN	sondern
das	ART	die
Fett	NN	Fett
,	$,	,
welches	PRELS	welche
man	PIS	man
für	APPR	für
Gemüse	NN	Gemüse
benutzen	VVINF	benutzen
kann	VMFIN	können
.	$.	.
Ist	VAFIN	sein
dann	ADV	dann
das	ART	die
Fleisch	NN	Fleisch
ausgekocht	VVPP	auskochen
,	$,	,
so	ADV	so
nimm	VVIMP	nehmen
es	PPER	es
heraus	PTKVZ	heraus
,	$,	,
und	KON	und
gebrauche	VVFIN	gebrauchen
es	PPER	es
so	ADV	so
,	$,	,
wie	KOUS	wie
es	PPER	es
noch	ADV	noch
später	ADJD	spät
angegeben	VVPP	angeben
wird	VAFIN	werden
.	$.	.
Wenn	KOUS	wenn
vom	APPRART	von+die
Jus	NN	Jus
4	CARD	@card@
Schoppen	NN	Schoppen
eingekocht	VVPP	einkochen
sind	VAFIN	sein
