Erster	ADJA	erst
Abschnitt	NN	Abschnitt
.	$.	.
Allgemeine	ADJA	allgemein
Bestimmungen	NN	Bestimmung
.	$.	.
§	NN	§
.	$.	.
1	CARD	@card@
.	$.	.
Die	ART	die
Beurkundung	NN	Beurkundung
der	ART	die
Geburten	NN	Geburt
,	$,	,
Heirathen	NN	Heirathen
und	KON	und
Sterbefälle	NN	Sterbefall
erfolgt	VVFIN	erfolgen
ausschließlich	ADV	ausschließlich
durch	APPR	durch
die	ART	die
vom	APPRART	von+die
Staate	NN	Staat
bestellten	ADJA	bestellt
Standesbeamten	NN	Standesbeamte
mittels	APPR	mittels
Eintragung	NN	Eintragung
in	APPR	in
die	ART	die
dazu	PAV	dazu
bestimmten	ADJA	bestimmt
Register	NN	Register
.	$.	.
§	NN	§
.	$.	.
2	CARD	@card@
.	$.	.
Die	ART	die
Bildung	NN	Bildung
der	ART	die
Standesamtsbezirke	NN	Standesamtsbezirke
erfolgt	VVFIN	erfolgen
durch	APPR	durch
die	ART	die
höhere	ADJA	hoch
Verwaltungsbehörde	NN	Verwaltungsbehörde
.	$.	.
Die	ART	die
Standesamtsbezirke	NN	Standesamtsbezirke
können	VMFIN	können
aus	APPR	aus
einer	ART	eine
oder	KON	oder
mehreren	PIAT	mehrere
Gemeinden	NN	Gemeinde
gebildet	VVPP	bilden
,	$,	,
größere	ADJA	groß
Gemeinden	NN	Gemeinde
in	APPR	in
mehrere	PIAT	mehrere
Standesamtsbezirke	NN	Standesamtsbezirke
getheilt	VVPP	getheilt
werden	VAFIN	werden
.	$.	.
§	NN	§
.	$.	.
3	CARD	@card@
.	$.	.
Für	APPR	für
jeden	PIAT	jede
Standesamtsbezirk	NN	Standesamtsbezirk
ist	VAFIN	sein
ein	ART	eine
Standesbeamter	NN	Standesbeamte
und	KON	und
mindestens	ADV	mindestens
ein	ART	eine
Stellvertreter	NN	Stellvertreter
zu	PTKZU	zu
bestellen	VVINF	bestellen
.	$.	.
Für	APPR	für
den	ART	die
Fall	NN	Fall
vorübergehender	ADJA	vorübergehend
Behinderung	NN	Behinderung
oder	KON	oder
gleichzeitiger	ADJA	gleichzeitig
Erledigung	NN	Erledigung
des	ART	die
Amtes	NN	Amt
,	$,	,
des	ART	die
Standesbeamten	NN	Standesbeamte
und	KON	und
der	ART	die
Stellvertreter	NN	Stellvertreter
ist	VAFIN	sein
die	ART	die
nächste	ADJA	nah
Aufsichtsbehörde	NN	Aufsichtsbehörde
ermächtigt	VVPP	ermächtigen
,	$,	,
die	ART	die
einstweilige	ADJA	einstweilig
Beurkundung	NN	Beurkundung
des	ART	die
Personenstandes	NN	Personenstandes
einem	ART	eine
benachbarten	ADJA	benachbart
Standesbeamten	NN	Standesbeamte
oder	KON	oder
Stellvertreter	NN	Stellvertreter
zu	PTKZU	zu
übertragen	VVINF	übertragen
.	$.	.
Die	ART	die
Bestellung	NN	Bestellung
erfolgt	VVFIN	erfolgen
,	$,	,
soweit	ADV	soweit
nicht	PTKNEG	nicht
im	APPRART	in+die
§	NN	§
.	$.	.
4	CARD	@card@
ein	ART	eine
Anderes	PIS	andere
bestimmt	VVPP	bestimmen
ist	VAFIN	sein
,	$,	,
durch	APPR	durch
die	ART	die
höhere	ADJA	hoch
Verwaltungsbehörde	NN	Verwaltungsbehörde
.	$.	.
Geistlichen	NN	Geistliche
und	KON	und
anderen	PIS	andere
Religionsdienern	NN	Religionsdienern
darf	VMFIN	dürfen
das	ART	die
Amt	NN	Amt
eines	ART	eine
Standesbeamten	NN	Standesbeamte
