Nicht	PTKNEG	nicht
weit	ADJD	weit
davon	PAV	davon
hing	VVFIN	hängen
die	ART	die
Schwarzwälder	NN	Schwarzwald
Uhr	NN	Uhr
,	$,	,
auf	APPR	auf
der	PRELS	die
oben	ADV	oben
ein	ART	eine
Vogel	NN	Vogel
saß	VVFIN	sitzen
,	$,	,
der	PRELS	die
allemal	ADV	allemal
,	$,	,
wenn	KOUS	wenn
die	ART	die
Stunde	NN	Stunde
ausschlug	VVFIN	ausschlagen
,	$,	,
Kukkuk	NN	Kukkuk
rief	VVFIN	rufen
.	$.	.
Neben	APPR	neben
dem	ART	die
Ofen	NN	Ofen
stand	VVFIN	stehen
der	ART	die
Sorgstuhl	NN	Sorgstuhl
des	ART	die
Altvaters	NN	Altvater
,	$,	,
dem	PRELS	die
man	PIS	man
es	PPER	es
an	APPR	an
seiner	PPOSAT	sein
schönen	ADJA	schön
Holzarbeit	NN	Holzarbeit
und	KON	und
am	APPRART	an+die
Lederbeschlag	NN	Lederbeschlag
ansah	VVFIN	ansehen
,	$,	,
daß	KOUS	dass
er	PPER	er
eine	ART	eine
Errungenschaft	NN	Errungenschaft
aus	APPR	aus
irgend	ADV	irgend
einer	ART	eine
Versteigerung	NN	Versteigerung
in	APPR	in
der	ART	die
Stadt	NN	Stadt
war	VAFIN	sein
.	$.	.
Wenn	KOUS	wenn
er	PPER	er
hätte	VAFIN	haben
denken	VVINF	denken
können	VMINF	können
,	$,	,
müßte	VMFIN	müssen
sein	PPOSAT	sein
Gedächtniß	NN	Gedächtniß
weit	ADJD	weit
zurückgereicht	VVPP	zurückreichen
haben	VAINF	haben
.	$.	.
Der	ART	die
Ofen	NN	Ofen
war	VAFIN	sein
ein	ART	eine
altes	ADJA	alt
Prachtstück	NN	Prachtstück
von	APPR	von
der	ART	die
Winnweilerer	ADJA	Winnweilerer
Eisenschmelze	NN	Eisenschmelze
,	$,	,
der	PRELS	die
vornen	ADJD	vornen
in	APPR	in
erhabenen	ADJA	erhaben
Figuren	NN	Figur
gar	ADV	gar
schön	ADJD	schön
den	ART	die
Augenblick	NN	Augenblick
dastellte	VVFIN	dastellte
,	$,	,
wo	PWAV	wo
die	ART	die
Judith	NE	Judith
eben	ADV	eben
dem	ART	die
Holofernes	NN	Holofernes
den	ART	die
Kopf	NN	Kopf
abgehauen	VVPP	abhauen
hatte	VAFIN	haben
und	KON	und
ihn	PPER	er
triumphirend	ADJD	triumphirend
empor	ADV	empor
hielt	VVFIN	halten
.	$.	.
Man	PIS	man
sah	VVFIN	sehen
ordentlich	ADJD	ordentlich
die	ART	die
dicken	ADJA	dick
Blutstropfen	NN	Blutstropfen
des	ART	die
Unholds	NN	Unhold
herabrinnen	NN	herabrinnen
;	$.	;
daß	KOUS	dass
die	ART	die
Judith	NE	Judith
den	ART	die
Kopf	NN	Kopf
in	APPR	in
der	ART	die
Rechten	NN	Recht|Rechte
und	KON	und
das	ART	die
Schwert	NN	Schwert
in	APPR	in
der	ART	die
Linken	NN	Linke
hatte	VAFIN	haben
,	$,	,
mag	VMFIN	mögen
wahrscheinlich	ADJD	wahrscheinlich
daher	PAV	daher
gekommen	VVPP	kommen
sein	VAINF	sein
,	$,	,
daß	KOUS	dass
sie	PPER	sie
links	ADV	links
war	VAFIN	sein
.	$.	.
Ganz	ADV	ganz
im	APPRART	in+die
Gegensatz	NN	Gegensatz
mit	APPR	mit
dieser	PDAT	dies
erschrecklichen	ADJA	erschrecklichen
Geschichte	NN	Geschichte
standen	VVFIN	stehen
die	ART	die
beiden	PIAT	beide
Seiten	NN	Seite
,	$,	,
denn	KON	denn
da	ADV	da
sah	VVFIN	sehen
man	PIS	man
auf	APPR	auf
der	ART	die
rechten	ADJA	recht|rechts
den	ART	die
jungen	ADJA	jung
Tobias	NE	Tobias
,	$,	,
als	KOUS	als
er	PPER	er
mit	APPR	mit
dem	ART	die
Engel	NN	Engel
und	KON	und
dem	ART	die
Hündlein	NN	Hündlein
hinauszog	VVFIN	hinauszog
,	$,	,
und	KON	und
auf	APPR	auf
der	ART	die
linken	ADJA	links
,	$,	,
wie	KOUS	wie
er	PPER	er
wieder	ADV	wieder
kam	VVFIN	kommen
und	KON	und
des	ART	die
blinden	ADJA	blind
Vaters	NN	Vater
Augen	NN	Auge
salbte	VVFIN	salben
,	$,	,
daß	KOUS	dass
er	PPER	er
wieder	ADV	wieder
sehend	ADJD	sehend
würde	VAFIN	werden
.	$.	.
Noch	ADV	noch
muß	VMFIN	müssen
zugefügt	VVPP	zufügen
werden	VAINF	werden
,	$,	,
daß	KOUS	dass
das	ART	die
Zapfenbrett	NN	Zapfenbrett
,	$,	,
die	ART	die
Festergewänder	NN	Festergewänder
,	$,	,
die	ART	die
Thüre	NN	Thüre
und	KON	und
das	ART	die
Reck	NN	Reck
über	APPR	über
dem	ART	die
Ofen	NN	Ofen
hochroth	NE	hochroth
angestrichen	VVPP	anstreichen
waren	VAFIN	sein
,	$,	,
was	PRELS	was
recht	ADJD	recht
gegen	APPR	gegen
die	ART	die
Wand	NN	Wand
abstach	VVFIN	abstechen
.	$.	.
Ueber	NN	Ueber
der	ART	die
Thüre	NN	Thüre
sah	VVFIN	sehen
man	PIS	man
die	ART	die
Jahrzahl	NN	Jahrzahl
1784	CARD	@card@
mit	APPR	mit
allerlei	PIAT	allerlei
Schnörkeleien	NN	Schnörkeleien
eingefaßt	VVPP	einfassen
,	$,	,
und	KON	und
auf	APPR	auf
der	ART	die
innern	ADJA	innern
Seite	NN	Seite
der	ART	die
Thüre	NN	Thüre
standen	VVFIN	stehen
oben	ADV	oben
mit	APPR	mit
Kreide	NN	Kreide
geschrieben	VVPP	schreiben
,	$,	,
die	ART	die
lateinischen	ADJA	lateinisch
Buchstaben	NN	Buchstabe
:	$.	:
S.	NE	S.
M.	NE	M.
D.	NE	D.
M.	NE	M.
D.	NE	D.
F.	NE	F.
S.	NE	S.
