*	XY	*
[	$(	[
Mißhandlung	NN	Misshandlung
.	$.	.
]	$(	]
Eine	ART	eine
bedauerliche	ADJA	bedauerlich
Scene	NN	Scene
spielte	VVFIN	spielen
sich	PRF	sich
hier	ADV	hier
gestern	ADV	gestern
gegen	APPR	gegen
10	CARD	@card@
Uhr	NN	Uhr
Abends	NN	Abend
auf	APPR	auf
Langgarten	NN	Langgarten
ab	PTKVZ	ab
.	$.	.
Um	APPR	um
diese	PDAT	dies
Zeit	NN	Zeit
kam	VVFIN	kommen
eine	ART	eine
junge	ADJA	jung
,	$,	,
stattlich	ADJD	stattlich
aussehende	ADJA	aussehend
Dame	NN	Dame
aus	APPR	aus
einem	ART	eine
Hause	NN	Haus
jammernd	ADJD	jammernd
heraus	PTKVZ	heraus
.	$.	.
Sie	PPER	Sie
gab	VVFIN	geben
an	PTKVZ	an
,	$,	,
Wäsche	NN	Wäsche
=	$(	=
Plätterin	NN	Plätterin
in	APPR	in
einer	ART	eine
in	APPR	in
diesem	PDAT	dies
Hause	NN	Haus
befindlichen	ADJA	befindlich
Plätt	NN	Plätt
=	$(	=
Anstalt	NN	Anstalt
und	KON	und
von	APPR	von
dem	ART	die
Eigenthümer	NN	Eigenthümer
des	ART	die
Geschäfts	NN	Geschäft
unmenschlich	ADJD	unmenschlich
mißhandelt	VVPP	misshandeln
worden	VAPP	werden
zu	PTKZU	zu
sein	VAINF	sein
.	$.	.
Sie	PPER	Sie
erzählte	VVFIN	erzählen
,	$,	,
daß	KOUS	dass
der	ART	die
betreffende	ADJA	betreffend
Eigenthümer	NN	Eigenthümer
mit	APPR	mit
den	ART	die
Fäusten	NN	Faust
auf	APPR	auf
sie	PPER	sie
eingeschlagen	VVPP	einschlagen
,	$,	,
sie	PPER	sie
am	APPRART	an+die
Halse	NN	Hals
gewürgt	VVPP	würgen
,	$,	,
auf	APPR	auf
die	ART	die
Erde	NN	Erde
geworfen	VVPP	werfen
und	KON	und
mit	APPR	mit
den	ART	die
Füßen	NN	Fuß
gestoßen	VVPP	stoßen
habe	VAFIN	haben
.	$.	.
In	APPR	in
der	ART	die
That	NE	That
war	VAFIN	sein
sie	PPER	sie
so	ADV	so
übel	ADJD	übel
zugerichtet	VVPP	zurichten
,	$,	,
daß	KOUS	dass
sie	PPER	sie
sich	PRF	sich
nicht	PTKNEG	nicht
von	APPR	von
der	ART	die
Stelle	NN	Stelle
bewegen	VVINF	bewegen
konnte	VMFIN	können
und	KON	und
durch	APPR	durch
einen	ART	eine
Schutzmann	NN	Schutzmann
mittelst	ADJD	mittel
Droschke	NN	Droschke
nach	APPR	nach
dem	ART	die
Krankenhause	NN	Krankenhause
gebracht	VVPP	bringen
werden	VAINF	werden
mußte	VMFIN	müssen
.	$.	.
Tages	NN	Tag
=	$(	=
Neuigkeiten	NN	Neuigkeit
.	$.	.
