*	XY	*
Hamburg	NE	Hamburg
,	$,	,
den	ART	die
6	CARD	@card@
.	$.	.
August	NE	August
.	$.	.
–	$(	-
Submissionen	NN	Submission
.	$.	.
Die	ART	die
Ausführung	NN	Ausführung
der	ART	die
Aufgrabungen	NN	Aufgrabungen
und	KON	und
sonstigen	ADJA	sonstig
Hülfsleistungen	NN	Hülfsleistungen
beim	APPRART	bei+die
Legen	NN	Legen
von	APPR	von
Wasserröhren	NN	Wasserröhre
in	APPR	in
St.	NE	St.
Pauli	NE	Pauli
und	KON	und
Eimsbüttel	NN	Eimsbüttel
,	$,	,
ferner	ADJD	fern
die	ART	die
Lieferung	NN	Lieferung
des	ART	die
Mobiliars	NN	Mobiliar
für	APPR	für
5	CARD	@card@
Classen	NN	Classen
der	ART	die
Volksschule	NN	Volksschule
[	$(	[
Bolksschule	NN	Bolksschule
]	$(	]
an	APPR	an
der	ART	die
Vierländerstraße	NN	Vierländerstraße
(	$(	(
Fachwerkbau	NN	Fachwerkbau
)	$(	)
und	KON	und
die	ART	die
Ausführung	NN	Ausführung
der	ART	die
Centralluftheizungs	NN	Centralluftheizungs
=	$(	=
Anlagen	NN	Anlage
für	APPR	für
die	ART	die
Neubauten	NN	Neubau
zweier	ADJA	zwei
15	CARD	@card@
·	NN	·
resp.	ADV	resp.
14classigen	NN	14classigen
Volksschulhäuser	NN	Volksschulhäuser
an	APPR	an
der	ART	die
Repsoldstraße	NN	Repsoldstraße
und	KON	und
an	APPR	an
der	ART	die
Rosenallee	NN	Rosenallee
soll	VMFIN	sollen
von	APPR	von
der	ART	die
Finanz	NN	Finanz
=D	ADJA	=D
eputation	NN	eputation
in	APPR	in
Submission	NN	Submission
gegeben	VVPP	geben
werden	VAINF	werden
.	$.	.
Näheres	NN	Nähere
wolle	VMFIN	wollen
man	PIS	man
im	APPRART	in+die
Amtlichen	NN	Amtliche
Theil	NN	Theil
d.	ART	d.
Bl.	NE	Bl.
ersehen	VVPP	ersehen
.	$.	.
–	$(	-
Einquartierung	NN	Einquartierung
mit	APPR	mit
Verpflegung	NN	Verpflegung
[	$(	[
Berpflegung	NN	Berpflegung
]	$(	]
steht	VVFIN	stehen
am	APPRART	an+die
30	CARD	@card@
.	$.	.
August	NN	August
in	APPR	in
Eppendorf	NE	Eppendorf
,	$,	,
Barmbeck	NE	Barmbeck
und	KON	und
Eilbeck	NE	Eilbeck
und	KON	und
am	APPRART	an+die
31	CARD	@card@
.	$.	.
August	NN	August
in	APPR	in
Hamm	NN	Hamm
und	KON	und
Horn	NN	Horn
bevor	PTKVZ	bevor
.	$.	.
Im	APPRART	in+die
Amtlichen	NN	Amtliche
Theil	NN	Theil
.	$.	.
d.	ART	d.
Bl.	NE	Bl.
werden	VAFIN	werden
die	ART	die
Bewohner	NN	Bewohner
dieser	PDAT	dies
Vororte	NN	Vorort
[	$(	[
Bororte	NN	Bororte
]	$(	]
,	$,	,
welche	PRELS	welche
Quartiere	NN	Quartier
stellen	VVINF	stellen
wollen	VMFIN	wollen
,	$,	,
aufgefordert	VVPP	auffordern
,	$,	,
sich	PRF	sich
bis	APPR	bis
zum	APPRART	zu+die
12	CARD	@card@
.	$.	.
August	NE	August
im	APPRART	in+die
Statistischen	ADJA	statistisch
Bureau	NN	Bureau
der	ART	die
Steuer	NN	Steuer
=D	ADJA	=D
eputation	NN	eputation
,	$,	,
Heiligengeistkirchhof	NN	Heiligengeistkirchhof
Nr.	NN	Nr.
6	CARD	@card@
,	$,	,
zu	PTKZU	zu
melden	VVINF	melden
.	$.	.
–	$(	-
t	NN	t
–	$(	-
Die	ART	die
Vorschulfrage	NN	Vorschulfrage
ist	VAFIN	sein
,	$,	,
wie	KOUS	wie
in	APPR	in
Hamburg	NE	Hamburg
,	$,	,
so	ADV	so
auch	ADV	auch
in	APPR	in
Barmen	NN	Barmen
auf	APPR	auf
'	$(	'
s	NN	s
Neue	NN	Neue
in	APPR	in
Berathung	NN	Berathung
gezogen	VVPP	ziehen
.	$.	.
In	APPR	in
einer	PIS	eine
der	ART	die
Letzten	NN	Letzte
Sitzungen	NN	Sitzung
der	ART	die
Stadtverordneten	NN	Stadtverordnete
wurde	VAFIN	werden
von	APPR	von
einem	ART	eine
Mitgliede	NN	Mitgliede
ein	ART	eine
schriftlich	ADJD	schriftlich
begründeter	ADJA	begründet
Antrag	NN	Antrag
auf	APPR	auf
Aufhebung	NN	Aufhebung
der	ART	die
Vorschulen	NN	Vorschule
eingebracht	VVPP	einbringen
.	$.	.
Daraufhin	PAV	daraufhin
wurde	VAFIN	werden
mit	APPR	mit
erheblicher	ADJA	erheblich
Mehrheit	NN	Mehrheit
beschlossen	VVPP	beschließen
,	$,	,
einen	ART	eine
politisch	ADJD	politisch
und	KON	und
confessionell	ADJD	confessionell
gemischten	ADJA	gemischt
Ausschuß	NN	Ausschuss
von	APPR	von
19	CARD	@card@
Personen	NN	Person
,	$,	,
nämlich	ADV	nämlich
sechs	CARD	sechs
Stadtverordneten	NN	Stadtverordnete
,	$,	,
drei	CARD	drei
Directoren	NN	Directoren
höherer	ADJA	hoch
Lehranstalten	NN	Lehranstalt
,	$,	,
dem	ART	die
Schulinspector	NN	Schulinspector
,	$,	,
drei	CARD	drei
Hauptlehrern	NN	Hauptlehrern
und	KON	und
sechs	CARD	sechs
Bürgern	NN	Bürger
,	$,	,
zu	PTKZU	zu
beauftragen	VVINF	beauftragen
,	$,	,
die	ART	die
Angelegenheit	NN	Angelegenheit
von	APPR	von
pädagogischen	ADJA	pädagogisch
,	$,	,
socialen	ADJA	socialen
und	KON	und
finanziellen	ADJA	finanziell
Gesichtspunkten	NN	Gesichtspunkt
aus	PTKVZ	aus
zu	PTKZU	zu
prüfen	VVINF	prüfen
und	KON	und
das	ART	die
Ergebniß	NN	Ergebniß
der	ART	die
Versammlung	NN	Versammlung
vorzulegen	VVIZU	vorlegen
.	$.	.
–	$(	-
Im	APPRART	in+die
Uhlenhorster	ADJA	Uhlenhorster
Jährhaus	NN	Jährhaus
findet	VVFIN	finden
am	APPRART	an+die
Sonnabend	NN	Sonnabend
Abend	NN	Abend
ein	ART	eine
großes	ADJA	groß
Monstre	NN	Monstre
=	$(	=
Concert	VVFIN	Concert
von	APPR	von
90	CARD	@card@
Musikern	NN	Musiker
unter	APPR	unter
Leitung	NN	Leitung
des	ART	die
Herrn	NN	Herr
Musikdirector	NN	Musikdirector
Th	VVFIN	Th
.	$.	.
Michaelis	NE	Michaelis
statt	PTKVZ	statt
.	$.	.
Das	ART	die
ausgewählte	ADJA	ausgewählt
Programm	NN	Programm
wird	VAFIN	werden
zweifellos	ADJD	zweifellos
eine	ART	eine
vorzügliche	ADJA	vorzüglich
Wiedergabe	NN	Wiedergabe
durch	APPR	durch
die	ART	die
bewährte	ADJA	bewährt
Capelle	NN	Capelle
und	KON	und
ihren	PPOSAT	ihr
tüchtigen	ADJA	tüchtig
Dirigenten	NN	Dirigent
finden	VVINF	finden
.	$.	.
–	$(	-
Faerber	NN	Färber
'	$(	'
s	NN	s
Hanseatisches	ADJA	hanseatisch
Panopticum	NN	Panopticum
.	$.	.
Um	APPR	um
vielfachen	ADJA	vielfach
Wünschen	NN	Wunsch
des	ART	die
Publikums	NN	Publikum
nachzukommen	VVIZU	nachkommen
,	$,	,
wird	VAFIN	werden
Herr	NN	Herr
H.	NE	H.
Faerber	NN	Färber
von	APPR	von
jetzt	ADV	jetzt
ab	APPR	ab
Familienbillets	NN	Familienbillets
zu	APPR	zu
ermäßigten	ADJA	ermäßigt
Preisen	NN	Preis|Preisen
ausgeben	VVINF	ausgeben
,	$,	,
welche	PRELS	welche
zum	APPRART	zu+die
Besuch	NN	Besuch
des	ART	die
Panopticums	NN	Panopticums
täglich	ADJD	täglich
,	$,	,
auch	ADV	auch
an	APPR	an
Sonn	NE	Sonn
=	$(	=
und	KON	und
Feiertagen	NN	Feiertag
berechtigen	VVFIN	berechtigen
.	$.	.
Den	ART	die
Verkauf	NN	Verkauf
dieser	PDAT	dies
Billets	NN	Billets
haben	VAFIN	haben
die	ART	die
Herren	NN	Herr
