*	XY	*
Rostock	NE	Rostock
,	$,	,
3	CARD	@card@
.	$.	.
August	NE	August
.	$.	.
Von	APPR	von
morgen	ADV	morgen
ab	PTKVZ	ab
werden	VAFIN	werden
zur	APPRART	zu+die
Orientirung	NN	Orientirung
für	APPR	für
die	ART	die
Dampffchiffe	NN	Dampffchiffe
von	APPR	von
Beginn	NN	Beginn
der	ART	die
Dunkelheit	NN	Dunkelheit
bis	APPR	bis
12	CARD	@card@
Uhr	NN	Uhr
Nachts	ADV	nachts
auf	APPR	auf
den	ART	die
Pfählen	NN	Pfahl|Pfählen
14	CARD	@card@
,	$,	,
19	CARD	@card@
und	KON	und
20	CARD	@card@
der	ART	die
Unterwarnow	NN	Unterwarnow
wiederum	ADV	wiederum
Laternen	NN	Laterne
brennen	VVFIN	brennen
.	$.	.
(	$(	(
Vgl.	ADV	vgl.
Amtl.	NE	Amtl.
Bekanntmachungen	NN	Bekanntmachung
der	ART	die
Stadt	NN	Stadt
Rostock	NE	Rostock
.	$.	.
)	$(	)
Am	APPRART	an+die
Donnerstag	NN	Donnerstag
Nachmittag	NN	Nachmittag
um	APPR	um
4	CARD	@card@
Uhr	NN	Uhr
findet	VVFIN	finden
auf	APPR	auf
der	ART	die
Werste	NN	Werste
der	ART	die
Rostocker	NN	Rostocker
Actien	NN	Actien
=	$(	=
Gesellschaft	NN	Gesellschaft
für	APPR	für
Schiff	NN	Schiff
=	$(	=
und	KON	und
Maschinenbau	NN	Maschinenbau
der	ART	die
Stapellauf	NN	Stapellauf
eines	ART	eine
für	APPR	für
Hamburger	ADJA	Hamburger
Rechnung	NN	Rechnung
erbauten	VVFIN	erbauen
eisernen	ADJA	eisern
Segelschiffes	NN	Segelschiff
statt	PTKVZ	statt
,	$,	,
des	ART	die
größten	ADJA	groß
Schiffes	NN	Schiff
,	$,	,
welches	PRELS	welche
bisher	ADV	bisher
auf	APPR	auf
Rostocker	NN	Rostocker
Wersten	NE	Wersten
gebaut	VVPP	bauen
ist	VAFIN	sein
.	$.	.
Wie	KOUS	wie
uns	PPER	wir
mitgetheilt	VVPP	mitgetheilt
wird	VAFIN	werden
,	$,	,
sind	VAFIN	sein
zur	APPRART	zu+die
Zeit	NN	Zeit
Warnemünder	NN	Warnemünder
Badegäste	NN	Badegast
bemüht	VVPP	bemühen
,	$,	,
eine	ART	eine
zweite	ADJA	zweit
Regatta	NN	Regatta
in	APPR	in
der	ART	die
Nähe	NN	Nähe
des	ART	die
Ortes	NN	Ort
ins	APPRART	in+die
Leben	NN	Leben
zu	PTKZU	zu
rufen	VVINF	rufen
.	$.	.
Preise	NN	Preis
für	APPR	für
die	ART	die
Sieger	NN	Sieger
beim	APPRART	bei+die
Segeln	NN	Segel|Segeln
und	KON	und
Rudern	NN	Ruder|Rudern
sollen	VMFIN	sollen
unter	APPR	unter
der	ART	die
Badegesellschaft	NN	Badegesellschaft
zusammengebracht	VVPP	zusammenbringen
werden	VAINF	werden
.	$.	.
Es	PPER	es
soll	VMFIN	sollen
die	ART	die
beste	ADJA	gut
Aussicht	NN	Aussicht
vorhanden	ADJD	vorhanden
sein	VAINF	sein
,	$,	,
daß	KOUS	dass
das	ART	die
Project	NN	Project
ins	APPRART	in+die
Leben	NN	Leben
tritt	VVFIN	treten
.	$.	.
Rostock	NE	Rostock
,	$,	,
3	CARD	@card@
.	$.	.
Aug.	NN	Aug.
(	$(	(
Eingesandt	ADJD	eingesandt
.	$.	.
)	$(	)
Der	ART	die
Dampfer	NN	Dampfer
„	$(	„
Graf	NE	Graf
Moltke	NE	Moltke
"	$(	"
beabsichtigt	VVFIN	beabsichtigen
dem	ART	die
Vernehmen	NN	Vernehmen
nach	APPR	nach
am	APPRART	an+die
Donnerstag	NN	Donnerstag
eine	ART	eine
Seetour	NN	Seetour
nach	APPR	nach
Wustrow	NE	Wustrow
einzulegen	VVIZU	einlegen
.	$.	.
Die	ART	die
Pforten	NN	Pforte
des	ART	die
Himmels	NN	Himmel
,	$,	,
welche	PRELS	welche
sich	PRF	sich
zum	APPRART	zu+die
Verdruß	NN	Verdruss
der	ART	die
Ferien	NN	Ferien
=	$(	=
Reisenden	NN	Reisende
sehr	ADV	sehr
oft	ADV	oft
erschließen	VVINF	erschließen
und	KON	und
manche	PIAT	manche
Tour	NN	Tour
zu	APPR	zu
nichte	ADJA	nichte
machen	VVFIN	machen
,	$,	,
werden	VAFIN	werden
hoffentlich	ADV	hoffentlich
diesmal	ADV	diesmal
dem	ART	die
Unternehmen	NN	Unternehmen
hold	ADJD	hold
sein	VAINF	sein
.	$.	.
Wenn	KOUS	wenn
die	ART	die
Sonne	NN	Sonne
mit	APPR	mit
ihrem	PPOSAT	ihr
Glanze	NN	Glanz
die	ART	die
Fahrt	NN	Fahrt
begleitet	VVPP	begleiten
,	$,	,
so	ADV	so
kann	VMFIN	können
es	PPER	es
eine	ART	eine
sehr	ADV	sehr
hübsche	ADJA	hübsch
und	KON	und
wohlthuende	ADJA	wohlthuende
Fahrt	NN	Fahrt
werden	VAINF	werden
.	$.	.
Güftrow	NE	Güftrow
,	$,	,
1	CARD	@card@
.	$.	.
Aug.	NN	Aug.
Nach	APPR	nach
der	ART	die
„	$(	„
M.	NE	M.
Z.	NE	Z.
"	$(	"
ist	VAFIN	sein
der	ART	die
Gymnasialdirector	NN	Gymnasialdirector
Dr.	NN	Dr.
Raspe	NN	Raspe
zu	APPR	zu
Michaelis	NE	Michaelis
d.	ART	d.
J.	NE	J.
pensionirt	NN	pensionirt
.	$.	.
An	APPR	an
seine	PPOSAT	sein
Stelle	NN	Stelle
tritt	VVFIN	treten
dem	ART	die
Vernehmen	NN	Vernehmen
nach	APPR	nach
Oberlehrer	NN	Oberlehrer
Dr.	NN	Dr.
Fritzsche	NE	Fritzsche
hieselbst	NN	hieselbst
.	$.	.
Auch	ADV	auch
der	ART	die
Abgang	NN	Abgang
des	ART	die
Oberlehrers	NN	Oberlehrer
Vermehren	NN	Vermehren
von	APPR	von
der	ART	die
hiesigen	ADJA	hiesig
Domschule	NN	Domschule
steht	VVFIN	stehen
zu	APPR	zu
Michaelis	NE	Michaelis
d.	ART	d.
J.	NE	J.
bevor	PTKVZ	bevor
.	$.	.
=	$(	=
Waren	NN	Ware
,	$,	,
1	CARD	@card@
.	$.	.
Aug.	NN	Aug.
In	APPR	in
der	ART	die
gestrigen	ADJA	gestrig
.	$.	.
Versammlung	NN	Versammlung
des	ART	die
hiesigen	ADJA	hiesig
