*	XY	*
Zahnstocher	NN	Zahnstocher
und	KON	und
Wundstarrkrampf	NN	Wundstarrkrampf
.	$.	.
Ueber	NN	Ueber
einen	ART	eine
Fall	NN	Fall
von	APPR	von
Wundstarrkrampf	NN	Wundstarrkrampf
aus	APPR	aus
einer	ART	eine
gewiß	ADJD	gewiss
seltenen	ADJA	selten
Ursache	NN	Ursache
berichtet	VVFIN	berichten
Dr.	NN	Dr.
Bandisch	ADJD	bandisch
in	APPR	in
Laskehnen	NN	Laskehnen
(	$(	(
früher	ADV	früher
in	APPR	in
Szibben	NN	Szibben
)	$(	)
in	APPR	in
der	ART	die
„	$(	„
Berliner	ADJA	Berliner
klin	NE	klin
.	$.	.
Wochenschrift	NN	Wochenschrift
“	$(	“
.	$.	.
Er	PPER	er
wurde	VAFIN	werden
eines	ART	eine
Tages	NN	Tag
zu	APPR	zu
einem	ART	eine
Gärtner	NN	Gärtner
gerufen	VVPP	rufen
,	$,	,
der	PRELS	die
seit	APPR	seit
vier	CARD	vier
Tagen	NN	Tag
über	APPR	über
Schwere	NN	Schwere
in	APPR	in
den	ART	die
Gliedern	NN	Glied|Gliedern
,	$,	,
Steifigkeit	NN	Steifigkeit
im	APPRART	in+die
Nacken	NN	Nacken
und	KON	und
Schlaflosigkeit	NN	Schlaflosigkeit
klagte	VVFIN	klagen
;	$.	;
dabei	PAV	dabei
konnte	VMFIN	können
er	PPER	er
den	ART	die
Mund	NN	Mund
nicht	PTKNEG	nicht
öffnen	VVINF	öffnen
und	KON	und
hatte	VAFIN	haben
bisweilen	ADV	bisweilen
eigenthümliche	ADJA	eigenthümliche
Zuckungen	NN	Zuckung
in	APPR	in
den	ART	die
Beinen	NN	Bein
.	$.	.
Die	ART	die
erste	ADJA	erst
Untersuchung	NN	Untersuchung
gab	VVFIN	geben
für	APPR	für
die	ART	die
Ursache	NN	Ursache
des	ART	die
Zustandes	NN	Zustand
keinen	PIAT	keine
Anhalt	NN	Anhalt
;	$.	;
nach	APPR	nach
drei	CARD	drei
Tagen	NN	Tag
jedoch	ADV	jedoch
bestanden	VVFIN	bestehen
deutlich	ADJD	deutlich
Erscheinungen	NN	Erscheinung
von	APPR	von
Wundstarrkramp	NN	Wundstarrkramp
:	$.	:
krampfartige	ADJA	krampfartig
Zuckungen	NN	Zuckung
in	APPR	in
den	ART	die
Beinmuskeln	NN	Beinmuskel
,	$,	,
die	PRELS	die
bei	APPR	bei
Erschütterungen	NN	Erschütterung
des	ART	die
Bettes	NN	Bett
und	KON	und
auf	APPR	auf
bloßes	ADJA	bloß
Anrufen	NN	Anruf|Anrufen
schon	ADV	schon
eintraten	VVFIN	eintreten
,	$,	,
der	ART	die
Kopf	NN	Kopf
bohrte	VVFIN	bohren
sich	PRF	sich
durch	APPR	durch
Krampf	NN	Krampf
der	ART	die
Nackenmuskel	NN	Nackenmuskel
in	APPR	in
das	ART	die
Kopfkissen	NN	Kopfkissen
u.	KON	und
s.	ADV	s.
w.	APPR	w.
Strychninvergiftung	NN	Strychninvergiftung
,	$,	,
die	ART	die
ähnliche	ADJA	ähnlich
Erscheinungen	NN	Erscheinung
macht	VVFIN	machen
,	$,	,
war	VAFIN	sein
ausgeschlossen	VVPP	ausschließen
;	$.	;
es	PPER	es
konnte	VMFIN	können
sich	PRF	sich
nur	ADV	nur
um	APPR	um
Wundstarrkrampf	NN	Wundstarrkrampf
handeln	VVINF	handeln
.	$.	.
Aber	KON	aber
wie	KOUS	wie
war	VAFIN	sein
der	ART	die
Tetanusbazillus	NN	Tetanusbazillus
in	APPR	in
den	ART	die
Körper	NN	Körper
gelangt	VVPP	gelangen|langen
?	$.	?
Das	ART	die
Krankenexamen	NN	Krankenexamen
ergab	VVFIN	ergeben
nun	ADV	nun
eine	ART	eine
merkwürdige	ADJA	merkwürdig
Eingangspforte	NN	Eingangspforte
.	$.	.
Der	ART	die
Mann	NN	Mann
hatte	VAFIN	haben
hohle	ADJA	hohl
Zähne	NN	Zahn
und	KON	und
die	ART	die
Gewohnheit	NN	Gewohnheit
,	$,	,
sich	PRF	sich
mit	APPR	mit
einem	ART	eine
Holzsplitter	NN	Holzsplitter
darin	PAV	darin
Herumzustochern	VVIZU	herumstochern
.	$.	.
Bekam	VVFIN	bekommen
er	PPER	er
einmal	ADV	einmal
Zahnschmerzen	NN	Zahnschmerz
,	$,	,
so	ADV	so
bohrte	VVFIN	bohren
er	PPER	er
so	ADV	so
lange	ADV	lange
in	APPR	in
dem	ART	die
schmerzenden	ADJA	schmerzend
Zahn	NN	Zahn
herum	PTKVZ	herum
,	$,	,
bis	KOUS	bis
dieser	PDAT	dies
zu	PTKZU	zu
bluten	VVINF	bluten
anfing	VVFIN	anfangen
;	$.	;
davon	PAV	davon
soll	VMFIN	sollen
der	ART	die
Schmerz	NN	Schmerz
immer	ADV	immer
nachgelassen	VVPP	nachlassen
haben	VAINF	haben
.	$.	.
Eines	ART	eine
Tages	NN	Tag
machte	VVFIN	machen
ihm	PPER	er
bei	APPR	bei
der	ART	die
Gartenarbeit	NN	Gartenarbeit
der	ART	die
Zahn	NN	Zahn
zu	PTKZU	zu
schaffen	VVINF	schaffen
und	KON	und
er	PPER	er
behandelte	VVFIN	behandeln
ihn	PPER	er
wiederum	ADV	wiederum
mit	APPR	mit
einem	ART	eine
Splitter	NN	Splitter
.	$.	.
Dr.	NN	Dr.
Bandisch	ADJD	bandisch
nimmt	VVFIN	nehmen
nun	ADV	nun
an	PTKVZ	an
,	$,	,
daß	KOUS	dass
der	ART	die
Splitter	NN	Splitter
mit	APPR	mit
der	ART	die
Gartenerbe	NN	Gartenerbe
,	$,	,
die	PRELS	die
ja	ADV	ja
bekanntlich	ADV	bekanntlich
sehr	ADV	sehr
häufig	ADJD	häufig
die	ART	die
Erreger	NN	Erreger
des	ART	die
Wundstarrkrampfes	NN	Wundstarrkrampfes
beherbergt	VVPP	beherbergen
,	$,	,
in	APPR	in
Berührung	NN	Berührung
gekommen	VVPP	kommen
und	KON	und
dadurch	PAV	dadurch
die	ART	die
Bazillen	NN	Bazillus
in	APPR	in
die	ART	die
kleine	ADJA	klein
Verletzung	NN	Verletzung
des	ART	die
Zahns	NN	Zahn
hineingebracht	VVPP	hineinbringen
worden	VAPP	werden
sind	VAFIN	sein
.	$.	.
Der	ART	die
betreffende	ADJA	betreffend
Zahn	NN	Zahn
wurde	VAFIN	werden
ausgezogen	VVPP	ausziehen
,	$,	,
und	KON	und
schon	ADV	schon
am	APPRART	an+die
nächsten	ADJA	nah
Tage	NN	Tag
war	VAFIN	sein
sichtlich	ADJD	sichtlich
Besserung	NN	Besserung
eingetreten	VVPP	eintreten
.	$.	.
Da	KOUS	da
die	ART	die
Erreger	NN	Erreger
des	ART	die
Wundstarrkrampfs	NN	Wundstarrkrampfs
erfahrungsgemäß	ADJD	erfahrungsgemäß
sich	PRF	sich
nur	ADV	nur
an	APPR	an
der	ART	die
Stelle	NN	Stelle
der	ART	die
Verletzung	NN	Verletzung
ansiedeln	VVFIN	ansiedeln
,	$,	,
so	ADV	so
war	VAFIN	sein
mit	APPR	mit
der	ART	die
Entfernung	NN	Entfernung
des	ART	die
Zahns	NN	Zahn
jedenfalls	ADV	jedenfalls
ein	ART	eine
gutes	ADJA	gut
Theil	NN	Theil
der	ART	die
Krankheitsursache	NN	Krankheitsursache
mit	APPR	mit
entfernt	ADJD	entfernt
.	$.	.
Dieser	PDAT	dies
Fall	NN	Fall
mag	VMFIN	mögen
aber	ADV	aber
als	KOKOM	als
warnender	ADJA	warnend
Beweis	NN	Beweis
dafür	PAV	dafür
dienen	VVINF	dienen
,	$,	,
daß	KOUS	dass
durch	APPR	durch
unvorsichtigen	ADJA	unvorsichtig
Gebrauch	NN	Gebrauch
eines	ART	eine
unsauberen	ADJA	unsauber
Zahnstochers	NN	Zahnstochers
eine	ART	eine
lebensgefährliche	ADJA	lebensgefährlich
Blutvergiftung	NN	Blutvergiftung
eintreten	VVINF	eintreten
kann	VMFIN	können
.	$.	.
