Dresdner	NN	Dresdner
Nachrichten	NN	Nachricht
vom	APPRART	von+die
7	CARD	@card@
.	$.	.
August	NE	August
.	$.	.
–	$(	-
Im	APPRART	in+die
Königreiche	NN	Königreiche
Sachsen	NE	Sachsen
ereigneten	VVFIN	ereignen
sich	PRF	sich
im	APPRART	in+die
Monat	NN	Monat
Juli	NN	Juli
dieses	PDAT	dies
Jahres	NN	Jahr
an	APPR	an
Gebäuden	NN	Gebäude
243	CARD	@card@
Brand	NN	Brand
=	$(	=
bez.	ADJA	bez.
Schadenfälle	NN	Schadenfälle
,	$,	,
und	KON	und
zwar	ADV	zwar
entstanden	VVFIN	entstehen
154	CARD	@card@
durch	APPR	durch
Blitzschlag	NN	Blitzschlag
(	$(	(
51	CARD	@card@
zündende	ADJA	zündend
und	KON	und
103	ADJA	@card@
kalte	ADJA	kalt
Schläge	NN	Schlag
)	$(	)
und	KON	und
89	CARD	@card@
durch	APPR	durch
andere	PIS	andere
Ursachen	NN	Ursache
.	$.	.
Die	ART	die
Blitzschläge	NN	Blitzschlag
verteilen	VVFIN	verteilen
sich	PRF	sich
nach	APPR	nach
den	ART	die
kreis	VVIMP	kreisen
=	$(	=
bez.	ADJA	bez.
amtshauptmannschaftlichen	ADJA	amtshauptmannschaftlichen
Bezirken	NN	Bezirk
wie	KOKOM	wie
folgt	VVFIN	folgen
:	$.	:
Kreishauptmannschaft	NN	Kreishauptmannschaft
Bautzen	NE	Bautzen
36	CARD	@card@
.	$.	.
(	$(	(
Amtshauptmannschaft	NN	Amtshauptmannschaft
Bautzen	NE	Bautzen
14	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Kamenz	NN	Kamenz
16	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Löbau	NN	Löbau
6	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Zittau	NN	Zittau
1	CARD	@card@
)	$(	)
;	$.	;
Kreishauptmannschaft	NN	Kreishauptmannschaft
Dresden	NE	Dresden
68	CARD	@card@
(	$(	(
Amtshauptmannschaft	NN	Amtshauptmannschaft
Dippoldiswalde	NN	Dippoldiswalde
4	CARD	@card@
,	$,	,
Stadt	NN	Stadt
Dresden	NE	Dresden
6	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Dresden	NE	Dresden
=	$(	=
Altstadt	NN	Altstadt
5	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Dresden	NE	Dresden
=	$(	=
Neustadt	NN	Neustadt
15	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Freiberg	NE	Freiberg
12	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Großenhain	NN	Großenhain
7	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Weißen	NN	Weiß
12	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Pirna	NE	Pirna
7	CARD	@card@
)	$(	)
;	$.	;
Kreishauptmannschaft	NN	Kreishauptmannschaft
Leipzig	NE	Leipzig
18	CARD	@card@
(	$(	(
Amtshauptmannschaft	NN	Amtshauptmannschaft
Döbein	NN	Döbein
6	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Grimma	NN	Grimma
4	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Leipzig	NE	Leipzig
4	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Rochlitz	NE	Rochlitz
4	CARD	@card@
)	$(	)
;	$.	;
Kreishauptmannschaft	NN	Kreishauptmannschaft
Zwickau	NE	Zwickau
32	CARD	@card@
(	$(	(
Amtshauptmannschaft	NN	Amtshauptmannschaft
Auerbach	NE	Auerbach
7	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Chemnitz	NE	Chemnitz
4	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Flöha	NN	Flöha
3	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Marienberg	NE	Marienberg
5	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Dienitz	NN	Dienitz
1	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Plauen	NE	Plauen
3	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Schwarzenberg	NE	Schwarzenberg
5	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Zwickau	NE	Zwickau
3	CARD	@card@
)	$(	)
.	$.	.
Hiernach	PAV	hiernach
kommt	VVFIN	kommen
die	ART	die
höchste	ADJA	hoch
Zahl	NN	Zahl
von	APPR	von
Blitzichlägen	NN	Blitzichlägen
(	$(	(
16	CARD	@card@
)	$(	)
auf	APPR	auf
den	ART	die
amtshauptmannschaftliche	ADJA	amtshauptmannschaftliche
Bezirk	NN	Bezirk
Kamenz	NN	Kamenz
.	$.	.
Die	ART	die
häfigsten	ADJA	häfigsten
Blitzschläge	NN	Blitzschlag
fielen	VVFIN	fallen
am	APPRART	an+die
4	CARD	@card@
.	$.	.
,	$,	,
22	CARD	@card@
/	$(	/
23	CARD	@card@
.	$.	.
und	KON	und
26	CARD	@card@
.	$.	.
des	ART	die
gedachten	ADJA	gedacht
Monats	NN	Monat
und	KON	und
zwar	ADV	zwar
bez.	ADJA	bez.
36	CARD	@card@
,	$,	,
64	CARD	@card@
und	KON	und
28	CARD	@card@
.	$.	.
–	$(	-
Unter	APPR	unter
den	ART	die
vom	APPRART	von+die
Blitz	NN	Blitz
betroffenen	ADJA	betroffen
Gebäuden	NN	Gebäude
befanden	VVFIN	befinden
sich	PRF	sich
16	CARD	@card@
mit	APPR	mit
Blizableitungen	NN	Blizableitungen
versehene	ADJA	versehen
;	$.	;
eins	CARD	eins
derselben	PDS	dieselbe
wurde	VAFIN	werden
in	APPR	in
Brand	NE	Brand
gesetzt	VVPP	setzen
.	$.	.
Zur	APPRART	zu+die
Vergleichung	NN	Vergleichung
sei	VAFIN	sein
bemerkt	VVPP	bemerken
,	$,	,
daß	KOUS	dass
im	APPRART	in+die
Monat	NN	Monat
Juli	NN	Juli
vorigen	ADJA	vorig
Jahres	NN	Jahr
245	CARD	@card@
Brand	NN	Brand
=	$(	=
bez.	ADJA	bez.
Schadenfälle	NN	Schadenfälle
und	KON	und
zwar	ADV	zwar
:	$.	:
170	CARD	@card@
durch	APPR	durch
Blitzschlag	NN	Blitzschlag
(	$(	(
51	CARD	@card@
zündende	ADJA	zündend
und	KON	und
119	ADJA	@card@
kalte	ADJA	kalt
Schläge	NN	Schlag
)	$(	)
und	KON	und
75	CARD	@card@
infolge	APPR	infolge
anderer	PIAT	andere
Ursachen	NN	Ursache
vorgekommen	VVPP	vorkommen
waren	VAFIN	sein
.	$.	.
Nach	APPR	nach
den	ART	die
kreis	VVIMP	kreisen
=	$(	=
bez.	ADJA	bez.
amtshauptmannschaftlichen	ADJA	amtshauptmannschaftlichen
Bezirken	NN	Bezirk
verteilten	VVFIN	verteilen
sich	PRF	sich
die	ART	die
Blitzschläge	NN	Blitzschlag
in	APPR	in
nachstehender	ADJA	nachstehend
Weise	NN	Weise
:	$.	:
Kreishauptmannschaft	NN	Kreishauptmannschaft
Bautzen	NE	Bautzen
8	CARD	@card@
.	$.	.
(	$(	(
Amtshauptmannschaft	NN	Amtshauptmannschaft
Bautzen	NE	Bautzen
3	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Löbau	NN	Löbau
2	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Zittau	NN	Zittau
3	CARD	@card@
)	$(	)
;	$.	;
Kreishauptsmannschaft	NN	Kreishauptsmannschaft
Dresden	NE	Dresden
35	CARD	@card@
(	$(	(
Amtshauptmannschaft	NN	Amtshauptmannschaft
Dippoldiswalde	NN	Dippoldiswalde
8	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Dresden	NE	Dresden
=	$(	=
Neustadt	NN	Neustadt
10	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Freiberg	NE	Freiberg
2	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Großbenhain	NN	Großbenhain
1	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Meißen	NE	Meißen
9	CARD	@card@
,	$,	,
Amtshauptmannschaft	NN	Amtshauptmannschaft
Pirna	NE	Pirna
5	CARD	@card@
)	$(	)
