Bayreuth	NE	Bayreuth
,	$,	,
12	CARD	@card@
.	$.	.
April	NN	April
.	$.	.
Heute	ADV	heute
wurde	VAFIN	werden
dem	ART	die
Maurer	NN	Maurer
J.	APPR	j.
Weidenhammer	NN	Weidenhammer
von	APPR	von
der	ART	die
Altstadt	NN	Altstadt
beim	APPRART	bei+die
Grundgraben	NN	Grundgraben
durch	APPR	durch
Einbrechen	NN	Einbrechen
der	ART	die
Wand	NN	Wand
der	ART	die
Kopf	NN	Kopf
zerquetscht	VVPP	zerquetschen
.	$.	.
Der	ART	die
Unglückliche	NN	Unglückliche
hinterläßt	VVFIN	hinterlassen
eine	ART	eine
Wittwe	NN	Wittwe
und	KON	und
eine	ART	eine
Tochter	NN	Tochter
.	$.	.
Auch	ADV	auch
ein	ART	eine
Taglöhner	NN	Taglöhner
wurde	VAFIN	werden
dabei	PAV	dabei
verletzt	VVPP	verletzen
.	$.	.
—	$,	—
Im	APPRART	in+die
nahen	ADJA	nah
Gesees	NN	Gesees
wurde	VAFIN	werden
gestern	ADV	gestern
ein	ART	eine
Turnplatz	NN	Turnplatz
eingeweiht	VVPP	eingeweiht
,	$,	,
ein	ART	eine
Beweis	NN	Beweis
für	APPR	für
die	ART	die
Einsicht	NN	Einsicht
und	KON	und
Rührigkeit	NN	Rührigkeit
jener	PDAT	jen
Gemeinde	NN	Gemeinde
.	$.	.
