*	XY	*
Frankfurt	NE	Frankfurt
,	$,	,
2	CARD	@card@
.	$.	.
Oct	NE	Oct
.	$.	.
Nach	APPR	nach
der	ART	die
„	$(	„
Preußischen	NN	Preußische
(	$(	(
Adler	NE	Adler
=	$(	=
)	$(	)
Zeitung	NN	Zeitung
”	NN	”
geben	VVFIN	geben
wir	PPER	wir
nachstehend	ADJD	nachstehend
die	ART	die
Depesche	NN	Depesche
,	$,	,
welche	PRELS	welche
unter	APPR	unter
dem	ART	die
27	CARD	@card@
.	$.	.
v.	APPR	von
M.	NE	M.
in	APPR	in
der	ART	die
Zollvereinsangelegenheit	NN	Zollvereinsangelegenheit
von	APPR	von
dem	ART	die
preußischen	ADJA	preußisch
Ministerpräsidenten	NN	Ministerpräsident
an	APPR	an
die	ART	die
königl	NE	königl
.	$.	.
preußischen	ADJA	preußisch
Gesandtschaften	NN	Gesandtschaft
bei	APPR	bei
den	ART	die
betreffenden	ADJA	betreffend
Zollvereinsregierungen	NN	Zollvereinsregierungen
erlassen	VVPP	erlassen
ist	VAFIN	sein
:	$.	:
In	APPR	in
der	ART	die
Erklärung	NN	Erklärung
,	$,	,
welche	PRELS	welche
preußischerseits	ADV	preußischerseits
in	APPR	in
der	ART	die
Sitzung	NN	Sitzung
der	ART	die
hiesigen	ADJA	hiesig
Zollconferenz	NN	Zollconferenz
vom	APPRART	von+die
30	ADJA	@card@
August	NN	August
d.	ART	d.
J.	NE	J.
abgegeben	VVPP	abgeben
worden	VAPP	werden
,	$,	,
ist	VAFIN	sein
die	ART	die
Nothwendigkeit	NN	Nothwendigkeit
dargethan	VVPP	dargethan
,	$,	,
die	ART	die
Frage	NN	Frage
über	APPR	über
den	ART	die
Umfang	NN	Umfang
des	ART	die
künftigen	ADJA	künftig
Vereins	NN	Verein
rechtzeitig	ADJD	rechtzeitig
bindend	ADJD	bindend
festzustellen	VVIZU	feststellen
,	$,	,
und	KON	und
es	PPER	es
ist	VAFIN	sein
in	APPR	in
Verbindung	NN	Verbindung
hiermit	PAV	hiermit
die	ART	die
Hoffnung	NN	Hoffnung
ausgesprochen	VVPP	aussprechen
,	$,	,
daß	KOUS	dass
in	APPR	in
einer	ART	eine
in	APPR	in
der	ART	die
ersten	ADJA	erst
Hälfte	NN	Hälfte
des	ART	die
Monats	NN	Monat
September	NN	September
anzuberaumenden	ADJA	anzuberaumenden
Sitzung	NN	Sitzung
die	ART	die
wegen	APPR	wegen
einer	ART	eine
gemeinschaftlichen	ADJA	gemeinschaftlich
Grundlage	NN	Grundlage
der	ART	die
Verhandlungen	NN	Verhandlung
gewünschte	ADJA	gewünscht
Rückäußerung	NN	Rückäußerung
erfolgen	VVINF	erfolgen
werde	VAFIN	werden
,	$,	,
ohne	APPR	ohne
welche	PRELS	welche
man	PIS	man
diesseits	ADV	diesseits
in	APPR	in
weitere	ADJA	weit
Verhandlungen	NN	Verhandlung
mit	APPR	mit
der	ART	die
Gesammtheit	NN	Gesammtheit
der	ART	die
Zollverbündeten	NN	Zollverbündeten
nicht	PTKNEG	nicht
würde	VAFIN	werden
eintreten	VVINF	eintreten
können	VMINF	können
.	$.	.
Judem	VVFIN	Judem
wir	PPER	wir
jene	PDAT	jen
Hoffnung	NN	Hoffnung
aussprachen	VVINF	aussprechen
,	$,	,
glaubten	VVFIN	glauben
wir	PPER	wir
des	ART	die
allseitigen	ADJA	allseitig
Einverständnisses	NN	Einverständnis
damit	PAV	damit
um	APPR	um
