1	CARD	@card@
.	$.	.
Allgemeine	ADJA	allgemein
Lebensbedingungen	NN	Lebensbedingung
.	$.	.
Wärme	NN	Wärme
und	KON	und
Feuchtigkeit	NN	Feuchtigkeit
sind	VAFIN	sein
,	$,	,
wie	KOUS	wie
für	APPR	für
alle	PIAT	alle
organische	ADJA	organisch
Wesen	NN	Wesen
,	$,	,
so	ADV	so
für	APPR	für
die	ART	die
Mollusken	NN	Mollusken
wesentliche	ADJA	wesentlich
Lebensbedingungen	NN	Lebensbedingung
;	$.	;
ihre	PPOSAT	ihr
Abstufungen	NN	Abstufung
bilden	VVFIN	bilden
die	ART	die
wichtigsten	ADJA	wichtig
Einflüsse	NN	Einfluss
,	$,	,
welche	PRELS	welche
die	ART	die
Aussenwelt	NN	Außenwelt
auf	APPR	auf
Verbreitung	NN	Verbreitung
und	KON	und
Begränzung	NN	Begränzung
derselben	PDS	dieselbe
ausübt	VVFIN	ausüben
.	$.	.
Jede	PIAT	jede
Art	NN	Art
verlangt	VVPP	verlangen
zu	APPR	zu
ihrem	PPOSAT	ihr
Gedeihen	NN	Gedeihen
ein	ART	eine
bestimmtes	ADJA	bestimmt
Maass	NN	Maass
von	APPR	von
beiden	PIAT	beide
,	$,	,
welches	PRELS	welche
zwischen	APPR	zwischen
ziemlich	ADV	ziemlich
engen	ADJA	eng
Gränzen	NN	Gränzen
eingeschlossen	VVPP	einschließen
ist	VAFIN	sein
;	$.	;
mehr	ADV	mehr
oder	KON	oder
weniger	PIS	wenige
kann	VMFIN	können
sie	PPER	sie
bis	KON	bis
zu	APPR	zu
einem	ART	eine
gewissen	ADJA	gewiss
Grade	NN	Grad
ertragen	VVINF	ertragen
,	$,	,
sich	PRF	sich
dagegen	PAV	dagegen
schützen	VVFIN	schützen
,	$,	,
aber	KON	aber
ohne	KOUI	ohne
zu	PTKZU	zu
gedeihen	VVINF	gedeihen
,	$,	,
ohne	KOUI	ohne
sich	PRF	sich
zu	PTKZU	zu
vermehren	VVINF	vermehren
,	$,	,
und	KON	und
ein	ART	eine
grösseres	ADJA	groß
Uebermaass	NN	Uebermaass
tödtet	ADJD	tödtet
sie	PPER	sie
.	$.	.
Diese	PDAT	dies
Gränzen	NN	Gränzen
sind	VAFIN	sein
für	APPR	für
die	ART	die
verschiedenen	ADJA	verschieden
Arten	NN	Art
verschieden	VVPP	verscheiden
,	$,	,
doch	ADV	doch
nicht	PTKNEG	nicht
so	ADV	so
sehr	ADV	sehr
,	$,	,
als	KOUS	als
auf	APPR	auf
den	ART	die
ersten	ADJA	erst
Anblick	NN	Anblick
scheinen	VVINF	scheinen
möchte	VMFIN	mögen
.	$.	.
Da	KOUS	da
die	ART	die
Schnecken	NN	Schnecke
,	$,	,
wie	KOUS	wie
schon	ADV	schon
der	ART	die
wissenschaftliche	ADJA	wissenschaftlich
Name	NN	Name
