Was	PWS	was
ist	VAFIN	sein
doch	ADV	doch
jedes	PIAT	jede
Menschen	NN	Mensch
Geburt	NN	Geburt
für	APPR	für
eine	ART	eine
hohe	ADJA	hoch
,	$,	,
heilige	ADJA	heilig
Sache	NN	Sache
,	$,	,
meine	PPOSAT	mein
Lieben	NN	Liebe|Lieben
?	$.	?
Ist	VAFIN	sein
der	ART	die
Mensch	NN	Mensch
nicht	PTKNEG	nicht
das	ART	die
geistige	ADJA	geistig
Ebenbild	NN	Ebenbild
Gottes	NN	Gott
?	$.	?
Ist	VAFIN	sein
er	PPER	er
nicht	PTKNEG	nicht
der	ART	die
Preis	NN	Preis
der	ART	die
Schöpfung	NN	Schöpfung
?	$.	?
Hat	VAFIN	haben
ihn	PPER	er
der	ART	die
Herr	NN	Herr
nicht	PTKNEG	nicht
selbst	ADV	selbst
gekrönt	VVPP	krönen
mit	APPR	mit
Ehre	NN	Ehre
und	KON	und
Schmuck	NN	Schmuck
,	$,	,
und	KON	und
ihn	PPER	er
zum	APPRART	zu+die
Herrn	NN	Herr
gemacht	VVPP	machen
über	APPR	über
seiner	PPOSAT	sein
Hände	NN	Hand
Werk	NN	Werk
,	$,	,
indem	KOUS	indem
er	PPER	er
ihm	PPER	er
Geist	NN	Geist
gab	VVFIN	geben
von	APPR	von
seinem	PPOSAT	sein
Geist	NN	Geist
,	$,	,
also	ADV	also
daß	KOUS	dass
er	PPER	er
im	APPRART	in+die
Stande	NN	Stand
ist	VAFIN	sein
,	$,	,
Gott	NN	Gott
selbst	ADV	selbst
in	APPR	in
seinem	PPOSAT	sein
vollkommenen	ADJA	vollkommen
Wesen	NN	Wesen
,	$,	,
Walten	NN	Walten
und	KON	und
Wirken	NN	Wirken
zu	PTKZU	zu
erkennen	VVINF	erkennen
;	$.	;
indem	KOUS	indem
er	PPER	er
ihm	PPER	er
Kraft	NN	Kraft
gab	VVFIN	geben
von	APPR	von
seiner	PPOSAT	sein
Kraft	NN	Kraft
,	$,	,
also	ADV	also
daß	KOUS	dass
er	PPER	er
befähigt	VVPP	befähigen
ist	VAFIN	sein
,	$,	,
das	ART	die
Böse	NN	Böse
zu	PTKZU	zu
meiden	VVINF	meiden
,	$,	,
und	KON	und
das	ART	die
Herrlichste	NN	Herrlichste
und	KON	und
Heiligste	NN	Heiligste
zu	PTKZU	zu
vollbringen	VVINF	vollbringen
,	$,	,
das	PRELS	die
nicht	PTKNEG	nicht
selten	ADJD	selten
Millionen	NN	Million
glücklich	ADJD	glücklich
macht	VVFIN	machen
,	$,	,
und	KON	und
einer	ART	eine
ganzen	ADJA	ganz
Welt	NN	Welt
jahrhundertelang	ADJD	jahrhundertelang
Segen	NN	Segen
bereitet	VVFIN	bereiten
?	$.	?
Und	KON	und
nun	ADV	nun
,	$,	,
meine	PPOSAT	mein
Lieben	NN	Liebe|Lieben
,	$,	,
welch	PIAT	welche
‘	$(	‘
hohe	ADJA	hoch
und	KON	und
heilige	ADJA	heilig
Sache	NN	Sache
ist	VAFIN	sein
die	ART	die
Geburt	NN	Geburt
unseres	PPOSAT	unser
lieben	ADJA	lieb
Herrn	NN	Herr
Jesu	NN	Jesu
Christi	NE	Christi
,	$,	,
der	PRELS	die
wir	PPER	wir
heut	VVFIN	heuen
‘	$(	‘
in	APPR	in
Demuth	NN	Demuth
und	KON	und
Dankbarkeit	NN	Dankbarkeit
gedenken	VVINF	gedenken
?	$.	?
Welch	PIAT	welche
‘	$(	‘
hehre	NN	hehre
Liebe	NN	Liebe
hat	VAFIN	haben
Gott	NN	Gott
seiner	PPOSAT	sein
Welt	NN	Welt
gezeigt	VVPP	zeigen
,	$,	,
daß	KOUS	dass
er	PPER	er
ihr	PPER	ihr
seinen	PPOSAT	sein
eingeborenen	ADJA	eingeboren
Sohn	NN	Sohn
gab	VVFIN	geben
?	$.	?
Mit	APPR	mit
welchen	PIAT	welche
Gaben	NN	Gabe
und	KON	und
Kräften	NN	Kraft
hatte	VAFIN	haben
der	ART	die
Vater	NN	Vater
ihn	PPER	er
ausgestattet	VVPP	ausstatten
?	$.	?
Welch	PIAT	welche
‘	$(	‘
heiliges	ADJA	heilig
,	$,	,
von	APPR	von
den	ART	die
Weisen	NN	Weise
des	ART	die
Alterthumes	NN	Alterthumes
kaum	ADV	kaum
geahntes	ADJA	geahntes
Wort	NN	Wort
hat	VAFIN	haben
er	PPER	er
durch	APPR	durch
ihn	PPER	er
geoffenbart	VVPP	offenbaren
?	$.	?
Welch	PIAT	welche
‘	$(	‘
erhabene	ADJA	erhaben
Thaten	NN	Thaten
und	KON	und
Werke	NN	Werk
hat	VAFIN	haben
er	PPER	er
durch	APPR	durch
ihn	PPER	er
gezeigt	VVPP	zeigen
?	$.	?
Und	KON	und
welch	PIAT	welche
‘	$(	‘
über	APPR	über
alle	PIAT	alle
Maßen	NN	Maß
herrliche	ADJA	herrlich
Aufgabe	NN	Aufgabe
hat	VAFIN	haben
ihm	PPER	er
der	ART	die
Vater	NN	Vater
dadurch	PAV	dadurch
gegeben	VVPP	geben
,	$,	,
daß	KOUS	dass
er	PPER	er
ihn	PPER	er
auserkohr	VVPP	auserkohr
,	$,	,
ein	ART	eine
Reich	NN	Reich
der	ART	die
wahren	ADJA	wahr
religösen	ADJA	religösen
Erkenntnis	NN	Erkenntnis
,	$,	,
ein	ART	eine
Reich	NN	Reich
der	ART	die
rechten	ADJA	recht|rechts
Liebe	NN	Liebe
und	KON	und
Versöhnlichkeit	NN	Versöhnlichkeit
zu	PTKZU	zu
stiften	VVINF	stiften
,	$,	,
und	KON	und
daß	KOUS	dass
er	PPER	er
um	APPR	um
dieses	PDAT	dies
Reiches	NN	Reich
und	KON	und
um	APPR	um
der	ART	die
Erlösung	NN	Erlösung
seiner	PPOSAT	sein
Kinder	NN	Kind
willen	APPO	willen
ihn	PPER	er
als	KOKOM	als
den	ART	die
Unschuldigsten	ADJA	unschuldig
und	KON	und
Reinsten	ADJA	rein
aller	PIAT	alle
Sterblichen	NN	Sterbliche
am	APPRART	an+die
Stamme	NN	Stamm
des	ART	die
Kreuzes	NN	Kreuz
leiden	VVINF	leiden
und	KON	und
sterben	VVINF	sterben
ließ	VVFIN	lassen
?	$.	?
Wahrhaftig	ADJD	wahrhaftig
,	$,	,
meine	PPOSAT	mein
Lieben	NN	Liebe|Lieben
,	$,	,
auf	APPR	auf
ihm	PPER	er
ruhete	NN	ruhete
,	$,	,
wie	KOUS	wie
schon	ADV	schon
der	ART	die
Prophet	NN	Prophet
des	ART	die
alten	ADJA	alt
Bundes	NN	Bund
weissagte	VVFIN	weissagen
,	$,	,
der	ART	die
Geist	NN	Geist
der	ART	die
Weisheit	NN	Weisheit
und	KON	und
des	ART	die
Verstandes	NN	Verstand
,	$,	,
der	ART	die
Geist	NN	Geist
des	ART	die
Rathes	NE	Rathes
und	KON	und
der	ART	die
Stärke	NN	Stärke
,	$,	,
der	ART	die
Geist	NN	Geist
der	ART	die
Erkenntniß	NN	Erkenntniß
und	KON	und
der	ART	die
Furcht	NN	Furcht
des	ART	die
Herrn	NN	Herr
!	$.	!
Wahrhaftig	ADJD	wahrhaftig
!	$.	!
in	APPR	in
ihm	PPER	er
und	KON	und
durch	APPR	durch
ihn	PPER	er
hat	VAFIN	haben
sich	PRF	sich
der	ART	die
Vater	NN	Vater
im	APPRART	in+die
Himmel	NN	Himmel
seinen	PPOSAT	sein
Menschenkindern	NN	Menschenkind
am	APPRART	an+die
letzten	ADJA	letzt
und	KON	und
am	PTKA	am
deutlichsten	ADJD	deutlich
geoffenbart	VVPP	offenbaren
!	$.	!
in	APPR	in
ihm	PPER	er
und	KON	und
durch	APPR	durch
ihn	PPER	er
hat	VAFIN	haben
Gott	NN	Gott
die	ART	die
Welt	NN	Welt
am	PTKA	am
auffälligsten	ADJD	auffällig
und	KON	und
deutlichsten	ADJD	deutlich
geliebt	VVPP	lieben
,	$,	,
also	ADV	also
,	$,	,
daß	KOUS	dass
Alle	PIAT	alle
,	$,	,
die	PRELS	die
an	APPR	an
ihn	PPER	er
glauben	VVFIN	glauben
,	$,	,
nicht	PTKNEG	nicht
verloren	VVPP	verlieren
werden	VAFIN	werden
,	$,	,
sondern	KON	sondern
das	ART	die
ewige	ADJA	ewig
Leben	NN	Leben
haben	VAFIN	haben
!	$.	!
!	$.	!
!	$.	!
Darum	PAV	darum
jauchzet	VVFIN	jauchzen
,	$,	,
ihr	PPOSAT	ihr
Himmel	NN	Himmel
!	$.	!
Freue	VVFIN	freuen
dich	PPER	du
,	$,	,
Erde	NN	Erde
!	$.	!
lobet	VVFIN	loben
ihr	PPOSAT	ihr
Berge	NN	Berg
mit	APPR	mit
Jauchzen	NN	Jauchzen
!	$.	!
denn	KON	denn
der	ART	die
Herr	NN	Herr
hat	VAFIN	haben
sein	PPOSAT	sein
Volk	NN	Volk
getröstet	VVPP	trösten
,	$,	,
und	KON	und
sich	PRF	sich
erbarmet	NE	erbarmet
aller	PIAT	alle
Elenden	NN	Elende
im	APPRART	in+die
Lande	NN	Land
!	$.	!
Freuet	VVFIN	freuen
Euch	PRF	ihr
,	$,	,
ihr	PPOSAT	ihr
Völker	NN	Volk
,	$,	,
denn	KON	denn
Euch	PPER	ihr
ist	VAFIN	sein
heute	ADV	heute
der	ART	die
Heiland	NN	Heiland
geboren	VVPP	gebären
,	$,	,
welcher	PWAT	welche
ist	VAFIN	sein
Christus	NN	Christus
,	$,	,
der	ART	die
Herr	NN	Herr
in	APPR	in
der	ART	die
Stadt	NN	Stadt
Davids	NE	David
!	$.	!
Freuet	VVFIN	freuen
Euch	PRF	ihr
,	$,	,
ihr	PPOSAT	ihr
Völker	NN	Volk
!	$.	!
denn	KON	denn
mit	APPR	mit
ihm	PPER	er
und	KON	und
durch	APPR	durch
ihn	PPER	er
ist	VAFIN	sein
Eure	PPOSAT	euer
Erlösung	NN	Erlösung
angebrochen	VVPP	anbrechen
!	$.	!
durch	APPR	durch
ihn	PPER	er
sind	VAFIN	sein
Eure	PPOSAT	euer
Ketten	NN	Kette
gesprungen	VVPP	springen
,	$,	,
Eure	PPOSAT	euer
Betrüger	NN	Betrüger
entlarvt	VVPP	entlarven
,	$,	,
Eure	PPOSAT	euer
Peiniger	NN	Peiniger
und	KON	und
Widersacher	NN	Widersacher
in’s	NE	in’s
Grab	NN	Grab
der	ART	die
Verwesung	NN	Verwesung
gelegt	VVPP	legen
;	$.	;
freuet	VVFIN	freuen
Euch	PRF	ihr
Alle	PIS	alle
,	$,	,
ihr	PPOSAT	ihr
Christen	NN	Christ
,	$,	,
denn	KON	denn
durch	APPR	durch
ihn	PPER	er
ist	VAFIN	sein
auch	ADV	auch
Eure	PPOSAT	euer
Bestimmung	NN	Bestimmung
,	$,	,
„	$(	„
ein	ART	eine
Volk	NN	Volk
Gottes	NN	Gott
“	$(	“
auf	APPR	auf
Erden	NN	Erde|Erden
zu	PTKZU	zu
werden	VAINF	werden
,	$,	,
geoffenbart	VVPP	offenbaren
und	KON	und
an’s	NN	an’s
Licht	NN	Licht
gestellt	VVPP	stellen
!	$.	!
–	$(	-
Ja	NN	Ja
!	$.	!
Diese	PDAT	dies
Erzählung	NN	Erzählung
führt	VVFIN	führen
uns	PPER	wir
,	$,	,
meine	PPOSAT	mein
Lieben	NN	Liebe|Lieben
,	$,	,
an	APPR	an
die	ART	die
Geburtsstätte	NN	Geburtsstätte
des	ART	die
Herrn	NN	Herr
,	$,	,
an	APPR	an
den	ART	die
heiligen	ADJA	heilig
Ort	NN	Ort
,	$,	,
auf	APPR	auf
welchen	PRELS	welche
heut	VVFIN	heuen
‘	$(	‘
die	ART	die
Blicke	NN	Blick
von	APPR	von
Millionen	NN	Million
dankbarer	ADJA	dankbar
Christen	NN	Christ
mit	APPR	mit
hoher	ADJA	hoch
Freudigkeit	NN	Freudigkeit
und	KON	und
tiefer	ADJA	tief
Rührung	NN	Rührung
des	ART	die
Herzens	NN	Herz
gerichtet	VVPP	richten
sind	VAFIN	sein
,	$,	,
und	KON	und
auf	APPR	auf
welchen	PIS	welche
auch	ADV	auch
wir	PPER	wir
,	$,	,
und	KON	und
mit	APPR	mit
uns	PPER	wir
Alle	PIS	alle
,	$,	,
die	PRELS	die
durch	APPR	durch
den	ART	die
unheiligen	ADJA	unheilig
Geist	NN	Geist
der	ART	die
Zeit	NN	Zeit
noch	ADV	noch
nicht	PTKNEG	nicht
verblendet	VVPP	verblenden
,	$,	,
im	APPRART	in+die
Herzen	NN	Herz
noch	ADV	noch
nicht	PTKNEG	nicht
verhärtet	VVPP	verhärten
sind	VAFIN	sein
,	$,	,
in	APPR	in
wahrer	ADJA	wahr
Demuth	NN	Demuth
und	KON	und
Dankbarkeit	NN	Dankbarkeit
schauen	VVFIN	schauen
.	$.	.
Aufscheinend	ADJD	Aufscheinend
berichtet	VVFIN	berichten
uns	PPER	wir
die	ART	die
Geschichte	NN	Geschichte
von	APPR	von
der	ART	die
Geburt	NN	Geburt
des	ART	die
Herrn	NN	Herr
nur	ADV	nur
wenig	PIS	wenige
.	$.	.
Giebt	VVFIN	Giebt
sie	PPER	sie
doch	ADV	doch
nur	ADV	nur
in	APPR	in
kurzen	ADJA	kurz
Worten	NN	Wort
den	ART	die
Grund	NN	Grund
an	PTKVZ	an
,	$,	,
der	PRELS	die
die	ART	die
Eltern	NN	Eltern
Christi	NE	Christi
zur	APPRART	zu+die
Wanderung	NN	Wanderung
von	APPR	von
Nazareth	NE	Nazareth
nach	APPR	nach
Bethlehem	NE	Bethlehem
bestimmte	VVFIN	bestimmen
.	$.	.
Läßt	VVFIN	lassen
sie	PPER	sie
uns	PRF	wir
doch	ADV	doch
nur	ADV	nur
in	APPR	in
wenig	PIAT	wenige
Zügen	NN	Zug
die	ART	die
arme	ADJA	arm
,	$,	,
zum	APPRART	zu+die
Schutz	NN	Schutz
der	ART	die
Thiere	NN	Thiere
erbaute	ADJA	erbaut
Hütte	NN	Hütte
und	KON	und
das	ART	die
harte	ADJA	hart
Lager	NN	Lager
schauen	VVFIN	schauen
,	$,	,
die	PRELS	die
den	ART	die
Heiligen	NN	Heilige
des	ART	die
Herrn	NN	Herr
empfingen	VVFIN	empfangen
,	$,	,
und	KON	und
wo	PWAV	wo
die	ART	die
armen	ADJA	arm
Eltern	NN	Eltern
unter	APPR	unter
frommer	ADJA	fromm
Mühe	NN	Mühe
und	KON	und
Sorge	NN	Sorge
um	APPR	um
den	ART	die
Säugling	NN	Säugling
beschäftigt	VVPP	beschäftigen
waren	VAFIN	sein
;	$.	;
und	KON	und
