Spät	ADJD	spät
Abends	NN	Abend
.	$.	.
An	APPR	an
der	ART	die
Augartenbrücke	NN	Augartenbrücke
.	$.	.
Soldat	NN	Soldat
(	$(	(
kommt	VVFIN	kommen
pfeifend	ADJD	pfeifend
,	$,	,
will	VMFIN	wollen
nach	APPR	nach
Hause	NN	Haus
)	$(	)
.	$.	.
Dirne	NN	Dirne
.	$.	.
Komm	VVIMP	kommen
,	$,	,
mein	PPOSAT	mein
schöner	ADJA	schön
Engel	NN	Engel
.	$.	.
Soldat	NN	Soldat
(	$(	(
wendet	VVFIN	wenden
sich	PRF	sich
um	PTKVZ	um
und	KON	und
geht	VVFIN	gehen
wieder	ADV	wieder
weiter	ADV	weiter
)	$(	)
.	$.	.
Dirne	NN	Dirne
.	$.	.
Willst	VMFIN	wollen
du	PPER	du
nicht	PTKNEG	nicht
mit	APPR	mit
mir	PPER	ich
kommen	VVINF	kommen
?	$.	?
Soldat	NN	Soldat
.	$.	.
Ah	ITJ	ah
,	$,	,
ich	PPER	ich
bin	VAFIN	sein
der	ART	die
schöne	ADJA	schön
Engel	NN	Engel
?	$.	?
Dirne	NN	Dirne
.	$.	.
Freilich	ADV	freilich
,	$,	,
wer	PWS	wer
denn	ADV	denn
?	$.	?
Geh	VVIMP	gehen
'	$(	'
,	$,	,
komm	VVIMP	kommen
'	$(	'
zu	APPR	zu
mir	PPER	ich
.	$.	.
Ich	PPER	ich
wohn	VVIMP	wohnen
'	$(	'
gleich	ADJD	gleich
in	APPR	in
der	ART	die
Näh	VVIMP	nähen
'	$(	'
.	$.	.
Soldat	NN	Soldat
.	$.	.
Ich	PPER	ich
hab	VAIMP	haben
'	$(	'
keine	PIAT	keine
Zeit	NN	Zeit
.	$.	.
Ich	PPER	ich
muß	VMFIN	müssen
in	APPR	in
die	ART	die
Kasern	NN	Kasern
'	$(	'
!	$.	!
Dirne	NN	Dirne
.	$.	.
In	APPR	in
die	ART	die
Kasern	NN	Kasern
'	$(	'
kommst	VVFIN	kommen
immer	ADV	immer
noch	ADV	noch
zurecht	PTKVZ	zurecht
.	$.	.
Bei	APPR	bei
mir	PPER	ich
is	XY	is
besser	ADJD	gut
.	$.	.
Soldat	NN	Soldat
(	$(	(
ihr	PPER	ihr
nahe	VVFIN	nahen
)	$(	)
.	$.	.
Das	PDS	die
ist	VAFIN	sein
schon	ADV	schon
möglich	ADJD	möglich
.	$.	.
Dirne	NN	Dirne
.	$.	.
Pst	NN	Pst
.	$.	.
Jeden	PIAT	jede
Moment	NN	Moment
kann	VMFIN	können
ein	ART	eine
Wachmann	NN	Wachmann
kommen	VVINF	kommen
.	$.	.
Soldat	NN	Soldat
.	$.	.
Lächerlich	ADJD	lächerlich
!	$.	!
Wachmann	NE	Wachmann
!	$.	!
Ich	PPER	ich
hab	VAIMP	haben
'	$(	'
auch	ADV	auch
mein	PPOSAT	mein
Seiteng	NN	Seiteng
'	$(	'
wehr	VVIMP	wehren
!	$.	!
Dirne	NN	Dirne
.	$.	.
Geh	VVIMP	gehen
'	$(	'
,	$,	,
komm	VVIMP	kommen
'	$(	'
mit	PTKVZ	mit
.	$.	.
Soldat	NN	Soldat
.	$.	.
Laß	VVIMP	lassen
mich	PRF	ich
in	APPR	in
Ruh	VVIMP	ruhen
'	$(	'
.	$.	.
Geld	NN	Geld
hab	VAIMP	haben
'	$(	'
ich	PPER	ich
eh	ADV	eh
kein	PIAT	keine
'	$(	'
s.	ADV	s.
Dirne	NN	Dirne
.	$.	.
Ich	PPER	ich
brauch	VVIMP	brauchen
'	$(	'
kein	PIAT	keine
Geld	NN	Geld
.	$.	.
Soldat	NN	Soldat
(	$(	(
bleibt	VVFIN	bleiben
stehen	VVINF	stehen
.	$.	.
Sie	PPER	Sie
sind	VAFIN	sein
bei	APPR	bei
einer	ART	eine
Laterne	NN	Laterne
)	$(	)
.	$.	.
Du	PPER	du
brauchst	VVFIN	brauchen
kein	PIAT	keine
Geld	NN	Geld
?	$.	?
Wer	PWS	wer
bist	VAFIN	sein
