I.	NE	I.
In	APPR	in
dem	ART	die
Zusammenbruch	NN	Zusammenbruch
aller	PIAT	alle
traditionellen	ADJA	traditionell
Werte	NN	Wert
,	$,	,
der	PRELS	die
in	APPR	in
der	ART	die
Nachkriegszeit	NN	Nachkriegszeit
erst	ADV	erst
völlig	ADJD	völlig
offenkundig	ADJD	offenkundig
wurde	VAFIN	werden
,	$,	,
ist	VAFIN	sein
das	ART	die
ganze	ADJA	ganz
Leben	NN	Leben
fragwürdig	ADJD	fragwürdig
geworden	VAPP	werden
und	KON	und
damit	PAV	damit
zugleich	ADV	zugleich
die	ART	die
Stellung	NN	Stellung
des	ART	die
Menschen	NN	Mensch
in	APPR	in
der	ART	die
Welt	NN	Welt
.	$.	.
Ja	ADV	ja
noch	ADV	noch
mehr	ADV	mehr
:	$.	:
die	ART	die
Menschheit	NN	Menschheit
als	KOKOM	als
solche	PIS	solche
,	$,	,
die	ART	die
Menschheit	NN	Menschheit
als	KOKOM	als
Gattung	NN	Gattung
hat	VAFIN	haben
an	APPR	an
Achtung	NN	Achtung
eingebüßt	VVPP	einbüßen
.	$.	.
Namentlich	ADJD	namentlich
während	APPR	während
des	ART	die
Weltkrieges	NN	Weltkrieg
,	$,	,
angesichts	APPR	angesichts
der	ART	die
Greuel	NN	Greuel
,	$,	,
die	PRELS	die
viele	PIS	viele
nicht	PTKNEG	nicht
mehr	ADV	mehr
für	APPR	für
möglich	ADJD	möglich
gehalten	VVPP	halten
hatten	VAFIN	haben
,	$,	,
begegnete	VVFIN	begegnen
man	PIS	man
oft	ADV	oft
dem	ART	die
Ausspruch	NN	Ausspruch
:	$.	:
„	$(	„
Man	PIS	man
wird	VAFIN	werden
an	APPR	an
der	ART	die
Menschheit	NN	Menschheit
irre	PTKVZ	irre
“	$(	“
oder	KON	oder
„	$(	„
Man	PIS	man
möchte	VMFIN	mögen
an	APPR	an
der	ART	die
Menschheit	NN	Menschheit
verzweifeln	VVINF	verzweifeln
.	$.	.
“	$(	“
Und	KON	und
gerade	ADV	gerade
bei	APPR	bei
denen	PDS	die
,	$,	,
die	PRELS	die
noch	ADV	noch
Lebensernst	NN	Lebensernst
,	$,	,
noch	ADV	noch
Sinn	NN	Sinn
für	APPR	für
das	ART	die
menschliche	ADJA	menschlich
Leben	NN	Leben
als	KOKOM	als
Problem	NN	Problem
besitzen	VVFIN	besitzen
,	$,	,
ist	VAFIN	sein
der	ART	die
Glaube	NN	Glaube
an	APPR	an
die	ART	die
Menschheit	NN	Menschheit
tief	ADJD	tief
erschüttert	ADJD	erschüttert
geblieben	VVPP	bleiben
.	$.	.
Wenn	KOUS	wenn
der	ART	die
Mensch	NN	Mensch
in	APPR	in
seinem	PPOSAT	sein
Grundwesen	NN	Grundwesen
unveränderlich	ADJD	unveränderlich
und	KON	und
unverbesserlich	ADJD	unverbesserlich
ist	VAFIN	sein
,	$,	,
wenn	KOUS	wenn
sich	PRF	sich
in	APPR	in
anderer	PIAT	andere
Form	NN	Form
immer	ADV	immer
nur	ADV	nur
das	ART	die
gleiche	ADJA	gleich
wiederholt	VVPP	wiederholen
,	$,	,
wird	VAFIN	werden
dann	ADV	dann
nicht	PTKNEG	nicht
auch	ADV	auch
alle	PIAT	alle
Kulturbemühung	NN	Kulturbemühung
um	APPR	um
Erhöhung	NN	Erhöhung
und	KON	und
Veredlung	NN	Veredlung
des	ART	die
Menschentums	NN	Menschentum
vergeblich	ADJD	vergeblich
sein	VAINF	sein
?	$.	?
Bei	APPR	bei
vielen	PIS	viele
geht	VVFIN	gehen
die	ART	die
Depression	NN	Depression
so	ADV	so
weit	ADJD	weit
,	$,	,
daß	KOUS	dass
sie	PPER	sie
in	APPR	in
den	ART	die
Niedergangserscheinungen	NN	Niedergangserscheinungen
,	$,	,
die	PRELS	die
uns	PPER	wir
überall	ADV	überall
begegnen	VVFIN	begegnen
,	$,	,
das	ART	die
Ende	NN	Ende
der	ART	die
europäischen	ADJA	europäisch
Kultur	NN	Kultur
,	$,	,
ja	ADV	ja
sogar	ADV	sogar
das	ART	die
Ende	NN	Ende
der	ART	die
menschlichen	ADJA	menschlich
Gattung	NN	Gattung
herannahen	VVINF	herannahen
sehen	VVFIN	sehen
.	$.	.
Spricht	VVFIN	sprechen
doch	ADV	doch
ein	ART	eine
Natur	NN	Natur
forscher	ADJD	forsch
wie	KOKOM	wie
Francé	NN	Francé
schon	ADV	schon
vom	APPRART	von+die
„	$(	„
Ermatten	VVFIN	ermatten
der	ART	die
menschlichen	ADJA	menschlich
Lebenskraft	NN	Lebenskraft
“	$(	“
!	$.	!
Andere	PIS	andere
hingegen	ADV	hingegen
erblicken	VVFIN	erblicken
darin	PAV	darin
nur	ADV	nur
die	ART	die
Folgen	NN	Folge
einer	ART	eine
verfehlten	ADJA	verfehlt
und	KON	und
veralteten	ADJA	veraltet
Lebensauffassung	NN	Lebensauffassung
;	$.	;
sie	PPER	sie
sind	VAFIN	sein
der	ART	die
Meinung	NN	Meinung
,	$,	,
man	PIS	man
müsse	VMFIN	müssen
sich	PRF	sich
mit	APPR	mit
der	ART	die
menschlichen	ADJA	menschlich
Natur	NN	Natur
,	$,	,
wie	KOUS	wie
sie	PPER	sie
nun	ADV	nun
einmal	ADV	einmal
ist	VAFIN	sein
,	$,	,
zufrieden	ADJD	zufrieden
geben	VVFIN	geben
,	$,	,
man	PIS	man
dürfe	VMFIN	dürfen
keine	PIAT	keine
höheren	ADJA	hoch
Ansprüche	NN	Anspruch
