Gesetzsammlung	NN	Gesetzsammlung
für	APPR	für
Thüringen	NE	Thüringen
Jahrgang	NN	Jahrgang
1920	CARD	@card@
.	$.	.
Nr.	NN	Nr.
1	CARD	@card@
.	$.	.
Jnhalt	NN	Jnhalt
:	$.	:
Gemeinschaftsvertrag	NN	Gemeinschaftsvertrag
über	APPR	über
den	ART	die
Zusammenschluß	NN	Zusammenschluss
der	ART	die
thüringischen	ADJA	thüringisch
Staaten	NN	Staat
.	$.	.
S.	ADV	s.
1	CARD	@card@
.	$.	.
[	$(	[
Nr.	NN	Nr.
1	CARD	@card@
.	$.	.
]	$(	]
Gemeinschaftsvertrag	NN	Gemeinschaftsvertrag
über	APPR	über
den	ART	die
Zusammenschluß	NN	Zusammenschluss
der	ART	die
thüringischen	ADJA	thüringisch
Staaten	NN	Staat
.	$.	.
Vom	APPRART	von+die
4	CARD	@card@
.	$.	.
Januar	NN	Januar
1920	CARD	@card@
.	$.	.
Der	ART	die
nachstehende	ADJA	nachstehend
Gemeinschaftsvertrag	NN	Gemeinschaftsvertrag
(	$(	(
Anlage	NN	Anlage
A	FM	A
)	$(	)
nebst	APPR	nebst
Nachtrag	NN	Nachtrag
(	$(	(
Anlage	NN	Anlage
B	NN	B
)	$(	)
ist	VAFIN	sein
von	APPR	von
den	ART	die
Volksvertretungen	NN	Volksvertretung
der	ART	die
Freistaaten	NN	Freistaaten
Sachsen	NE	Sachsen
=	$(	=
Weimar	NE	Weimar
=	$(	=
Eisenach	NE	Eisenach
,	$,	,
Sachsen	NE	Sachsen
=	$(	=
Meiningen	NE	Meiningen
,	$,	,
Sachsen	NE	Sachsen
=	$(	=
Altenburg	NN	Altenburg
,	$,	,
Sachsen	NE	Sachsen
=	$(	=
Gotha	NE	Gotha
,	$,	,
Schwarzburg	NN	Schwarzburg
=	$(	=
Rudolfstadt	NN	Rudolfstadt
,	$,	,
Schwarzburg	NN	Schwarzburg
=	$(	=
Sondershausen	NN	Sondershausen
und	KON	und
Reuß	NN	Reuß
angenommen	VVPP	annehmen
und	KON	und
es	PPER	es
ist	VAFIN	sein
von	APPR	von
jeder	PIS	jede
der	ART	die
Regierungen	NN	Regierung
der	ART	die
vorgenannten	ADJA	vorgenannt
Staaten	NN	Staat
eine	ART	eine
Ausfertigung	NN	Ausfertigung
des	ART	die
Gemeinschaftsvertrags	NN	Gemeinschaftsvertrags
und	KON	und
des	ART	die
Nachtrags	NN	Nachtrag
an	APPR	an
Stelle	NN	Stelle
der	ART	die
Ratifikation	NN	Ratifikation
bei	APPR	bei
der	ART	die
Staatsregierung	NN	Staatsregierung
in	APPR	in
Weimar	NE	Weimar
niedergelegt	VVPP	niederlegen
worden	VAPP	werden
.	$.	.
Die	ART	die
Zustimmung	NN	Zustimmung
des	ART	die
Landtags	NN	Landtag
von	APPR	von
Sachsen	NE	Sachsen
=	$(	=
Meiningen	NN	Meiningen
war	VAFIN	sein
unter	APPR	unter
der	ART	die
Voraussetzung	NN	Voraussetzung
erteilt	VVPP	erteilen
worden	VAPP	werden
,	$,	,
daß	KOUS	dass
Staatsrat	NN	Staatsrat
und	KON	und
Volksrat	NN	Volksrat
von	APPR	von
Thüringen	NE	Thüringen
die	ART	die
Bedingungen	NN	Bedingung
der	ART	die
Denkschrift	NN	Denkschrift
des	ART	die
Gesamtstaatsrats	NN	Gesamtstaatsrats
vom	APPRART	von+die
11	CARD	@card@
.	$.	.
Dezember	NN	Dezember
1919	CARD	@card@
über	APPR	über
den	ART	die
Eintritt	NN	Eintritt
Sachsen	NE	Sachsen
=	$(	=
Meiningens	NN	Meiningens
in	APPR	in
die	ART	die
thüringische	ADJA	thüringisch
Gemeinschaft	NN	Gemeinschaft
für	APPR	für
den	ART	die
Gesamtstaat	NN	Gesamtstaat
Thüringen	NE	Thüringen
,	$,	,
für	APPR	für
die	ART	die
Ausgestaltung	NN	Ausgestaltung
des	ART	die
neuen	ADJA	neu
Staates	NN	Staat
Thüringen	NE	Thüringen
und	KON	und
für	APPR	für
dessen	PDAT	die
Verwaltung	NN	Verwaltung
bindend	ADJD	bindend
anerkennen	VVINF	anerkennen
(	$(	(
Anlagen	NN	Anlage
C	NN	C
und	KON	und
D	NN	D
)	$(	)
.	$.	.
Der	ART	die
Staatsrat	NN	Staatsrat
von	APPR	von
Thüringen	NE	Thüringen
hat	VAFIN	haben
in	APPR	in
seiner	PPOSAT	sein
Sitzung	NN	Sitzung
vom	APPRART	von+die
16	CARD	@card@
.	$.	.
Dezember	NN	Dezember
1919	ADV	@card@
diese	PDAT	dies
Bedingungen	NN	Bedingung
angenommen	VVPP	annehmen
und	KON	und
der	ART	die
Volksrat	NN	Volksrat
von	APPR	von
Thüringen	NE	Thüringen
hat	VAFIN	haben
in	APPR	in
seiner	PPOSAT	sein
Sitzung	NN	Sitzung
vom	APPRART	von+die
19	CARD	@card@
.	$.	.
Dezember	NN	Dezember
1919	CARD	@card@
folgenden	ADJA	folgend
Beschluß	NN	Beschluss
gefaßt	VVPP	fassen
:	$.	:
Die	ART	die
im	APPRART	in+die
Beschluß	NN	Beschluss
des	ART	die
Landtages	NN	Landtag
von	APPR	von
Sachsen	NE	Sachsen
=	$(	=
Meiningen	NE	Meiningen
vom	APPRART	von+die
12	CARD	@card@
.	$.	.
Dezember	NN	Dezember
1919	CARD	@card@
zur	APPRART	zu+die
Denkschrift	NN	Denkschrift
des	ART	die
Gesamtstaatsrats	NN	Gesamtstaatsrats
vom	APPRART	von+die
11	CARD	@card@
.	$.	.
desselben	PDAT	derselb
Monats	NN	Monat
über	APPR	über
den	ART	die
Eintritt	NN	Eintritt
Sachsen	NE	Sachsen
=	$(	=
Meiningens	NN	Meiningens
in	APPR	in
die	ART	die
thüringische	ADJA	thüringisch
Gemeinschaft	NN	Gemeinschaft
enthaltenen	ADJA	enthalten
Bedingungen	NN	Bedingung
werden	VAFIN	werden
von	APPR	von
der	ART	die
Gemeinschaft	NN	Gemeinschaft
der	ART	die
thüringischen	ADJA	thüringisch
Staaten	NN	Staat
als	KOKOM	als
bindend	ADJD	bindend
anerkannt	VVPP	anerkennen
.	$.	.
Der	ART	die
Abschluß	NN	Abschluss
des	ART	die
Gemeinschaftsvertrags	NN	Gemeinschaftsvertrags
nebst	APPR	nebst
Nachtrag	NN	Nachtrag
wird	VAFIN	werden
demgemäß	PAV	demgemäß
hiermit	PAV	hiermit
bekanntgegeben	VVPP	bekanntgeben
.	$.	.
Gotha	NE	Gotha
,	$,	,
den	ART	die
4	CARD	@card@
.	$.	.
Januar	NN	Januar
1920	CARD	@card@
Der	ART	die
Staatsrat	NN	Staatsrat
von	APPR	von
Thüringen	NE	Thüringen
.	$.	.
Anlage	NN	Anlage
A.	APPRART	an+die
Gemeinschaftsvertrag	NN	Gemeinschaftsvertrag
Abschnitt	NN	Abschnitt
