Verkehrspolizeiverordnung	NN	Verkehrspolizeiverordnung
(	$(	(
Verkehrsordnung	NN	Verkehrsordnung
)	$(	)
.	$.	.
Vom	APPRART	von+die
23	CARD	@card@
.	$.	.
September	NN	September
1931	CARD	@card@
.	$.	.
Gemäß	APPR	gemäß
§	NN	§
5	CARD	@card@
des	ART	die
Gesetzes	NN	Gesetz
über	APPR	über
die	ART	die
Polizeiverwaltung	NN	Polizeiverwaltung
vom	APPRART	von+die
11	CARD	@card@
.	$.	.
3	CARD	@card@
.	$.	.
1850	CARD	@card@
,	$,	,
des	ART	die
§	NN	§
143	CARD	@card@
des	ART	die
Gesetzes	NN	Gesetz
über	APPR	über
die	ART	die
Allgemeine	NN	Allgemeine
Landesverwaltung	NN	Landesverwaltung
vom	APPRART	von+die
30	CARD	@card@
.	$.	.
7	CARD	@card@
.	$.	.
1883	CARD	@card@
,	$,	,
des	ART	die
§	NN	§
30	CARD	@card@
der	ART	die
Verordnung	NN	Verordnung
über	APPR	über
den	ART	die
Kraftfahrzeugverkehr	NN	Kraftfahrzeugverkehr
vom	APPRART	von+die
15	CARD	@card@
.	$.	.
7	CARD	@card@
.	$.	.
1930	CARD	@card@
,	$,	,
der	ART	die
Verordnung	NN	Verordnung
über	APPR	über
Vermögensstrafen	NN	Vermögensstrafen
und	KON	und
Bußen	NN	Buße
vom	APPRART	von+die
6	CARD	@card@
.	$.	.
2	CARD	@card@
.	$.	.
1924	CARD	@card@
und	KON	und
des	ART	die
§	NN	§
32	CARD	@card@
der	ART	die
Polizeiverordnung	NN	Polizeiverordnung
des	ART	die
Oberpräsidenten	NN	Oberpräsident
über	APPR	über
den	ART	die
allgemeinen	ADJA	allgemein
Verkehr	NN	Verkehr
auf	APPR	auf
öffentlichen	ADJA	öffentlich
Wegen	NN	Weg
(	$(	(
Straßenverkehrsordnung	NN	Straßenverkehrsordnung
)	$(	)
vom	APPRART	von+die
12	CARD	@card@
.	$.	.
10	CARD	@card@
.	$.	.
1926	CARD	@card@
wird	VAFIN	werden
mit	APPR	mit
Genehmigung	NN	Genehmigung
des	ART	die
Herrn	NN	Herr
Oberpräsidenten	NN	Oberpräsident
der	ART	die
Rheinprovinz	NN	Rheinprovinz
,	$,	,
des	ART	die
Herrn	NN	Herr
Regierungspräsidenten	NN	Regierungspräsident
in	APPR	in
Köln	NE	Köln
unter	APPR	unter
Zustimmung	NN	Zustimmung
des	ART	die
Gemeindevorstandes	NN	Gemeindevorstand
für	APPR	für
den	ART	die
Bezirk	NN	Bezirk
der	ART	die
Stadt	NN	Stadt
Köln	NE	Köln
-	$(	-
zugleich	ADV	zugleich
in	APPR	in
Ergänzung	NN	Ergänzung
der	ART	die
Straßenverkehrsordnung	NN	Straßenverkehrsordnung
für	APPR	für
die	ART	die
