Als	KOKOM	als
Brandleger	NN	Brandleger
des	ART	die
im	APPRART	in+die
vergangenen	ADJA	vergangen
Sommer	NN	Sommer
abgebrannten	ADJA	abgebrannt
Hauses	NN	Haus
des	ART	die
Herrn	NN	Herr
Karl	NE	Karl
Voglsinger	NN	Voglsinger
in	APPR	in
der	ART	die
Eggenstraße	NN	Eggenstraße
wurde	VAFIN	werden
der	ART	die
bei	APPR	bei
ihm	PPER	er
unterbrachte	VVFIN	unterbringen
14jährige	ADJA	14jährig
Schuhmacherlehrling	NN	Schuhmacherlehrling
eruiert	VVPP	eruieren
und	KON	und
am	APPRART	an+die
10	CARD	@card@
.	$.	.
d.	PDS	d.
dem	ART	die
Bezirksgerichte	NN	Bezirksgericht
eingeliefert	VVPP	einliefern
.	$.	.
Krahuletz	NN	Krahuletz
=	$(	=
Gesellschaft	NN	Gesellschaft
.	$.	.
Am	APPRART	an+die
Mittwoch	NN	Mittwoch
den	ART	die
25	CARD	@card@
.	$.	.
März	NN	März
(	$(	(
Maria	NE	Maria
=	$(	=
Verkündigung	NN	Verkündigung
)	$(	)
ist	VAFIN	sein
das	ART	die
Krahuletz	NN	Krahuletz
=	$(	=
Museum	NN	Museum
von	APPR	von
9	CARD	@card@
bis	KON	bis
12	CARD	@card@
Uhr	NN	Uhr
vormittags	ADV	vormittags
bei	APPR	bei
freiem	ADJA	frei
Eintritt	NN	Eintritt
geöffnet	VVPP	öffnen
.	$.	.
Krankenhaus	NN	Krankenhaus
.	$.	.
Wenn	KOUS	wenn
es	PPER	es
in	APPR	in
den	ART	die
ersten	ADJA	erst
Monaten	NN	Monat
des	ART	die
Jahres	NN	Jahr
2602	CARD	@card@
Verpflegstage	NN	Verpflegstage
resp.	ADV	resp.
2190	CARD	@card@
gab	VVFIN	geben
,	$,	,
kann	VMFIN	können
jeder	PIAT	jede
Leser	NN	Leser
sich	PRF	sich
die	ART	die
Arbeitsleistung	NN	Arbeitsleistung
der	ART	die
ehrwürdigen	ADJA	ehrwürdig
Krankenpflegerinnen	NN	Krankenpflegerin
vorstellen	VVINF	vorstellen
.	$.	.
Seit	APPR	seit
acht	CARD	acht
Tagen	NN	Tag
wuchsen	VVFIN	wachsen
wohl	ADV	wohl
nur	ADV	nur
wenige	PIAT	wenige
Patienten	NN	Patient
zu	PTKVZ	zu
,	$,	,
am	APPRART	an+die
10	CARD	@card@
.	$.	.
d.	PDS	d.
starb	VVFIN	sterben
,	$,	,
65	CARD	@card@
Jahre	NN	Jahr
alt	ADJD	alt
die	ART	die
Grünzeughändlerin	NN	Grünzeughändlerin
von	APPR	von
Matzelsdorf	NE	Matzelsdorf
,	$,	,
Franziska	NE	Franziska
Vawis	NE	Vawis
,	$,	,
dieselbe	PDS	dieselbe
war	VAFIN	sein
nur	ADV	nur
zwei	CARD	zwei
Tage	NN	Tag
im	APPRART	in+die
Krankenhause	NN	Krankenhause
.	$.	.
St.	NE	St.
Josef	NE	Josef
,	$,	,
mache	VVFIN	machen
bei	APPR	bei
uns	PPER	wir
einen	ART	eine
guten	ADJA	gut
Hausvater	NN	Hausvater
und	KON	und
großen	ADJA	groß
Fürbitt	NN	Fürbitt
=	$(	=
Sterbepatron	NN	Sterbepatron
!	$.	!
Rompilgerfahrt	NN	Rompilgerfahrt
.	$.	.
Seine	PPOSAT	sein
Erzellenz	NN	Erzellenz
Fürsterzbischof	NN	Fürsterzbischof
Dr.	NN	Dr.
Piffl	NE	Piffl
,	$,	,
verhindert	VVPP	verhindern
,	$,	,
im	APPRART	in+die
April	NN	April
an	APPR	an
die	ART	die
Spitze	NN	Spitze
der	ART	die
Rompilgerfahrt	NN	Rompilgerfahrt
zu	PTKZU	zu
treten	VVINF	treten
,	$,	,
hat	VAFIN	haben
mit	APPR	mit
seiner	PPOSAT	sein
Vertretung	NN	Vertretung
den	ART	die
hochwürdigsten	ADJA	hochwürdigsten
Weihbischof	NN	Weihbischof
Dr.	NN	Dr.
Pfluger	NN	Pfluger
betraut	VVPP	betrauen
,	$,	,
der	PRELS	die
sonach	ADV	sonach
