Was	PWS	was
soll	VMFIN	sollen
der	ART	die
Künstler	NN	Künstler
,	$,	,
der	ART	die
Maler	NN	Maler
,	$,	,
von	APPR	von
der	ART	die
Chemie	NN	Chemie
wissen	VVFIN	wissen
?	$.	?
Eine	ART	eine
Einleitung	NN	Einleitung
zur	APPRART	zu+die
Malmaterialkunde	NN	Malmaterialkunde
von	APPR	von
Georg	NE	Georg
Buchner	NN	Buchner
,	$,	,
chemisch	ADJD	chemisch
=	$(	=
technisches	ADJA	technisch
Untersuchungslaboratorium	NN	Untersuchungslaboratorium
München	NE	München
Deshalb	PAV	deshalb
müßte	VMFIN	müssen
die	ART	die
größte	ADJA	groß
Menge	NN	Menge
der	ART	die
uns	PRF	wir
bekannten	ADJA	bekannt
Stoffe	NN	Stoff
,	$,	,
besonders	ADV	besonders
der	ART	die
sog.	ADJA	sog.
organischen	ADJA	organisch
,	$,	,
d.	PDS	d.
h.	VVFIN	heißen
der	ART	die
Kohlenstoffverbindungen	NN	Kohlenstoffverbindung
,	$,	,
von	APPR	von
selbst	ADV	selbst
zerfallen	VVPP	zerfallen
.	$.	.
Trotzdem	PAV	trotzdem
ist	VAFIN	sein
eine	ART	eine
große	ADJA	groß
Anzahl	NN	Anzahl
derselben	PDAT	dieselb
sehr	ADV	sehr
beständig	ADJD	beständig
und	KON	und
läßt	VVFIN	lassen
keine	PIAT	keine
Zersetzung	NN	Zersetzung
erkennen	VVINF	erkennen
,	$,	,
weil	KOUS	weil
eben	ADV	eben
die	ART	die
Zerfallsgeschwindigkeit	NN	Zerfallsgeschwindigkeit
so	ADV	so
gering	ADJD	gering
ist	VAFIN	sein
,	$,	,
daß	KOUS	dass
ihre	PPOSAT	ihr
Wirkung	NN	Wirkung
erst	ADV	erst
nach	APPR	nach
Jahrhunderten	NN	Jahrhundert
oder	KON	oder
Jahrtausenden	NN	Jahrtausend
erkennbar	ADJD	erkennbar
sein	VAINF	sein
wird	VAFIN	werden
.	$.	.
Das	PDS	die
ist	VAFIN	sein
der	ART	die
Grund	NN	Grund
für	APPR	für
die	ART	die
unzähligen	ADJA	unzählig
Veränderungen	NN	Veränderung
(	$(	(
Verharzungen	NN	Verharzungen
,	$,	,
Verfärbungen	NN	Verfärbung
,	$,	,
Verkohlungen	NN	Verkohlungen
usw.	ADV	usw.
)	$(	)
organischer	ADJA	organisch
Stoffe	NN	Stoff
,	$,	,
die	PRELS	die
,	$,	,
wie	KOUS	wie
man	PIS	man
sagt	VVFIN	sagen
,	$,	,
von	APPR	von
selbst	ADV	selbst
mit	APPR	mit
der	ART	die
Zeit	NN	Zeit
erfolgen	VVFIN	erfolgen
,	$,	,
welche	PRELS	welche
aber	ADV	aber
