Wer	PWS	wer
in	APPR	in
den	ART	die
Räumen	NN	Raum|Räumen
eines	PIS	eine
der	ART	die
großen	ADJA	groß
magnetischen	ADJA	magnetisch
Observatorien	NN	Observatorium
,	$,	,
von	APPR	von
denen	PRELS	die
alle	PIAT	alle
Eisenmassen	NN	Eisenmassen
peinlichst	ADJD	peinlich
fern	ADJD	fern
gehalten	VVPP	halten
werden	VAFIN	werden
,	$,	,
mit	APPR	mit
den	ART	die
Hilfsmitteln	NN	Hilfsmittel
,	$,	,
die	PRELS	die
dort	ADV	dort
zur	APPRART	zu+die
Erkennung	NN	Erkennung
kleiner	ADJA	klein
Winkeldifferenzen	NN	Winkeldifferenzen
vorhanden	ADJD	vorhanden
sind	VAFIN	sein
,	$,	,
die	ART	die
Stellung	NN	Stellung
der	ART	die
Magnetnadel	NN	Magnetnadel
verfolgt	VVPP	verfolgen
,	$,	,
der	PDS	die
wird	VAFIN	werden
mit	APPR	mit
Erstaunen	NN	Erstaunen
bemerken	VVINF	bemerken
,	$,	,
daß	KOUS	dass
diese	PDAT	dies
nicht	PTKNEG	nicht
ruhig	ADJD	ruhig
bleibt	VVFIN	bleiben
,	$,	,
sondern	KON	sondern
in	APPR	in
ständiger	ADJA	ständig
schwacher	ADJA	schwach
Bewegung	NN	Bewegung
ist	VAFIN	sein
.	$.	.
Wie	KOUS	wie
bekannt	ADJD	bekannt
,	$,	,
weicht	VVFIN	weichen
die	ART	die
Richtung	NN	Richtung
der	ART	die
Magnetnadel	NN	Magnetnadel
von	APPR	von
der	ART	die
Nordrichtung	NN	Nordrichtung
ab	PTKVZ	ab
und	KON	und
zwar	ADV	zwar
in	APPR	in
unseren	PPOSAT	unser
Gegenden	NN	Gegend
zur	APPRART	zu+die
Zeit	NN	Zeit
ungefähr	ADJD	ungefähr
9	CARD	@card@
°	NN	°
nach	APPR	nach
W.	NE	W.
Von	APPR	von
etwa	ADV	etwa
8	CARD	@card@
Uhr	NN	Uhr
morgens	ADV	morgens
bis	APPR	bis
2	CARD	@card@
Uhr	NN	Uhr
nachmittags	ADV	nachmittags
ist	VAFIN	sein
diese	PDAT	dies
Abweichung	NN	Abweichung
im	APPRART	in+die
ständigen	ADJA	ständig
Zunehmen	NN	Zunehmen
