IV	NE	IV
.	$.	.
Kapitel	NN	Kapitel
.	$.	.
Physiologie	NN	Physiologie
des	ART	die
Nervensystems	NN	Nervensystem
.	$.	.
Die	ART	die
Physiologie	NN	Physiologie
ist	VAFIN	sein
die	ART	die
Lehre	NN	Lehre
der	ART	die
Funktionen	NN	Funktion
oder	KON	oder
des	ART	die
Lebens	NN	Leben
der	ART	die
Organe	NN	Organ
der	ART	die
Lebewesen	NN	Lebewesen
.	$.	.
Da	KOUS	da
man	PIS	man
früher	ADV	früher
die	ART	die
Struktur	NN	Struktur
des	ART	die
Gehirns	NN	Gehirn
nur	ADV	nur
sehr	ADV	sehr
schlecht	ADJD	schlecht
kannte	VVFIN	kennen
,	$,	,
hat	VAFIN	haben
man	PIS	man
sich	PRF	sich
vornehmlich	ADJD	vornehmlich
mit	APPR	mit
der	ART	die
Physiologie	NN	Physiologie
der	ART	die
periferischen	ADJA	periferischen
Nerven	NN	Nerv|Nerven
beschäftigt	VVPP	beschäftigen
,	$,	,
welche	PRELS	welche
jedoch	ADV	jedoch
nur	ADV	nur
ganz	ADV	ganz
elementare	ADJA	elementar
Vorgänge	NN	Vorgang
des	ART	die
Nervenlebens	NN	Nervenlebens
verrät	VVFIN	verraten
.	$.	.
Wir	PPER	wir
wollen	VMFIN	wollen
versuchen	VVINF	versuchen
,	$,	,
die	ART	die
wichtigsten	ADJA	wichtig
physiologischen	ADJA	physiologisch
Begriffe	NN	Begriff
darzulegen	VVIZU	darlegen
.	$.	.
1	CARD	@card@
.	$.	.
Der	ART	die
Muskel	NN	Muskel
.	$.	.
Die	ART	die
faserförmigen	ADJA	faserförmigen
Muskelzellen	NN	Muskelzelle
bestehen	VVFIN	bestehen
aus	APPR	aus
zusammenziehbaren	ADJA	zusammenziehbaren
Teilchen	NN	Teilchen
.	$.	.
Wenn	KOUS	wenn
man	PIS	man
einen	ART	eine
frischen	ADJA	frisch
,	$,	,
vom	APPRART	von+die
Körper	NN	Körper
getrennten	ADJA	getrennt
Muskel	NN	Muskel
mechanisch	ADJD	mechanisch
mit	APPR	mit
einer	ART	eine
Nadel	NN	Nadel
oder	KON	oder
chemisch	ADJD	chemisch
mit	APPR	mit
einer	ART	eine
Säure	NN	Säure
reizt	VVFIN	reizen
,	$,	,
zieht	VVFIN	zeihen|ziehen
er	PPER	er
sich	PRF	sich
zusammen	ADV	zusammen
,	$,	,
d.	PDS	d.
h.	VVFIN	heißen
wird	VAFIN	werden
kürzer	ADJD	kurz
und	KON	und
dicker	ADJD	dick
,	$,	,
ohne	KOUI	ohne
jedoch	ADV	jedoch
sein	PPOSAT	sein
Volumen	NN	Volumen
wesentlich	ADJD	wesentlich
zu	PTKZU	zu
verändern	VVINF	verändern
,	$,	,
um	KOUI	um
nachher	ADV	nachher
,	$,	,
nach	APPR	nach
Aufhören	NN	Aufhören
des	ART	die
Reizes	NN	Reiz
,	$,	,
zu	PTKZU	zu
erschlaffen	VVINF	erschlaffen
.	$.	.
Wenn	KOUS	wenn
man	PIS	man
aber	ADV	aber
den	ART	die
in	APPR	in
dem	ART	die
Muskel	NN	Muskel
sich	PRF	sich
verzweigenden	ADJA	verzweigend
Nervenstamm	NN	Nervenstamm
mit	APPR	mit
dem	ART	die
Muskel	NN	Muskel
in	APPR	in
Zusammenhang	NN	Zusammenhang
läßt	VVFIN	lassen
und	KON	und
den	ART	die
Nerv	NN	Nerv
an	APPR	an
der	ART	die
Stelle	NN	Stelle
,	$,	,
wo	PWAV	wo
er	PPER	er
abgeschnitten	VVPP	abschneiden
ist	VAFIN	sein
in	APPR	in
ähnlicher	ADJA	ähnlich
Weise	NN	Weise
reizt	VVFIN	reizen
,	$,	,
so	ADV	so
zieht	VVFIN	zeihen|ziehen
sich	PRF	sich
der	ART	die
frische	ADJA	frisch
Muskel	NN	Muskel
ebenfalls	ADV	ebenfalls
zusammen	PTKVZ	zusammen
.	$.	.
Somit	ADV	somit
ist	VAFIN	sein
der	ART	die
Nerv	NN	Nerv
imstande	ADV	imstande
,	$,	,
ohne	KOUI	ohne
sich	PRF	sich
selbst	ADV	selbst
zu	PTKZU	zu
bewegen	VVINF	bewegen
,	$,	,
einen	ART	eine
Reiz	NN	Reiz
dem	ART	die
Muskel	NN	Muskel
zu	PTKZU	zu
übertragen	VVINF	übertragen
.	$.	.
Es	PPER	es
ist	VAFIN	sein
aber	ADV	aber
sicher	ADJD	sicher
,	$,	,
daß	KOUS	dass
die	ART	die
direkte	ADJA	direkt
Reizung	NN	Reizung
des	ART	die
Muskels	NN	Muskel
(	$(	(
ohne	APPR	ohne
Vermittlung	NN	Vermittlung
des	ART	die
Nervs	NN	Nerv
)	$(	)
genügt	VVFIN	genügen
,	$,	,
um	KOUI	um
seine	PPOSAT	sein
Zusammenziehung	NN	Zusammenziehung
zu	PTKZU	zu
bewirken	VVINF	bewirken
.	$.	.
Man	PIS	man
kann	VMFIN	können
nämlich	ADV	nämlich
den	ART	die
Muskel	NN	Muskel
durch	APPR	durch
Ammoniakreizung	NN	Ammoniakreizung
sich	PRF	sich
zusammenziehen	VVINF	zusammenziehen
lassen	VVINF	lassen
,	$,	,
während	KOUS	während
diese	PDAT	dies
Substanz	NN	Substanz
den	ART	die
Nerv	NN	Nerv
nicht	PTKNEG	nicht
reizt	VVFIN	reizen
,	$,	,
und	KON	und
hinzugesetztes	ADJA	hinzugesetzt
Kurare	NN	Kurare
(	$(	(
ein	ART	eine
Gift	NN	Gift
)	$(	)
lähmt	VVFIN	lähmen
den	ART	die
Bewegungsnerv	NN	Bewegungsnerv
und	KON	und
nicht	PTKNEG	nicht
den	ART	die
Muskel	NN	Muskel
.	$.	.
Der	ART	die
Nerv	NN	Nerv
,	$,	,
den	PRELS	die
wir	PPER	wir
,	$,	,
wie	KOKOM	wie
angegeben	ADJD	angegeben
,	$,	,
reizen	VVFIN	reizen
,	$,	,
kann	VMFIN	können
eben	ADV	eben
nur	ADV	nur
jenen	PDAT	jen
groben	ADJA	grob
,	$,	,
gleichmäßigen	ADJA	gleichmäßig
Reiz	NN	Reiz
dem	ART	die
Muskel	NN	Muskel
mitteilen	VVFIN	mitteilen
.	$.	.
Da	ADV	da
aber	ADV	aber
jede	PIAT	jede
isolierte	ADJA	isoliert
Neurofibrille	NN	Neurofibrille
,	$,	,
wie	KOUS	wie
wir	PPER	wir
gesehen	VVPP	sehen
haben	VAFIN	haben
,	$,	,
in	APPR	in
verschiedenen	ADJA	verschieden
Abteilungen	NN	Abteilung
des	ART	die
Muskels	NN	Muskel
endigt	VVFIN	endigen
,	$,	,
kann	VMFIN	können
eine	ART	eine
außerordentlich	ADJD	außerordentlich
feine	ADJA	fein
harmonische	ADJA	harmonisch
Kombination	NN	Kombination
verschieden	ADJD	verschieden
starker	ADJA	stark
Nervenreize	NN	Nervenreize
in	APPR	in
verschiedenen	ADJA	verschieden
Neurofibrillen	NN	Neurofibrillen
und	KON	und
Neurofibrillenbündeln	NN	Neurofibrillenbündeln
eine	ART	eine
entsprechend	ADJD	entsprechend
feine	ADJA	fein
und	KON	und
harmonische	ADJA	harmonisch
Kombination	NN	Kombination
von	APPR	von
Muskelzusammenziehungen	NN	Muskelzusammenziehungen
zum	APPRART	zu+die
Zweck	NN	Zweck
harmonisch	ADJD	harmonisch
kombinierter	ADJA	kombiniert
Bewegungen	NN	Bewegung
der	ART	die
an	APPR	an
den	ART	die
Muskel	NN	Muskel
mit	APPR	mit
Sehnen	NN	Sehne|Sehnen
gehefteten	ADJA	geheftet
Knochen	NN	Knochen
oder	KON	oder
Knorpel	NN	Knorpel
bewirken	VVINF	bewirken
.	$.	.
Wenn	KOUS	wenn
man	PIS	man
im	APPRART	in+die
lebenden	ADJA	lebend
Tier	NN	Tier
oder	KON	oder
Menschen	NN	Mensch
den	ART	die
Nerv	NN	Nerv
abschneidet	VVFIN	abschneiden
,	$,	,
der	PRELS	die
einen	ART	eine
Muskel	NN	Muskel
bewegt	VVFIN	bewegen
,	$,	,
so	ADV	so
stirbt	VVFIN	sterben
nach	APPR	nach
kurzer	ADJA	kurz
Zeit	NN	Zeit
zuerst	ADV	zuerst
das	ART	die
ganze	ADJA	ganz
abgeschnittene	ADJA	abgeschnitten
Nervenende	NN	Nervenende
und	KON	und
dann	ADV	dann
auch	ADV	auch
der	ART	die
ganze	ADJA	ganz
Muskel	NN	Muskel
ab	PTKVZ	ab
und	KON	und
schrumpft	VVFIN	schrumpfen
zu	APPR	zu
einer	ART	eine
toten	ADJA	tot
Narbe	NN	Narbe
zusammen	PTKVZ	zusammen
.	$.	.
Man	PIS	man
sieht	VVFIN	sehen
daraus	PAV	daraus
,	$,	,
in	APPR	in
welch	PIAT	welche
kolossaler	ADJA	kolossal
Abhängigkeit	NN	Abhängigkeit
sich	PRF	sich
der	ART	die
Muskel	NN	Muskel
vom	APPRART	von+die
Nerv	NN	Nerv
befindet	VVFIN	befinden
.	$.	.
2	CARD	@card@
.	$.	.
Der	ART	die
Nerv	NN	Nerv
und	KON	und
das	ART	die
Neurokym	NN	Neurokym
.	$.	.
Aus	APPR	aus
dem	ART	die
eben	ADV	eben
Gesagten	ADJA	gesagt
