

1	Hoert	Hört	VVIMP	hören	pl|2|imp	--	0
2	/	/	$,	/	_	--	1
3	wie	wie	KOUS	wie	_	CM	5
4	die	die	ART	d	nom|pl|fem	NK	5
5	Eulen	Eulen	NN	Eulen	nom|pl|fem	MO	9
6	Fuͤr	Für	APPR	für	_	MO	9
7	lauter	lauter	PIAT	lauter	*|*|*	NK	8
8	Liebe	Liebe	NN	Liebe	dat|sg|fem	NK	6
9	heulen	heulen	VVINF	heulen	_	OC	1
10	.	.	SENT	.	_	--	9

1	Pfuy	Pfui	ADJA	Pfui	*|*|*	PNC	2
2	Teuffel	Teufel	NN	Teufel	nom|sg|masc	SB	4
3	/	/	$,	/	_	--	2
4	steht	steht	VVFIN	stehen	sg|3|pres|ind	OC	30
5	das	das	PDS	d	nom|sg|neut	SB	4
6	wol	wohl	ADV	wohl	_	MO	4
7	/	/	$,	/	_	--	6
8	Daß	Dass	KOUS	Dass	_	CP	63
9	sich	sich	PRF	er|es|sie	acc|sg|3	DA	4
10	ein	ein	ART	ein	nom|sg|masc	NK	11
11	Cavalier	Kavalier	NN	Kavalier	nom|sg|masc	SB	4
12	/	/	$,	/	_	--	11
13	Mit	Mit	APPR	mit	_	MO	4
14	Federn	Federn	NN	Feder	dat|pl|neut	NK	13
15	und	und	KON	und	_	CD	14
16	Rappier	Rapier	NN	Rapier	dat|sg|neut	CJ	15
17	/	/	$,	/	_	--	16
18	Der	Der	PRELS	d	nom|sg|masc	NK	23
19	nur	nur	ADV	nur	_	MO	20
20	von	von	APPR	von	_	PG	23
21	Hauen	Hauen	NN	hauen	dat|pl|fem	NK	20
22	/	/	$,	/	_	--	21
23	Stechen	Stechen	NN	stechen	nom|sg|neut	NK	16
24	/	/	$,	/	_	--	23
25	Erschiessen	Erschiessen	NN	Erschiessen	nom|sg|neut	CJ	23
26	/	/	$,	/	_	--	25
27	Haͤlsebrechen	Hälsebrechen	NN	Hälsebrechen	_	CJ	25
28	/	/	$,	/	_	--	27
29	Zu	Zu	PTKZU	zu	_	SVP	4
30	sagen	sagen	VVINF	sagen	_	OC	31
31	wissen	wissen	VVINF	wissen	_	OC	62
32	sol	sol	VMFIN	sollen	_	SB	62
33	/	/	$,	/	_	--	32
34	Von	Von	APPR	von	_	PG	47
35	Venus	Venus	NN	Venus	gen|sg|neut	AG	37
36	kleinem	kleinem	ADJA	klein	dat|sg|masc	NK	37
37	Huren-Sohn	Huren-Sohn	NN	Huren-Sohn	nom|sg|masc	NK	34
38	/	/	$,	/	_	--	37
39	Dem	Dem	ART	d	dat|sg|masc	NK	40
40	Baͤrenhaͤuter	Bärenhäuter	NN	Bärenhäuter	dat|sg|masc	DA	47
41	/	/	$,	/	_	--	40
42	Ertz-	Erz	NN	Erz	nom|sg|masc	PNC	43
43	Cujon	Kujon	NN	Kujon	nom|sg|masc	NK	40
44	,	,	$,	,	_	--	43
45	So	So	ADV	so	_	MO	47
46	laͤsset	lässt	VVFIN	lassen	_	MO	47
47	tribuliren	tribulieren	VVINF	tribulieren	_	OC	62
48	/	/	$,	/	_	--	47
49	Daß	Dass	KOUS	Dass	_	CP	62
50	er	er	PPER	er	nom|sg|masc|3	SB	62
51	da	da	ADV	da	_	MO	62
52	in	in	APPR	in	_	MO	51
53	Figur	Figur	NN	Figur	dat|sg|fem	NK	52
54	/	/	$,	/	_	--	53
55	Wie	Wie	KOUS	wie	_	CM	58
56	eine	eine	ART	ein	acc|sg|fem	NK	58
57	alte	alte	ADJA	alt	acc|sg|fem|pos	NK	58
58	Hur	Hure	NN	Hure	acc|sg|fem	CC	53
59	/	/	$,	/	_	--	58
60	Den	Den	ART	d	acc|sg|masc	NK	61
61	Jammer-Thon	Jammer-Thon	NE	Jammer-Thon	acc|sg|masc	OA	63
62	muß	muß	VMFIN	müssen	sg|3|pres|ind	--	0
63	intoniren	intonieren	VVINF	intonieren	_	OC	62
64	?	?	SENT	?	_	--	63

1	Ich	Ich	PPER	ich	nom|sg|*|1	SB	2
2	haͤtte	hätte	VAFIN	haben	sg|3|past|subj	--	0
3	zehnmahl	zehnmal	ADV	zehnmal	_	MO	2
4	lieber	lieber	ADV	gern	_	MO	2
5	Ein	Ein	ART	ein	nom|sg|neut	NK	7
6	starckes	starkes	ADJA	stark	nom|sg|neut|pos	NK	7
7	Ochsen-Fieber	Ochsen-Fieber	NN	Ochsen-Fieber	nom|sg|neut	OA	2
8	/	/	$,	/	_	--	7
9	Als	Als	KOKOM	als	_	AC	12
10	daß	daß	KOUS	daß	_	CP	18
11	ich	ich	PPER	ich	nom|sg|*|1	SB	18
12	an	an	APPR	an	_	OP	18
13	dem	dem	ART	d	dat|sg|masc	NK	14
14	Narren-Seil	Narren-Seil	NN	Narren-Seil	dat|sg|masc	NK	12
15	Mit	Mit	APPR	mit	_	MNR	14
16	fuͤhrte	führte	VVFIN	führen	acc|sg|neut|pos	NK	17
17	Liebes-Affen	Liebes-Affen	ADJD	Liebes-Affen	dat|sg|*	NK	15
18	feil	feil	PTKVZ	feil	_	MO	2
19	.	.	SENT	.	_	--	18

1	Viva	Viva	NE	Viva	_	PNC	3
2	le	le	NE	le	_	PNC	3
3	trinck	trinck	NE	trinck	_	RE	11
4	/	/	$,	/	_	--	3
5	trinck	trinck	NE	trinck	_	CJ	3
6	/	/	$,	/	_	--	5
7	trinck	trink	NE	trink	_	CJ	5
8	/	/	$,	/	_	--	7
9	Cappo	Kapo	NE	Kapo	nom|sg|neut	CJ	7
10	,	,	$,	,	_	--	9
11	das	das	PDS	d	nom|sg|neut	SB	12
12	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
13	ein	ein	ART	ein	nom|sg|neut	NK	15
14	schoͤnes	schönes	ADJA	schön	nom|sg|neut|pos	NK	15
15	Ding	Ding	NN	Ding	nom|sg|neut	PD	12
16	/	/	$,	/	_	--	15
17	Und	Und	KON	und	_	CD	12
18	steht	steht	VVFIN	stehen	sg|3|pres|ind	CJ	17
