

1	Umbstaͤndige	Umbständige	ADJA	Umbständige	nom|sg|fem|pos	NK	2
2	Erzehlung	Erzählung	NN	Erzählung	nom|sg|fem	--	0
3	deß	dessen	PDAT	d	gen|sg|masc	AG	4
4	Todts	Tods	NN	Tod	gen|sg|masc	AG	2
5	zu	zu	APPR	zu	_	MNR	4
6	Wienn	Wien	NE	Wien	dat|sg|neut	NK	5
7	/	/	$,	/	_	--	6
8	vnd	und	KON	und	_	CD	2
9	der	der	ART	d	dat|sg|fem	NK	11
10	traurigen	traurigen	ADJA	traurig	gen|pl|fem|pos	NK	11
11	Zeiten	Zeiten	NN	Zeit	gen|pl|fem	CJ	8
12	.	.	SENT	.	_	--	11

1	ERstlich	erstlich	ADV	erstlich	pos	MO	7
2	hat	hat	VAFIN	haben	sg|3|pres|ind	--	0
3	der	der	ART	d	nom|sg|masc	NK	4
4	Todt	Tot	NN	Tod	nom|sg|masc	SB	2
5	seinen	seinen	PPOSAT	sein	acc|sg|masc	NK	6
6	Anfang	Anfang	NN	Anfang	acc|sg|masc	OA	7
7	genom̄en	genommen	VVPP	nehmen	_	OC	2
8	in	in	APPR	in	_	MO	7
9	der	der	ART	d	dat|sg|fem	NK	10
10	Leopoldstatt	Leopoldstatt	NN	Leopoldstatt	dat|sg|fem	NK	8
11	/	/	$,	/	_	--	10
12	so	so	PTKREL	so	_	MO	13
13	vor	vor	APPR	vor	_	MO	22
14	etlichen	etlichen	PIAT	etlich	dat|pl|neut|pos	NK	15
15	Jahren	Jahren	NN	Jahr	dat|pl|neut	NK	13
16	wegen	wegen	APPR	wegen	_	MO	22
17	der	der	ART	d	*|sg|fem	NK	19
18	schlimmen	schlimmen	ADJA	schlimm	gen|pl|neut|pos	NK	19
19	Inwohner	Inwohner	NN	Inwohner	gen|pl|masc	NK	16
20	die	die	ART	d	acc|sg|fem	NK	21
21	Judenstatt	Judenstatt	NN	Judenstatt	acc|sg|fem	SB	23
22	genannt	genannt	VVPP	nennen	_	OC	23
23	ware	wäre	VAFIN	sein	sg|3|past|subj	MO	155
24	/	/	$,	/	_	--	23
25	vnd	und	KON	und	_	CD	7
26	alldort	alldort	ADV	alldort	_	MO	39
27	ein	ein	ART	ein	nom|sg|masc	NK	29
28	lange	lange	ADJA	lang	acc|sg|fem|pos	NK	29
29	Zeit	Zeit	NN	Zeit	acc|sg|fem	DA	39
30	hero	her	PTKVZ	her	_	MO	185
31	/	/	$,	/	_	--	30
32	jedoch	jedoch	ADV	jedoch	_	MO	39
33	auff	auf	APPR	auf	_	MO	39
34	eine	eine	ART	ein	acc|sg|fem	NK	36
35	gsparsame	gsparsame	ADJA	gsparsame	acc|sg|fem|pos	NK	36
36	Manier	Manier	NN	Manier	acc|sg|fem	NK	33
37	die	die	ART	d	acc|pl|masc	NK	38
38	Menschen	Menschen	NN	Mensch	acc|pl|masc	OA	39
39	verzehret	verzehret	VVPP	verzehren	sg|3|pres|ind	CJ	25
40	/	/	$,	/	_	--	39
41	nachgehends	nachgehend	ADJA	nachgehend	pos	MO	42
42	ist	ist	VAFIN	sein	sg|3|pres|ind	PAR	148
43	solche	solche	PIAT	solch	nom|sg|fem	NK	44
44	Seuch	Seuche	NN	Seuche	nom|sg|fem	SB	42
45	uͤber	über	APPR	über	_	MNR	44
46	die	die	ART	d	acc|sg|fem	NK	47
47	Donau	Donau	NE	Donau	acc|sg|fem	NK	45
48	oder	oder	KON	oder	_	CD	45
49	vielmehr	vielmehr	ADV	vielmehr	_	MO	50
50	uͤber	über	APPR	über	_	CJ	48
51	den	den	ART	d	acc|sg|masc	NK	52
52	Arm	Arm	NN	Arm	acc|sg|masc	NK	50
53	der	der	ART	d	gen|pl|neut	NK	54
54	Donau	Donau	NE	Donau	gen|pl|neut	AG	52
55	/	/	$,	/	_	--	54
56	in	in	APPR	in	_	MO	59
57	die	die	PRELS	d	acc|sg|fem	NK	58
58	andere	andere	PIS	ander	acc|sg|fem|pos	NK	56
59	Vorstaͤtt	vorsteht	VVFIN	vorstehen	sg|3|pres|ind	CJ	42
60	geschlichen	geschlichen	VVPP	schleichen	_	MO	59
61	/	/	$,	/	_	--	60
62	vnd	und	KON	und	_	CD	59
63	ist	ist	VAFIN	sein	sg|3|pres|ind	CJ	62
64	anfaͤnglich	anfänglich	ADJD	anfänglich	pos	MO	67
65	das	das	ART	d	nom|sg|neut	NK	66
66	Ansehen	Ansehen	NN	Ansehen	nom|sg|neut	PD	67
67	gewest	gewest	VAPP	sein	_	OC	63
68	/	/	$,	/	_	--	67
69	als	als	KOKOM	als	_	CM	70
70	traue	traue	VVFIN	traue	sg|3|pres|subj	OC	66
71	sich	sich	PRF	er|es|sie	acc|sg|3	OA	70
72	der	der	ART	d	nom|sg|masc	NK	73
73	Todt	Tot	NN	Tod	nom|sg|masc	SB	70
74	nicht	nicht	PTKNEG	nicht	_	NG	70
75	in	in	APPR	in	_	MO	70
76	die	die	ART	d	acc|sg|fem	NK	77
77	Residenz	Residenz	NN	Residenz	acc|sg|fem	NK	75
78	Statt	Statt	PTKVZ	statt	_	SVP	70
79	/	/	$,	/	_	--	78
80	sondern	sondern	KON	sondern	_	CD	70
81	wolle	wolle	VMFIN	wollen	sg|3|pres|subj	CJ	80
82	sich	sich	PRF	er|es|sie	acc|sg|3	OA	86
83	mit	mit	APPR	mit	_	MO	86
84	den	den	ART	d	dat|pl|fem	NK	85
85	Vorstaͤtten	Vorstätten	NN	Vorstätten	dat|pl|fem	NK	83
86	befriedigen	befriedigen	VVINF	befriedigen	_	OC	81
87	/	/	$,	/	_	--	86
88	wie	wie	KOUS	wie	_	CM	96
89	er	er	PPER	er	nom|sg|masc|3	SB	96
90	dann	dann	ADV	dann	_	MO	96
91	dieselbe	dieselbe	PDS	derselbe	acc|sg|fem	NK	187
92	vmb	um	APPR	um	_	OP	96
93	vnd	und	KON	und	_	CD	92
94	vmb	um	APPR	um	_	CJ	93
95	ziemlich	ziemlich	ADV	ziemlich	_	MO	96
96	verwuͤst	verwüst	NN	verwüst	_	MO	148
97	/	/	$,	/	_	--	96
98	jedoch	jedoch	ADV	jedoch	_	MO	81
99	solcher	solcher	PIAT	solch	_	NK	92
100	gestalten	gestalten	ADJA	gestalt	_	OC	81
101	/	/	$,	/	_	--	100
