

1	LXXIIX	LXXIIX	NE	LXXIIX	nom|sg|neut	--	0
2	.	.	SENT	.	_	--	1

1	Huren-Liebe	Huren-Liebe	NN	Huren-Liebe	nom|sg|fem	SB	2
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	nicht	nicht	PTKNEG	nicht	_	NG	2
4	bestaͤndig	beständig	ADJD	beständig	pos	PD	2
5	.	.	SENT	.	_	--	4

1	Erlaͤuterung	Erläuterung	NN	Erläuterung	nom|sg|fem	--	0
2	.	.	SENT	.	_	--	1

1	ES	ES	PPER	es	nom|sg|*	SB	2
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	zwar	zwar	ADV	zwar	_	MO	2
4	die	die	ART	d	nom|sg|fem	NK	5
5	Liebe	Liebe	NN	Liebe	nom|sg|fem	SB	21
6	ein	ein	ART	ein	acc|sg|neut	NK	8
7	sehnliches	sehnliches	ADJA	sehnliches	acc|sg|neut|pos	NK	8
8	LiebeVerlangen	LiebeVerlangen	ADJA	LiebeVerlangen	acc|sg|neut	PD	2
9	und	und	KON	und	_	CD	8
10	hertzliches	hertzliches	ADJA	hertzliches	acc|sg|neut|pos	NK	12
11	wolgefaͤlliges	wohlgefälliges	ADJA	wohlgefällig	acc|sg|neut|pos	NK	12
12	Beruhen	Beruhen	NN	Beruhen	acc|sg|neut	CJ	9
13	in	in	APPR	in	_	MNR	8
14	der	der	ART	d	dat|sg|fem	NK	18
15	verlangeten	verlangeten	ADJA	verlangeten	dat|sg|fem|pos	NK	18
16	und	und	KON	und	_	CD	15
17	begehreten	begehreten	ADJA	begehreten	dat|sg|fem|pos	CJ	16
18	Schoͤnheit	Schönheit	NN	Schönheit	dat|sg|fem	NK	13
19	/	/	$,	/	_	--	18
20	und	und	KON	und	_	CD	2
21	kan	kann	VMFIN	können	sg|3|pres|ind	CJ	20
22	sich	sich	PRF	er|es|sie	acc|sg|3	OA	24
23	nicht	nicht	PTKNEG	nicht	_	NG	21
24	ehender	ehender	ADV	ehender	_	OC	21
25	zu	zu	APPR	zu	_	PM	26
26	frieden	frieden	NN	Frieden	_	OC	27
27	geben	geben	VVINF	geben	_	OC	24
28	/	/	$,	/	_	--	27
29	biß	bis	KOUS	bis	_	CP	34
30	sie	sie	PPER	Sie	nom|sg|fem|3	SB	34
31	daß	daß	ART	d	_	CP	34
32	Geliebte	Geliebte	NA	Geliebte	nom|pl|*	SB	34
33	wuͤrcklich	wirklich	ADJD	wirklich	pos	MO	34
34	erlanget	erlanget	VVFIN	erlangen	sg|3|pres|ind	MO	27
35	und	und	KON	und	_	CD	34
36	geniesset	genießet	VVFIN	genießen	sg|3|pres|ind	CJ	35
37	/	/	$,	/	_	--	36
38	eine	eine	ART	ein	nom|sg|fem	NK	40
39	solche	solche	PIAT	solch	nom|sg|fem	NK	40
40	Bewegung	Bewegung	NN	Bewegung	nom|sg|fem	SB	43
41	des	des	ART	d	gen|sg|masc	NK	42
42	Gemuͤths	Gemüts	NN	Gemüt	gen|sg|masc	AG	40
43	ist	ist	VAFIN	sein	sg|3|pres|ind	CJ	21
44	die	die	ART	d	nom|sg|fem	NK	45
45	Liebe	Liebe	NN	Liebe	nom|sg|fem	PD	43
46	.	.	SENT	.	_	--	45

1	So	So	ADV	so	_	MO	10
2	leicht	leicht	ADJD	leicht	pos	MO	10
3	aber	aber	KON	aber	_	MO	10
4	als	als	KOUS	als	_	CM	10
5	diese	diese	PDAT	dies	nom|sg|fem	SB	349
6	Bewegung	Bewegung	NN	Bewegung	nom|sg|fem	OA	10
7	in	in	APPR	in	_	MO	10
8	unserm	unserm	PPOSAT	unser	dat|sg|neut	NK	9
9	Gemuͤthe	Gemüte	NN	Gemüt	dat|sg|neut	NK	7
10	entstehet	entstehet	VVFIN	entstehen	_	--	0
11	/	/	$,	/	_	--	10
12	so	so	ADV	so	_	MO	13
13	leicht	leicht	ADJD	leicht	pos	MO	17
14	sie	sie	PPER	Sie	acc|*|*|3	SB	356
15	auch	auch	ADV	auch	_	MO	17
16	wieder	wieder	ADV	wieder	_	MO	17
17	vergehet	vergehet	VVFIN	vergehen	_	MO	10
18	/	/	$,	/	_	--	17
19	sonderlich	sonderlich	ADJD	sonderlich	pos	MO	24
20	wo	wo	PWAV	wo	_	MO	32
21	die	die	ART	d	nom|sg|fem	NK	22
22	Ursach	Ursache	NN	Ursache	nom|sg|fem	SB	70
23	solches	solches	PIAT	solch	gen|sg|neut	NK	24
24	Begehrens	Begehrens	NN	Begehrens	gen|sg|neut	AG	22
25	/	/	$,	/	_	--	24
26	Verlangens	Verlangens	NN	Verlangens	gen|sg|neut	CJ	24
27	und	und	KON	und	_	CD	26
28	Verliebens	Verliebens	NN	Verliebens	gen|sg|neut	CJ	27
29	/	/	$,	/	_	--	28
30	nicht	nicht	PTKNEG	nicht	_	NG	32
31	wol	wohl	ADV	wohl	_	MO	32
32	gegruͤndet	gegründet	VVPP	gründen	_	PD	33
33	ist	ist	VAFIN	sein	sg|3|pres|ind	SB	340
34	in	in	APPR	in	_	MO	32
35	der	der	ART	d	dat|sg|fem	NK	36
36	Tugend	Tugend	NN	Tugend	dat|sg|fem	NK	34
37	/	/	$,	/	_	--	36
38	Gerechtigkeit	Gerechtigkeit	NN	Gerechtigkeit	nom|sg|fem	NK	36
39	/	/	$,	/	_	--	38
40	Keuschheit	Keuschheit	NN	Keuschheit	nom|sg|fem	CJ	38
41	/	/	$,	/	_	--	40
42	Zucht	Zucht	NN	Zucht	sg|3|pres|ind	CJ	40
43	und	und	KON	und	_	CD	42
44	Erbarkeit	Ehrbarkeit	NN	Ehrbarkeit	nom|sg|fem	CJ	43
45	/	/	$,	/	_	--	44
46	sondern	sondern	KON	sondern	_	CD	40
47	nur	nur	ADV	nur	_	MO	48
48	zum	zum	APPRART	zum	dat|sg|masc	CJ	46
49	Grund	Grund	NN	Grund	dat|sg|masc	NK	48
50	/	/	$,	/	_	--	49
51	Ursach	Ursache	NN	Ursache	nom|sg|fem	OA	46
52	unnd	und	KON	und	_	CD	51
53	Gegenwurff	Gegenwurf	NN	Gegenwurf	nom|sg|masc	CJ	52
54	hat	hat	VAFIN	haben	sg|3|pres|ind	RE	350
55	die	die	ART	d	acc|sg|fem	NK	56
56	Geilheit	Geilheit	NN	Geilheit	acc|sg|fem	SB	54
57	unnd	und	KON	und	_	CD	56
58	verdampte	verdammte	ADJA	verdammt	acc|sg|fem|pos	NK	59
59	Unzucht	Unzucht	NN	Unzucht	acc|sg|fem	CJ	57
60	/	/	$,	/	_	--	59
61	solch	solch	PIAT	solch	*|*|*	MO	62
62	wildes	wildes	ADJA	wild	gen|sg|neut	NK	63
63	Feuer	Feuer	NN	Feuer	nom|sg|neut	AG	56
64	kan	kann	VMFIN	können	sg|3|pres|ind	RS	271
65	sich	sich	PRF	er|es|sie	acc|sg|3	OA	68
66	nun	nun	ADV	nun	_	MO	64
67	leichtlich	leichtlich	ADV	leichtlich	pos	MO	68
68	entzuͤnden	entzünden	VVFIN	entzünden	_	OC	64
69	/	/	$,	/	_	--	68
70	kan	kann	VMFIN	können	sg|3|pres|ind	CJ	64
71	auch	auch	ADV	auch	_	MO	70
72	weit	weit	ADJD	weit	pos	MO	75
73	umb	um	APPR	um	_	MO	75
74	sich	sich	PRF	er|es|sie	acc|pl|3	NK	73
75	fressen	fressen	VVINF	fressen	_	OC	70
76	/	/	$,	/	_	--	75
77	und	und	KON	und	_	CD	54
78	ruhet	ruhet	VVFIN	ruhen	sg|3|pres|ind	CJ	77
79	ein	ein	ART	ein	nom|sg|masc	NK	82
80	wilder	wilder	ADJA	wild	nom|sg|masc|pos	NK	82
81	unkeuscher	unkeuscher	ADJA	unkeuscher	nom|sg|masc|pos	NK	82
82	Mensch	Mensch	NN	Mensch	nom|sg|masc	SB	78
83	nicht	nicht	PTKNEG	nicht	_	NG	78
84	/	/	$,	/	_	--	83
85	er	er	PPER	er	nom|sg|masc|3	SB	86
86	habe	habe	VAFIN	haben	sg|3|pres|subj	RE	350
87	den̄	den	ART	d	acc|sg|masc	NK	350
88	ein	ein	ART	ein	acc|sg|neut	NK	89
89	Feuer	Feuer	NN	Feuer	nom|sg|neut	SB	90
90	angezuͤndet	angezündet	VVPP	anzünden	sg|3|pres|ind	OC	86
91	an	an	APPR	an	_	MO	90
92	seinem	seinem	PPOSAT	sein	dat|sg|masc	NK	93
93	Leibe	Leibe	NN	Leib	dat|sg|masc	NK	91
94	/	/	$,	/	_	--	93
95	und	und	KON	und	_	CD	90
96	dencket	denket	VVFIN	denket	sg|3|pres|ind	CJ	95
97	daß	daß	KOUS	daß	_	CP	101
98	alle	alle	PIS	all	nom|pl|masc	NK	100
99	verborgen	verborgen	VVPP	verbergen	_	NK	100
100	Wasser	Wasser	NN	Wasser	nom|sg|neut	SB	101
101	suͤsse	süße	ADJA	süß	sg|3|pres|subj	RE	350
102	sind	sind	VAFIN	sein	pl|3|pres|ind	RE	350
103	/	/	$,	/	_	--	102
104	und	und	KON	und	_	--	0
105	daß	daß	KOUS	daß	_	CP	110
106	das	das	ART	d	nom|sg|neut	NK	108
107	gestohlene	gestohlene	ADJA	gestohlene	nom|sg|neut|pos	NK	108
108	Brod	Brot	NN	Brot	nom|sg|neut	SB	110
109	niedlich	niedlich	ADJD	niedlich	pos	PD	110
110	sey	sei	VAFIN	sein	sg|3|pres|subj	RE	350
111	/	/	$,	/	_	--	110
112	aber	aber	KON	aber	_	CD	110
113	es	es	PPER	es	nom|sg|neut|3	SB	114
114	bringet	bringet	VVFIN	bringen	sg|3|pres|ind	CJ	112
115	endlich	endlich	ADV	endlich	_	MO	114
116	nichts	nichts	PIS	nichts	*|*|neut	OA	96
117	den	den	ART	d	acc|sg|masc	NK	118
118	Hertzeleyd	Herzeleid	NN	Herzeleid	acc|sg|masc	OA	114
119	/	/	$,	/	_	--	118
120	denn	denn	KON	denn	_	CD	114
121	es	es	PPER	es	nom|sg|neut|3	RE	343
122	nur	nur	ADV	nur	_	MO	125
123	ein	ein	ART	ein	acc|sg|neut	NK	125
124	falsches	falsches	ADJA	falsch	acc|sg|neut|pos	NK	125
125	Feuer	Feuer	NN	Feuer	acc|sg|neut	SB	129
126	und	und	KON	und	_	CD	125
127	rechter	rechter	ADJA	recht	nom|sg|masc|pos	NK	128
128	Irrwisch	Irrwisch	NN	Irrwisch	nom|sg|masc	CJ	126
129	ist	ist	VAFIN	sein	sg|3|pres|ind	CJ	120
130	/	/	$,	/	_	--	129
131	so	so	ADV	so	_	MO	132
132	lang	lang	ADJD	lang	pos	MO	136
133	die	die	ART	d	acc|sg|fem	NK	135
134	boͤse	böse	ADJA	bös	nom|sg|fem|pos	NK	135
135	Lust	Lust	NN	Lust	nom|sg|fem	SB	136
136	waͤret	wäret	VAFIN	sein	sg|3|pres|ind	OC	129
137	/	/	$,	/	_	--	136
138	so	so	ADV	so	_	MO	139
139	lange	lange	ADV	lange	_	MO	155
140	waͤret	wäret	VAFIN	sein	sg|3|pres|ind	CJ	104
141	solch	solch	PIAT	solch	*|*|*	NK	142
142	Liebesfeuer	Liebesfeuer	NN	Liebesfeuer	acc|pl|neut	SB	155
143	un̄	un	KON	und	_	MNR	142
144	unkeusche	unkeusche	ADJA	unkeusche	acc|pl|fem|pos	NK	145
145	Flam̄en	Flamen	NN	Flamen	acc|pl|fem	NK	143
146	auch	auch	ADV	auch	_	MO	154
147	/	/	$,	/	_	--	146
148	so	so	ADV	so	_	MO	149
149	bald	bald	ADV	bald	_	MO	154
150	aber	aber	ADV	aber	_	MO	154
151	die	die	ART	d	nom|sg|fem	NK	152
152	Lust	Lust	NN	Lust	nom|sg|fem	OA	154
153	/	/	$,	/	_	--	152
154	gebuͤsset	gebüsset	VVPP	büßen	_	PD	155
155	ist	ist	VAFIN	sein	sg|3|pres|ind	RE	350
156	/	/	$,	/	_	--	155
157	so	so	ADV	so	_	MO	158
158	bald	bald	ADV	bald	_	MO	159
159	nimbt	nimmt	VVFIN	nehmen	sg|3|pres|ind	PAR	154
160	solche	solche	PIAT	solch	nom|sg|fem	NK	161
161	Liebe	Liebe	NN	Liebe	nom|sg|fem	SB	159
162	auch	auch	ADV	auch	_	MO	164
163	ein	ein	ART	ein	nom|sg|neut	NK	164
164	Ende	Ende	NN	Ende	nom|sg|neut	OA	159
165	/	/	$,	/	_	--	164
166	un̄	un	KON	und	_	MO	172
167	wird	wird	VAFIN	werden	sg|3|pres|ind	RE	350
168	dieses	dieses	PDAT	dies	nom|sg|neut	NK	169
169	Feuer	Feuer	NN	Feuer	nom|sg|neut	SB	167
170	bald	bald	ADV	bald	_	MO	172
171	wieder	wieder	ADV	wieder	_	MO	172
172	geloͤschet	gelöscht	VVPP	löschen	_	MO	175
173	/	/	$,	/	_	--	172
174	ja	ja	ADV	ja	_	MO	175
175	vergehet	vergehet	VVFIN	vergehen	_	OC	167
176	wie	wie	KOKOM	wie	_	CM	181
177	ein	ein	ART	ein	acc|sg|neut	NK	181
178	außgebrandt	ausgebrannt	ADJD	ausgebrannt	_	NK	181
179	und	und	KON	und	_	CD	178
180	außgeblasen	ausgeblasen	ADJA	ausgeblasen	dat|sg|neut|pos	CJ	179
181	Liecht	Licht	NN	Licht	dat|sg|neut	CC	174
182	/	/	$,	/	_	--	181
183	darumb	darum	PAV	darum	_	PG	188
184	in	in	APPR	in	_	MO	190
185	der	der	ART	d	dat|sg|fem	NK	186
186	Lieb	Lieb	NN	Liebe	dat|sg|fem	NK	184
187	wol	wohl	ADV	wohl	_	MO	190
188	acht	acht	NN	Acht	_	--	0
189	zu	zu	PTKZU	zu	_	PM	190
190	geben	geben	VVINF	geben	_	RE	183
191	auff	auf	APPR	auf	_	MO	190
192	die	die	ART	d	acc|sg|fem	NK	193
193	Ursach	Ursache	NN	Ursache	acc|sg|fem	NK	191
194	redlich	redlich	ADJD	redlich	pos	MO	190
195	/	/	$,	/	_	--	194
196	das	das	ART	d	nom|sg|neut	NK	197
197	Fundament	Fundament	NN	Fundament	nom|sg|neut	OA	190
198	Ehelich	Ehelich	ADJD	Ehelich	pos	PD	197
199	/	/	$,	/	_	--	198
200	und	und	KON	und	_	CD	167
201	der	der	ART	d	nom|sg|masc	NK	202
202	Gegenwurff	Gegenwurf	NN	Gegenwurf	nom|sg|masc	SB	203
203	erlaubet	erlaubet	VVPP	erlauben	sg|3|pres|ind	CJ	200
204	/	/	$,	/	_	--	203
205	so	so	ADV	so	_	MO	214
206	wird	wird	VAFIN	werden	sg|3|pres|ind	RE	350
207	die	die	ART	d	nom|sg|fem	NK	208
208	Lieb	Lieb	NN	Liebe	nom|sg|fem	SB	206
209	bestaͤndig	beständig	ADJD	beständig	pos	PD	210
210	seyn	sein	VAINF	sein	_	OC	206
211	un̄	un	KON	und	pos	MO	214
212	zum	zum	APPRART	zum	dat|sg|neut	MO	214
213	Guten	Guten	NA	Gute	dat|sg|neut	NK	212
214	außschlagen	außschlagen	VVPP	außschlagen	_	MO	216
215	/	/	$,	/	_	--	214
216	un̄	un	KON	und	_	PD	217
217	ist	ist	VAFIN	sein	sg|3|pres|ind	RE	350
218	allererst	allererst	ADV	allererst	_	MO	217
219	eine	eine	ART	ein	nom|sg|fem	NK	220
220	recht	Recht	NN	Recht	dat|sg|neut	SB	217
221	Liebe	Liebe	NN	Liebe	nom|sg|fem	OA	223
222	zu	zu	PTKZU	zu	_	PM	223
223	nen̄en	nennen	VVINF	nennen	_	OC	220
224	/	/	$,	/	_	--	223
225	ist	ist	VAFIN	sein	sg|3|pres|ind	RE	350
226	aber	aber	ADV	aber	_	MO	225
227	die	die	ART	d	nom|sg|fem	NK	228
228	Ursach	Ursache	NN	Ursache	acc|sg|fem	OA	230
229	zu	zu	PTKZU	zu	_	PM	230
230	lieben	lieben	VVINF	lieben	_	OC	231
231	unredlich	unredlich	ADJD	unredlich	pos	PD	225
232	/	/	$,	/	_	--	231
233	daß	daß	KOUS	daß	_	CP	48
234	Fundament	Fundament	NN	Fundament	nom|sg|neut	SB	252
235	unehrlich	unehrlich	ADJD	unehrlich	pos	MO	246
236	und	und	KON	und	_	CD	235
237	unkeusch	unkeusch	ADJD	unkeusch	pos	CJ	236
238	/	/	$,	/	_	--	237
239	der	der	ART	d	nom|sg|masc	NK	240
240	Gegenwurf	Gegenwurf	NN	Gegenwurf	nom|sg|masc	SB	266
241	in	in	APPR	in	_	MNR	240
242	allen	allen	PIAT	all	dat|pl|fem	NK	243
243	Rechten	Rechten	NA	Rechte	dat|pl|fem	NK	241
244	/	/	$,	/	_	--	243
245	zu	zu	PTKZU	zu	_	PM	246
246	lieben	lieben	VVINF	lieben	_	OC	252
247	verbotten	verboten	VVPP	verbieten	_	RE	251
248	un̄	un	KON	und	_	DA	247
249	unerlaubet	unerlaubt	ADJD	unerlaubt	pos	MO	247
250	/	/	$,	/	_	--	249
251	so	so	ADV	so	_	MO	252
252	kan	kann	VMFIN	können	sg|3|pres|ind	CJ	225
253	solche	solche	PIS	solch	nom|sg|fem	NK	259
254	falsche	falsche	ADJA	falsch	acc|pl|fem|pos	NK	259
255	/	/	$,	/	_	--	254
256	boͤse	böse	ADJA	bös	acc|pl|fem|pos	NK	259
257	und	und	KON	und	_	CD	256
258	verbottene	verbotene	ADJA	verboten	nom|sg|fem|pos	CJ	257
259	Liebe	Liebe	NN	Liebe	nom|sg|fem	SB	252
260	je	je	ADV	je	_	MO	263
261	keine	keine	PIAT	kein	acc|sg|fem	NK	262
262	Bestand	Bestand	NN	Bestand	acc|sg|masc	OA	263
263	haben	haben	VAFIN	haben	_	OC	252
264	/	/	$,	/	_	--	263
265	sondern	sondern	KON	sondern	_	--	0
266	muß	muß	VMFIN	müssen	sg|3|pres|ind	CJ	265
267	nothwendig	notwendig	ADJD	notwendig	pos	MO	268
268	verfallen	verfallen	VVPP	verfallen	_	OC	266
269	/	/	$,	/	_	--	268
270	und	und	KON	und	_	CD	266
271	folget	folget	VVIMP	folgen	sg|3|pres|ind	CJ	270
272	Reu	Reu	NN	Reu	acc|sg|fem	OA	271
273	und	und	KON	und	_	CD	272
274	Schande	Schande	NN	Schande	acc|pl|masc	CJ	273
275	darauf	darauf	PAV	darauf	_	OP	271
276	/	/	$,	/	_	--	210
277	es	es	PPER	es	nom|sg|neut|3	SB	278
278	sey	sei	VAFIN	sein	sg|3|pres|subj	RE	275
279	denn	denn	ADV	denn	_	MO	278
280	das	das	ART	d	nom|sg|neut	NK	282
281	etliche	etliche	PIAT	etlich	nom|sg|neut	NK	282
282	Unsinnige	Unsinnige	NN	Unsinnige	acc|pl|*	PD	278
283	/	/	$,	/	_	--	282
284	weder	weder	KON	weder	_	--	0
285	Gottes	Gottes	NE	Gott	gen|sg|masc	CJ	282
286	/	/	$,	/	_	--	285
287	noch	noch	KON	noch	_	CD	285
288	des	des	ART	d	gen|sg|neut	NK	289
