

1	Zwote	Zwote	ADJA	Zwote	nom|sg|fem|pos	NK	2
2	Abtheilung	Abteilung	NN	Abteilung	nom|sg|fem	--	0
3	von	von	APPR	von	_	PG	2
4	den	den	ART	d	dat|pl|neut	NK	6
5	Musicalischen	Musicalischen	NN	Musicalischen	dat|pl|neut|pos	NK	6
6	Geschlechten	Geschlechten	NN	Geschlecht	dat|pl|neut	NK	3
7	.	.	SENT	.	_	--	6

1	§.	§.	$(	§	_	--	0
2	43.	43.	CARD	@ord@	_	--	0

1	Meine	Meine	PPOSAT	mein	nom|pl|masc	NK	2
2	Leser	Leser	NN	Leser	nom|pl|masc	SB	3
3	wissen	wissen	VVFIN	wissen	pl|3|pres|ind	--	0
4	nunmehr	nunmehr	ADV	nunmehr	_	MO	3
5	die	die	ART	d	acc|sg|fem	NK	9
6	wahre	wahre	ADJA	wahr	acc|sg|fem|pos	NK	9
7	und	und	KON	und	_	CD	6
8	eigentliche	eigentliche	ADJA	eigentlich	acc|sg|fem|pos	CJ	7
9	Anzahl	Anzahl	NN	Anzahl	acc|sg|fem	OA	3
10	und	und	KON	und	_	CD	9
11	gruͤndliche	gründliche	ADJA	gründlich	acc|sg|fem|pos	NK	12
12	Beschaffenheit	Beschaffenheit	NN	Beschaffenheit	acc|sg|fem	CJ	10
13	und	und	KON	und	_	CD	12
14	Eintheilung	Einteilung	NN	Einteilung	acc|sg|fem	CJ	13
15	der	der	ART	d	gen|pl|fem	NK	16
16	Intervallen	Intervallen	NN	Intervall	gen|pl|fem	AG	9
17	.	.	SENT	.	_	--	16

1	Ich	Ich	PPER	ich	nom|sg|*|1	SB	2
2	verfolge	verfolge	VVFIN	verfolgen	sg|1|pres|ind	--	0
3	also	also	ADV	also	_	MO	2
4	mein	mein	PPOSAT	mein	acc|sg|neut	NK	5
5	Vorhaben	Vorhaben	NN	Vorhaben	acc|sg|neut	OA	2
6	,	,	$,	,	_	--	5
7	und	und	KON	und	_	CD	2
8	schreite	schreite	VVFIN	schreiten	sg|3|pres|subj	CJ	7
9	zur	zur	APPRART	zur	dat|sg|fem	MO	8
10	Erklaͤrung	Erklärung	NN	Erklärung	dat|sg|fem	NK	9
11	der	der	ART	d	gen|pl|fem	NK	13
12	musicalischen	musikalischen	ADJA	musikalisch	gen|pl|fem|pos	NK	13
13	Geschlechten	Geschlechten	NN	Geschlecht	gen|pl|fem	AG	10
14	.	.	SENT	.	_	--	13

1	Durch	Durch	APPR	durch	_	MO	13
2	diese	diese	PDAT	dies	acc|pl|fem	NK	1
3	werden	werden	VAFIN	werden	pl|1|pres|ind	--	0
4	wir	wir	PPER	wir	nom|pl|*|1	SB	3
5	die	die	ART	d	acc|pl|masc	NK	6
6	Intervallen	Intervallen	NN	Intervall	acc|pl|fem	OA	13
7	in	in	APPR	in	_	MNR	6
