

1	Dreyzehntes	dreizehntes	ADJA	dreizehntes	nom|sg|neut|pos	NK	2
2	Capitel	Kapitel	NN	Kapitel	nom|sg|neut	--	0
3	.	.	SENT	.	_	--	2

1	Noch	Noch	ADV	noch	_	MO	3
2	eine	eine	ART	ein	nom|sg|fem	NK	3
3	Art	Art	NN	Art	nom|sg|fem	--	0
4	von	von	APPR	von	_	PG	3
5	Hofmeistern	Hofmeistern	NN	Hofmeistern	dat|pl|masc	NK	4
6	.	.	SENT	.	_	--	5

1	Eine	Eine	ART	ein	nom|sg|fem	NK	2
2	Meile	Meile	NN	Meile	nom|sg|fem	SB	5
3	von	von	APPR	von	_	PG	2
4	S*	S*	NE	S*	dat|sg|*	NK	3
5	hat	hat	VAFIN	haben	sg|3|pres|ind	--	0
6	der	der	ART	d	nom|sg|masc	NK	7
7	Marggraf	Marggraf	NN	Markgraf	nom|sg|masc	SB	5
8	von	von	APPR	von	_	PG	7
9	**	**	$*	**	dat|sg|*	NK	8
10	ein	ein	ART	ein	acc|sg|neut	NK	11
11	Lustschloß	Lustschloß	NN	Lustschloß	acc|sg|neut	OA	5
12	,	,	$,	,	_	--	11
13	wohin	wohin	PWAVREL	wohin	_	MO	24
14	er	er	PPER	er	nom|sg|masc|3	SB	24
15	iaͤhrlich	jährlich	ADJD	jährlich	pos	MO	16
16	etlichemale	etlichemale	PIS	etlichemale	_	MO	24
17	mit	mit	APPR	mit	_	MO	24
18	einem	einem	PIS	ein	dat|sg|neut	NK	20
19	maͤßigen	mäßigen	VVINF	mäßigen	dat|sg|neut|pos	NK	20
20	Gefolge	Gefolge	NN	Gefolge	dat|sg|neut	NK	17
21	sich	sich	PRF	er|es|sie	acc|sg|3	OA	23
22	zu	zu	PTKZU	zu	_	PM	23
23	begeben	begeben	VVINF	begeben	_	OC	24
24	pfleget	pfleget	VVFIN	pflegen	sg|3|pres|ind	MO	5
25	.	.	SENT	.	_	--	24

1	Dieß	Dies	PDS	dies	nom|sg|neut	SB	2
2	geschah	geschah	VVFIN	geschehen	sg|3|past|ind	--	0
3	auch	auch	ADV	auch	_	MO	4
4	ietzo	jetzt	ADV	jetzt	_	MO	2
5	waͤhrend	während	APPR	während	_	MO	2
6	unsers	unseres	PPOSAT	unser	gen|sg|neut	NK	7
7	Aufenthaltes	Aufenthaltes	NN	Aufenthaltes	gen|sg|neut	NK	5
8	in	in	APPR	in	_	MNR	7
9	S*	S*	NE	S*	dat|sg|neut	NK	8
10	.	.	SENT	.	_	--	9

