

1	§.	§.	$(	§	_	MO	2
2	XXXVI	XXXVI	NE	XXXVI	sg|3|past|ind	--	0
3	.	.	SENT	.	_	--	2

1	So	So	ADV	so	_	MO	2
2	bald	bald	ADV	bald	_	MO	15
3	es	es	PPER	es	acc|sg|neut|3	OA	15
4	die	die	ART	d	nom|sg|fem	NK	5
5	Jahrszeit	Jahrszeit	NN	Jahreszeit	nom|sg|fem	SB	15
6	und	und	KON	und	_	CD	5
7	Witterung	Witterung	NN	Witterung	acc|sg|fem	CJ	6
8	in	in	APPR	in	_	MO	15
9	dem	dem	ART	d	dat|sg|neut	NK	11
10	jeztlaufenden	jeztlaufenden	ADJA	jeztlaufenden	dat|sg|neut|pos	NK	11
11	Jahr	Jahr	NN	Jahr	dat|sg|neut	NK	8
12	1767.	1767.	CARD	@ord@	_	NK	11
13	im	im	APPRART	im	dat|sg|neut	MO	15
14	Fruͤhling	Frühling	NN	Frühling	dat|sg|neut	NK	13
15	zugelassen	zugelassen	VVPP	zulassen	_	MO	25
16	,	,	$,	,	_	--	15
17	habe	habe	VAFIN	haben	sg|1|pres|ind	--	0
18	ich	ich	PPER	ich	nom|sg|*|1	SB	17
19	die	die	ART	d	acc|sg|fem	NK	24
20	in	in	APPR	in	_	MO	23
21	vorigem	vorigem	ADJA	vorig	dat|sg|neut|pos	NK	22
22	Jahr	Jahr	NN	Jahr	dat|sg|neut	NK	20
23	angefangene	angefangene	ADJA	angefangen	nom|sg|fem|pos	NK	24
24	Untersuchung	Untersuchung	NN	Untersuchung	nom|sg|fem	OA	25
25	fortgesetzt	fortgesetzt	VVPP	fortsetzen	_	OC	17
26	.	.	SENT	.	_	--	25

1	Das	Das	ART	d	nom|sg|neut	NK	2
2	Merkwuͤrdigste	Merkwürdigste	NN	Merkwürdigste	nom|sg|neut	SB	9
3	,	,	$,	,	_	--	2
4	so	so	PTKREL	so	_	MO	7
5	mir	mir	PPER	ich	dat|sg|*|1	DA	7
6	diesmal	diesmal	ADV	diesmal	_	MO	7
7	vorgekommen	vorgekommen	VVPP	vorkommen	_	PAR	2
8	,	,	$,	,	_	--	7
9	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
10	ohnstrittig	ohnstrittig	ADJD	ohnstrittig	pos	MO	9
11	der	der	ART	d	nom|sg|masc	NK	13
12	entdeckte	entdeckte	ADJA	entdeckt	nom|sg|masc|pos	NK	13
13	Grund	Grund	NN	Grund	nom|sg|masc	SB	9
14	nicht	nicht	PTKNEG	nicht	_	NG	15
15	nur	nur	ADV	nur	_	MO	16
16	von	von	APPR	von	_	MO	9
17	einem	einem	ART	ein	dat|sg|masc	NK	21
18	hier	hier	ADV	hier	_	MO	20
19	wuͤrklich	wirklich	ADJD	wirklich	pos	MO	20
20	gestandenen	gestandenen	ADJA	gestandenen	acc|sg|masc|pos	NK	21
21	Kastell	Kastell	NE	Kastell	acc|sg|masc	NK	16
22	,	,	$,	,	_	--	21
23	sondern	sondern	KON	sondern	_	CD	16
24	auch	auch	ADV	auch	_	MO	25
25	von	von	APPR	von	_	CJ	23
26	einem	einem	ART	ein	dat|sg|masc	NK	39
27	in	in	APPR	in	_	MO	38
28	solchem	solchem	PIAT	solch	dat|sg|neut	NK	27
29	,	,	$,	,	_	--	28
30	nach	nach	APPR	nach	_	MO	27
31	Gewohnheit	Gewohnheit	NN	Gewohnheit	dat|sg|fem	NK	30
32	der	der	ART	d	gen|pl|masc	NK	33
