

1	ARTICULUS	ARTICULUS	NN	Artikel	nom|sg|masc	PNC	2
2	XV	XV	CARD	XV	_	--	0
3	.	.	SENT	.	_	--	2

1	Wie	Wie	KOUS	wie	_	CM	3
2	der	der	ART	d	nom|sg|masc	NK	3
3	Gefangene	Gefangene	NA	Gefangene	nom|sg|masc	MO	11
4	in	in	APPR	in	_	MO	11
5	der	der	ART	d	dat|sg|fem	NK	6
6	Frohnfeste	Frohnfeste	ADJA	Frohnfeste	dat|sg|fem	NK	4
7	/	/	$,	/	_	--	6
8	oder	oder	KON	oder	_	CD	6
9	Gefaͤngnis	Gefängnis	NN	Gefängnis	dat|sg|neut	CJ	8
10	zu	zu	PTKZU	zu	_	PM	11
11	halten	halten	VVINF	halten	_	--	0
12	.	.	SENT	.	_	--	11

1	WEil	Weil	KOUS	weil	_	CP	15
2	der	der	ART	d	nom|sg|masc	NK	3
3	Gefangene	Gefangene	NA	Gefangene	nom|sg|masc	SB	15
4	nicht	nicht	PTKNEG	nicht	_	NG	15
5	nach	nach	APPR	nach	_	MO	14
6	seinen	seinen	PPOSAT	sein	dat|pl|fem	NK	7
7	eigenen	eigenen	ADJA	eigen	dat|pl|fem|pos	NK	5
8	/	/	$,	/	_	--	7
9	sondern	sondern	KON	sondern	_	CD	5
10	nach	nach	APPR	nach	_	CJ	9
11	des	des	ART	d	gen|sg|neut	NK	12
12	Gerichts	Gerichts	NN	Gericht	gen|sg|neut	NK	10
13	Willen	Willen	NN	Wille	dat|sg|masc	NK	12
14	leben	leben	VVINF	leben	_	OC	15
15	muß	muß	VMFIN	müssen	sg|3|pres|ind	--	0
16	/	/	$,	/	_	--	15
17	dem	dem	ART	d	dat|sg|neut	NK	18
18	Publico	Publikum	NN	Publikum	dat|sg|neut	DA	21
19	aber	aber	ADV	aber	_	MO	21
20	daran	daran	PAV	daran	_	MO	21
21	gelegen	gelegen	VVPP	liegen	_	OC	15
22	/	/	$,	/	_	--	21
23	daß	daß	KOUS	daß	_	CP	35
24	mit	mit	APPR	mit	_	OP	34
25	demselben	demselben	PDS	derselbe	dat|pl|neut	NK	24
26	zwar	zwar	ADV	zwar	_	MO	27
27	glimpflich	glimpflich	ADJD	glimpflich	pos	MO	34
28	/	/	$,	/	_	--	27
29	doch	doch	ADV	doch	_	MO	34
30	beynebens	beynebens	VVPP	beynebens	_	MO	34
31	/	/	$,	/	_	--	30
32	so	so	ADV	so	_	MO	33
33	sicher	sicher	ADJD	sicher	pos	MO	34
34	umbgegangen	umgegangen	VVPP	umgehen	_	OC	35
35	werde	werde	VAFIN	werden	sg|3|pres|subj	RE	20
36	/	/	$,	/	_	--	35
37	damit	damit	KOUS	damit	_	CP	56
38	die	die	ART	d	nom|sg|fem	NK	39
39	Gerechtigkeit	Gerechtigkeit	NN	Gerechtigkeit	nom|sg|fem	SB	56
40	keinen	keinen	PIAT	kein	acc|sg|masc	NK	41
