

1	III	III	CARD	III	_	--	0
2	.	.	SENT	.	_	--	1

1	Von	Von	APPR	von	_	--	0
2	der	der	ART	d	dat|sg|fem	NK	3
3	Mitgift	Mitgift	NN	Mitgift	dat|sg|fem	NK	1
4	,	,	$,	,	_	--	3
5	Einbringen	Einbringen	NN	einbringen	dat|sg|neut	APP	3
6	,	,	$,	,	_	--	5
7	oder	oder	KON	oder	_	CD	3
8	dem	dem	ART	d	dat|sg|masc	NK	9
9	Heyrathsguthe	Heyrathsguthe	NE	Heyrathsguthe	dat|sg|masc	CJ	7
10	,	,	$,	,	_	--	9
11	so	so	PTKREL	so	_	MO	16
12	die	die	ART	d	nom|sg|fem	NK	13
13	Frau	Frau	NN	Frau	nom|sg|fem	SB	16
14	dem	dem	ART	d	dat|sg|masc	NK	15
15	Manne	Manne	NN	Mann	dat|sg|masc	DA	16
16	zubringt	zubringt	VVFIN	zubringt	sg|3|pres|ind	PAR	9
17	,	,	$,	,	_	--	16
18	und	und	KON	und	_	CD	1
19	von	von	APPR	von	_	CJ	18
20	Ehevertraͤgen	Eheverträgen	NN	Eheverträgen	dat|pl|masc	NK	19
21	oder	oder	KON	oder	_	CD	20
22	Ehestifftungen	Ehestiftungen	NN	Ehestiftungen	dat|pl|fem	CJ	21
23	.	.	SENT	.	_	--	22

1	Die	Die	ART	d	nom|sg|fem	NK	2
2	Ausstattung	Ausstattung	NN	Ausstattung	nom|sg|fem	SB	9
3	und	und	KON	und	_	CD	2
4	Mutgabe	Mutgabe	NN	Mutgabe	acc|sg|fem	CJ	3
5	eines	eines	ART	ein	gen|sg|masc	NK	6
6	Heyraths	Heirats	NN	Heirats	gen|sg|masc	AG	2
7	,	,	$,	,	_	--	6
8	guths	Guts	NN	Gut	gen|sg|neut	CJ	6
9	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
10	gesetzlich	gesetzlich	ADJD	gesetzlich	pos	PD	9
11	.	.	SENT	.	_	--	10

1	Das	Das	PDS	d	nom|sg|neut	OA	20
2	,	,	$,	,	_	--	1
3	was	was	PWREL	was	nom|sg|neut	OA	8
4	die	die	ART	d	nom|sg|fem	NK	5
5	Frau	Frau	NN	Frau	nom|sg|fem	SB	8
6	dem	dem	ART	d	dat|sg|masc	NK	7
7	Manne	Manne	NN	Mann	dat|sg|masc	DA	8
8	zubringt	zubringt	VVFIN	zubringt	sg|3|pres|ind	RC	1
9	,	,	$,	,	_	--	8
10	wird	wird	VAFIN	werden	sg|3|pres|ind	--	0
11	Ausstattung	Ausstattung	NN	Ausstattung	nom|sg|fem	SB	10
12	,	,	$,	,	_	--	11
13	Mitgifft	Mitgift	NN	Mitgift	nom|sg|fem	CJ	11
14	,	,	$,	,	_	--	13
15	Heyrathsguth	Heyrathsguth	NE	Heyrathsguth	nom|sg|fem	CJ	13
16	,	,	$,	,	_	--	15
17	Brautschatz	Brautschatz	NN	Brautschatz	dat|sg|masc	CJ	15
18	oder	oder	KON	oder	_	CD	17
19	Einbringen	Einbringen	NN	einbringen	dat|sg|neut	CJ	18
20	genennet	genannt	VVPP	nennen	_	OC	10
21	.	.	SENT	.	_	--	20

1	Dieses	Dieses	PDS	dies	nom|sg|neut	SB	2
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	der	der	ART	d	nom|sg|masc	NK	4
4	Vater	Vater	NN	Vater	nom|sg|masc	PD	2
5	seiner	seiner	PPOSAT	sein	gen|sg|fem	NK	6
6	Tochter	Tochter	NN	Tochter	gen|sg|fem	AG	4
7	,	,	$,	,	_	--	6
8	wenn	wenn	KOUS	wenn	_	CP	10
9	sie	sie	PPER	Sie	nom|sg|fem|3	SB	10
10	heyrathet	heiratet	VVFIN	heiraten	sg|3|pres|ind	MO	2
11	,	,	$,	,	_	--	10
12	nach	nach	APPR	nach	_	MO	16
13	seinen	seinen	PPOSAT	sein	dat|pl|masc	NK	14
14	Umstaͤnden	Umständen	NN	Umstand	dat|pl|masc	NK	12
15	zu	zu	PTKZU	zu	_	PM	16
16	geben	geben	VVINF	geben	_	OC	17
17	verbunden	verbunden	VVPP	verbinden	_	PD	2
18	,	,	$,	,	_	--	17
19	allein	allein	ADV	allein	_	MO	25
20	wenn	wenn	KOUS	wenn	_	CP	25
21	die	die	ART	d	nom|sg|fem	NK	22
22	Tochter	Tochter	NN	Tochter	nom|sg|fem	SB	25
23	selbst	selbst	PRF	selbst	_	MO	25
24	Vermoͤgen	Vermögen	NN	Vermögen	acc|pl|*	OA	25
25	hat	hat	VAFIN	haben	sg|3|pres|ind	MO	16
26	,	,	$,	,	_	--	25
27	z.	z.	APPRART	zum	dat|sg|neut	MO	31
28	B.	B.	NN	Beispiel	dat|sg|neut	NK	27
29	ihr	ihr	PPOSAT	ihr	dat|sg|fem|3	NK	31
30	muͤtterlich	mütterlich	ADJA	mütterlich	pos	MO	31
31	Erbtheil	Erbteil	NN	Erbteil	acc|sg|neut	PAR	25
32	,	,	$,	,	_	--	31
33	oder	oder	KON	oder	_	CD	25
34	was	was	PWS	was	acc|sg|neut	OA	42
35	ihr	ihr	PPER	Ihr	dat|sg|fem|3	DA	42
36	sonst	sonst	ADV	sonst	_	MO	42
37	durch	durch	APPR	durch	_	MO	42
38	Erbschaft	Erbschaft	NN	Erbschaft	acc|sg|fem	NK	37
39	oder	oder	KON	oder	_	CD	38
40	einen	einen	ART	ein	acc|sg|masc	NK	41
41	Gluͤcksfall	Glücksfall	NN	Glücksfall	acc|sg|masc	CJ	39
42	zugefallen	zugefallen	VVPP	zugefallen	_	OC	43
43	ist	ist	VAFIN	sein	sg|3|pres|ind	CJ	33
44	,	,	$,	,	_	--	43
45	oder	oder	KON	oder	_	CD	43
46	wenn	wenn	KOUS	wenn	_	CP	57
47	sie	sie	PPER	Sie	nom|sg|fem|3	SB	57
48	sich	sich	PRF	er|es|sie	acc|pl|3	OA	50
49	so	so	ADV	so	_	MO	50
50	aufgefuͤhrt	aufgeführt	VVPP	aufführen	_	PAR	57
51	,	,	$,	,	_	--	50
52	daß	daß	KOUS	daß	_	CP	57
53	sie	sie	PPER	Sie	nom|pl|*|3	SB	57
54	deßhalb	deshalb	PAV	deshalb	_	MO	57
55	enterbt	enterbt	VVPP	enterbt	_	OC	56
56	werden	werden	VAINF	werden	_	OC	57
57	koͤnnte	könnte	VMFIN	können	sg|3|past|subj	RE	69
58	,	,	$,	,	_	--	57
59	z.	z.	APPRART	zum	dat|sg|neut	MO	67
60	B.	B.	NN	Beispiel	dat|sg|neut	NK	59
61	da	da	KOUS	da	_	MO	67
62	sie	sie	PPER	Sie	nom|pl|*|3	SB	67
63	eine	eine	ART	ein	acc|sg|fem	NK	66
64	ganz	ganz	ADV	ganz	_	MO	65
65	unanstaͤndige	unanständige	ADJA	unanständige	acc|sg|fem|pos	NK	66
66	Heyrath	Heirat	NN	Heirat	acc|sg|fem	OA	67
67	eingegangen	eingegangen	VVPP	eingehen	_	MO	57
68	,	,	$,	,	_	--	67
69	so	so	ADV	so	_	MO	70
70	faͤllt	fällt	VVFIN	fallen	sg|3|pres|ind	CJ	45
71	diese	diese	PDAT	dies	nom|sg|fem	NK	72
72	Verbindlichkeit	Verbindlichkeit	NN	Verbindlichkeit	nom|sg|fem	SB	70
73	des	des	ART	d	gen|sg|masc	NK	74
74	Vaters	Vaters	NN	Vater	gen|sg|masc	AG	72
75	weg	weg	PTKVZ	weg	_	SVP	70
76	.	.	SENT	.	_	--	75

1	(	(	$(	(	_	--	2
2	*	*	$*	*	_	--	0
3	)	)	$)	)	_	--	2
4	Giebt	Gibt	VVFIN	geben	sg|3|pres|ind	--	0
5	ein	ein	ART	ein	nom|sg|masc	NK	6
6	Vater	Vater	NN	Vater	nom|sg|masc	SB	4
7	seiner	seiner	PPOSAT	sein	gen|sg|fem	NK	8
8	Tochter	Tochter	NN	Tochter	gen|sg|fem	AG	6
9	,	,	$,	,	_	--	8
10	welche	welche	PRELS	welch	acc|sg|fem	SB	13
11	selbst	selbst	PRF	selbst	_	MO	13
12	Vermoͤgen	Vermögen	NN	Vermögen	acc|pl|*	OA	13
13	hat	hat	VAFIN	haben	sg|3|pres|ind	RC	8
14	,	,	$,	,	_	--	13
15	dennoch	dennoch	ADV	dennoch	_	MO	4
16	eine	eine	ART	ein	acc|sg|fem	NK	17
17	Mitgift	Mitgift	NN	Mitgift	acc|sg|fem	OA	4
18	,	,	$,	,	_	--	17
19	und	und	KON	und	_	CD	4
20	erklaͤrt	erklärt	VVFIN	erklären	sg|3|pres|ind	CJ	19
21	sich	sich	PRF	er|es|sie	acc|sg|3	OA	20
22	nicht	nicht	PTKNEG	nicht	_	NG	20
23	dabey	dabei	PAV	dabei	_	MO	20
24	ausdruͤcklich	ausdrücklich	ADJD	ausdrücklich	pos	MO	20
25	,	,	$,	,	_	--	24
26	daß	daß	KOUS	daß	_	CP	32
27	er	er	PPER	er	nom|sg|masc|3	SB	32
28	solche	solche	PIS	solch	acc|pl|fem	OA	32
29	von	von	APPR	von	_	PG	28
30	dem	dem	ART	d	dat|sg|masc	NK	31
31	ihrigen	ihrigen	PPOSS	ihrige	dat|sg|masc	NK	29
32	gebe	gebe	VVFIN	geben	sg|3|pres|subj	RE	34
33	,	,	$,	,	_	--	32
34	so	so	ADV	so	_	MO	36
35	wird	wird	VAFIN	werden	sg|3|pres|ind	CJ	20
36	angenommen	angenommen	VVPP	annehmen	_	OC	35
37	,	,	$,	,	_	--	36
38	daß	daß	KOUS	daß	_	CP	44
39	er	er	PPER	er	nom|sg|masc|3	SB	44
40	sie	sie	PPER	Sie	acc|pl|*|3	OA	44
41	von	von	APPR	von	_	MO	44
42	seinen	seinen	PPOSAT	sein	dat|pl|neut	NK	43
43	Guͤthern	Gütern	NN	Gut	dat|pl|neut	NK	41
44	ausstatte	ausstatte	VVINF	ausstatte	sg|3|past|ind	SB	35
45	.	.	SENT	.	_	--	44

1	(	(	$(	(	_	--	2
2	*	*	$*	*	_	--	0
3	)	)	$)	)	_	--	2
4	Noch	Noch	ADV	noch	_	MO	6
5	ein	ein	ART	ein	nom|sg|masc	NK	6
6	Fall	Fall	NN	Fall	nom|sg|masc	PD	7
7	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
8	dieser	dieser	PDS	dies	nom|sg|masc	SB	7
9	:	:	SENT	:	_	--	8

1	wenn	wenn	KOUS	wenn	_	CP	8
2	der	der	ART	d	nom|sg|masc	NK	3
3	Tochter	Tochter	NN	Tochter	dat|sg|fem	DA	9
4	oder	oder	KON	oder	_	CD	3
5	dem	dem	ART	d	dat|sg|neut	NK	6
6	Schwiegersohne	Schwiegersohne	NN	Schwiegersohne	nom|sg|fem	CJ	4
7	keine	keine	PIAT	kein	nom|sg|fem	NK	8
8	Mitgabe	Mitgabe	NN	Mitgabe	nom|sg|fem	CJ	14
9	versprochen	versprochen	VVPP	versprechen	_	OC	10
10	worden	worden	VAPP	werden	_	OC	8
11	,	,	$,	,	_	--	10
12	indem	indem	KOUS	indem	_	CP	14
13	angenommen	angenommen	VVPP	annehmen	_	OC	14
14	wird	wird	VAFIN	werden	sg|3|pres|ind	--	0
15	,	,	$,	,	_	--	14
16	daß	daß	KOUS	daß	_	CP	21
17	beyde	beide	PIS	beide	nom|pl|masc	SB	21
18	sich	sich	PRF	er|es|sie	acc|pl|3	OA	21
19	stillschweigend	stillschweigend	ADJD	stillschweigend	pos	MO	21
20	derselben	derselben	PDS	derselbe	dat|sg|fem	DA	9
21	begeben	begeben	VVINF	begeben	_	SB	14
22	.	.	SENT	.	_	--	21

1	Ein	Ein	ART	ein	nom|sg|masc	NK	3
2	unversehener	unversehener	ADJA	unversehener	nom|sg|masc|pos	NK	3
3	Todesfall	Todesfall	NN	Todesfall	nom|sg|masc	SB	4
4	hindert	hindert	VVFIN	hindern	sg|3|pres|ind	--	0
5	die	die	ART	d	acc|sg|fem	NK	6
6	Erlangung	Erlangung	NN	Erlangung	acc|sg|fem	OA	4
7	u.	u.	KON	und	_	MO	4
8	Beerbung	Beerbung	NN	Beerbung	acc|sg|fem	NK	7
9	der	der	ART	d	gen|sg|fem	NK	11
10	versprochenen	versprochenen	ADJA	versprochen	gen|sg|fem|pos	NK	11
11	Ausstattung	Ausstattung	NN	Ausstattung	gen|sg|fem	AG	8
12	nicht	nicht	PTKNEG	nicht	_	NG	4
13	.	.	SENT	.	_	--	12

1	Die	Die	ART	d	nom|sg|fem	NK	3
2	versprochene	versprochene	ADJA	versprochen	nom|sg|fem|pos	NK	3
3	Ausstattung	Ausstattung	NN	Ausstattung	nom|sg|fem	SB	4
4	muß	muß	VMFIN	müssen	sg|3|pres|ind	--	0
5	gegeben	gegeben	VVPP	geben	_	OC	6
6	werden	werden	VAINF	werden	_	OC	4
7	,	,	$,	,	_	--	6
8	wenn	wenn	KOUS	wenn	_	CP	16
9	gleich	gleich	ADV	gleich	_	MO	16
10	ein	ein	ART	ein	nom|sg|masc	NK	14
11	vorher	vorher	ADV	vorher	_	MO	13
12	nicht	nicht	PTKNEG	nicht	_	NG	13
13	bedachter	bedachter	ADJA	bedachter	nom|sg|masc|pos	NK	14
14	Todesfall	Todesfall	NN	Todesfall	nom|sg|masc	SB	16
15	darzwischen	Dazwischen	PAV	dazwischen	_	MO	16
16	koͤmmt	kommt	VVFIN	kommen	sg|3|pres|ind	MO	4
17	,	,	$,	,	_	--	16
18	z.	z.	APPRART	zum	dat|sg|neut	MO	21
19	B.	B.	NN	Beispiel	dat|sg|neut	NK	18
20	die	die	ART	d	nom|pl|masc	NK	21
21	Tochter	Tochter	NN	Tochter	nom|sg|fem	SB	34
22	bald	bald	ADV	bald	_	MO	23
23	nach	nach	APPR	nach	_	MO	34
24	der	der	ART	d	dat|sg|fem	NK	25
25	Verehligung	Verehligung	NN	Verehligung	dat|sg|fem	NK	23
26	vor	vor	APPR	vor	_	MO	34
27	der	der	ART	d	dat|sg|fem	NK	28
28	Auszahlung	Auszahlung	NN	Auszahlung	dat|sg|fem	NK	26
29	des	des	ART	d	gen|sg|masc	NK	31
30	versprochenen	versprochenen	ADJA	versprochen	gen|sg|neut|pos	NK	31
31	Capitals	Kapitals	NN	Kapital	gen|sg|neut	AG	28
32	zur	zur	APPRART	zur	dat|sg|fem	MO	34
33	Ausstattung	Ausstattung	NN	Ausstattung	dat|sg|fem	NK	32
34	verstirbt	verstirbt	VVFIN	verstirbt	sg|3|pres|ind	CJ	4
35	,	,	$,	,	_	--	34
36	und	und	KON	und	_	CD	34
37	wenn	wenn	KOUS	wenn	_	CP	45
38	es	es	PPER	es	nom|sg|neut|3	SB	45
39	den	den	ART	d	acc|sg|masc	NK	41
40	dritten	dritten	ADJA	dritt	acc|sg|masc|pos	NK	41
41	Tag	Tag	NN	Tag	acc|sg|masc	OA	45
42	nach	nach	APPR	nach	_	MNR	41
43	der	der	ART	d	dat|sg|fem	NK	44
44	Hochzeit	Hochzeit	NN	Hochzeit	dat|sg|fem	NK	42
45	geschehen	geschehen	VVPP	geschehen	_	CJ	36
46	,	,	$,	,	_	--	45
47	wenn	wenn	KOUS	wenn	_	CP	50
48	nur	nur	ADV	nur	_	MO	50
49	das	das	ART	d	nom|sg|neut	NK	50
50	Ehebette	Ehebette	NN	Ehebette	nom|sg|neut	MO	45
51	bestritten	bestritten	VVPP	bestreiten	_	OC	52
52	worden	worden	VAPP	werden	_	OC	50
53	.	.	SENT	.	_	--	52

1	Im	Im	APPRART	im	dat|sg|neut	MO	3
2	uͤbrigen	übrigen	ADJA	übrig	dat|sg|neut|pos	NK	1
3	kann	kann	VMFIN	können	sg|3|pres|ind	--	0
4	die	die	ART	d	nom|sg|fem	NK	5
5	Ausstattung	Ausstattung	NN	Ausstattung	nom|sg|fem	SB	3
6	in	in	APPR	in	_	MO	3
7	jeder	jeder	PIAT	jed	dat|sg|fem	NK	8
8	Art	Art	NN	Art	dat|sg|fem	NK	6
9	von	von	APPR	von	_	PG	8
10	Guͤtern	Gütern	NN	Gut	dat|pl|neut	NK	9
11	,	,	$,	,	_	--	10
12	sie	sie	PPER	Sie	nom|pl|*|3	SB	3
13	seyn	sein	VAFIN	sein	acc|sg|neut	NK	23
14	beweglich	beweglich	ADJD	beweglich	pos	MO	24
15	oder	oder	KON	oder	_	CD	14
16	unbeweglich	unbeweglich	ADJD	unbeweglich	pos	CJ	15
17	,	,	$,	,	_	--	16
18	an	an	APPR	an	_	MO	24
19	baaren	baren	ADJA	baren	dat|sg|fem|pos	NK	20
20	Gelde	Gelde	NN	Geld	dat|sg|fem	NK	18
21	oder	oder	KON	oder	_	CD	20
22	außenstehenden	außenstehenden	ADJA	außenstehend	nom|pl|fem|pos	NK	23
23	Schulden	Schulden	NN	Schuld	nom|pl|fem	CJ	21
24	gegeben	gegeben	VVPP	geben	_	OC	25
25	werden	werden	VAINF	werden	_	OC	3
26	.	.	SENT	.	_	--	25

1	Eine	Eine	ART	ein	nom|sg|fem	NK	2
2	Frau	Frau	NN	Frau	nom|sg|fem	SB	3
3	kann	kann	VMFIN	können	sg|3|pres|ind	--	0
4	wegen	wegen	APPR	wegen	_	MO	3
5	ihres	ihres	PPOSAT	ihr	gen|sg|masc	NK	6
6	Eingebrachten	Eingebrachten	NN	Eingebrachten	gen|pl|fem	NK	4
7	oder	oder	KON	oder	_	CD	6
8	Mitgift	Mitgift	NN	Mitgift	gen|sg|fem	CJ	7
9	,	,	$,	,	_	--	8
10	um	um	APPR	um	_	CP	16
11	solches	solches	PIAT	solch	acc|sg|neut	NK	13
12	beduͤrftigen	bedürftigen	ADJA	bedürftig	gen|sg|neut|pos	NK	13
13	Falls	Falls	NN	Fall	gen|sg|masc	OA	14
14	bescheinigen	bescheinigen	VVINF	bescheinigen	_	OC	16
15	zu	zu	PTKZU	zu	_	PM	16
16	koͤnnen	können	VMINF	können	_	MO	3
17	nicht	nicht	PTKNEG	nicht	_	NG	3
18	vorsichtig	vorsichtig	ADJD	vorsichtig	pos	PD	20
19	genung	genug	ADV	genug	_	MO	18
20	seyn	sein	VAINF	sein	_	OC	3
21	.	.	SENT	.	_	--	20

1	Des	Des	ART	d	gen|sg|masc	NK	2
2	Mannes	Mannes	NN	Mann	gen|sg|masc	AG	3
3	Quittung	Quittung	NN	Quittung	nom|sg|fem	SB	5
4	daruͤber	darüber	PAV	darüber	_	MNR	3
5	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
6	hinlaͤnglich	hinlänglich	ADJD	hinlänglich	pos	PD	5
7	,	,	$,	,	_	--	6
8	wenn	wenn	KOUS	wenn	_	CP	19
9	sie	sie	PPER	Sie	nom|pl|masc|3	SB	19
10	nach	nach	APPR	nach	_	MO	19
11	seinem	seinem	PPOSAT	sein	dat|sg|masc	NK	12
12	Tode	Tode	NN	Tod	dat|sg|masc	NK	10
13	ihr	ihr	PPOSAT	ihr	acc|sg|neut	NK	14
