

1	XIV	XIV	CARD	XIV	_	--	0
2	.	.	SENT	.	_	--	1

1	Reichshofrathsthuͤrhuͤter	Reichshofrathsthürhüter	NE	Reichshofrathsthürhüter	nom|pl|masc	--	0
2	.	.	SENT	.	_	--	1

1	Zur	Zur	APPRART	zu	dat|sg|fem	MO	14
2	Bedienung	Bedienung	NN	Bedienung	dat|sg|fem	NK	1
3	des	des	ART	d	gen|sg|masc	NK	4
4	Praͤsidenten	Präsidenten	NN	Präsident	gen|sg|masc	AG	2
5	und	und	KON	und	_	CD	4
6	des	des	ART	d	gen|sg|masc	NK	7
7	Reichshofraths	Reichshofraths	NE	Reichshofraths	gen|sg|masc	CJ	5
8	in	in	APPR	in	_	MNR	7
9	gerichtlichen	gerichtlichen	ADJA	gerichtlichen	dat|pl|fem|pos	NK	10
10	Sachen	Sachen	NN	Sache	dat|pl|fem	NK	8
11	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
12	der	der	ART	d	nom|sg|masc	NK	13
13	Thuͤrhuͤter	Türhüter	NN	Türhüter	nom|sg|masc	SB	11
14	bestimmt	bestimmt	VVPP	bestimmen	_	PD	11
15	.	.	SENT	.	_	--	14

1	Er	Er	PPER	Er	nom|sg|masc|3	SB	2
2	wird	wird	VAFIN	werden	sg|3|pres|ind	--	0
3	vom	vom	APPRART	vom	dat|sg|masc	SBP	7
4	Praͤsidenten	Präsidenten	NN	Präsident	dat|sg|masc	NK	3
5	des	des	ART	d	gen|sg|neut	NK	6
6	Reichshofraths	Reichshofraths	NE	Reichshofraths	gen|sg|neut	AG	4
7	angenommen	angenommen	VVPP	annehmen	_	OC	2
8	,	,	$,	,	_	--	7
9	legt	legt	VVFIN	legen	sg|3|pres|ind	CJ	2
10	bei	bei	APPR	bei	_	MO	9
11	ihm	ihm	PPER	er	dat|sg|*|3	NK	10
12	allein	allein	ADV	allein	_	MO	20
13	seinen	seinen	PPOSAT	sein	acc|sg|masc	NK	14
14	Eid	Eid	NN	Eid	acc|sg|masc	OA	9
15	ab	ab	PTKVZ	ab	_	SVP	9
16	,	,	$,	,	_	--	15
17	und	und	KON	und	_	CD	9
18	muß	muß	VMFIN	müssen	sg|3|pres|ind	CJ	17
19	auch	auch	ADV	auch	_	MO	20
20	deswegen	deswegen	PAV	deswegen	_	MO	24
21	hauptsaͤchlich	hauptsächlich	ADJD	hauptsächlich	pos	MO	24
22	seinen	seinen	PPOSAT	sein	dat|pl|masc	NK	23
23	Befehlen	Befehlen	NN	Befehl	dat|pl|fem	DA	24
24	gehorchen	gehorchen	VVINF	gehorchen	_	OC	18
25	.	.	SENT	.	_	--	24

1	Es	Es	PPER	es	nom|sg|neut|3	SB	2
2	wird	wird	VAFIN	werden	sg|3|pres|ind	--	0
3	allezeit	allezeit	ADV	allezeit	_	MO	7
4	ein	ein	ART	ein	nom|sg|masc	NK	5
5	Mann	Mann	NN	Mann	nom|sg|masc	SB	2
6	dazu	dazu	PAV	dazu	_	MO	7
7	genommen	genommen	VVPP	nehmen	_	OC	2
8	,	,	$,	,	_	--	7
9	welcher	welcher	PRELS	welch	nom|sg|masc	OA	12
10	die	die	ART	d	acc|pl|neut	NK	11
11	Rechte	Rechte	NN	Recht	acc|pl|neut	SB	13
12	studirt	studiert	VVPP	studieren	_	OC	13
13	hat	hat	VAFIN	haben	sg|3|pres|ind	RE	6
14	,	,	$,	,	_	--	13
15	und	und	KON	und	_	CD	2
16	bisher	bisher	ADV	bisher	_	MO	17
17	war	war	VAFIN	sein	sg|3|past|ind	CJ	15
18	er	er	PPER	er	nom|sg|masc|3	SB	17
19	allezeit	allezeit	ADV	allezeit	_	MO	17
20	von	von	APPR	von	_	MO	17
21	katholischer	katholischer	ADJA	katholisch	dat|sg|fem|pos	NK	22
22	Religion	Religion	NN	Religion	dat|sg|fem	NK	20
23	.	.	SENT	.	_	--	22

1	Des	Des	ART	d	gen|sg|neut	NK	2
2	Thuͤrhuͤters	Thürhüters	NN	Thürhüters	gen|sg|*	SB	4
3	Amt	Amt	NN	Amt	nom|sg|neut	NK	2
4	besteht	besteht	VVFIN	bestehen	sg|3|pres|ind	--	0
5	in	in	APPR	in	_	MO	4
6	der	der	ART	d	dat|sg|fem	NK	7
7	Verwahrung	Verwahrung	NN	Verwahrung	dat|sg|fem	NK	5
8	iener	jener	PDAT	jen	gen|pl|neut	NK	9
9	Geheimnisse	Geheimnisse	NN	Geheimnis	gen|pl|neut	AG	7
10	,	,	$,	,	_	--	9
11	welche	welche	PRELS	welch	acc|pl|neut	OA	13
12	er	er	PPER	er	nom|sg|masc|3	SB	13
13	hoͤrt	hört	VVFIN	hören	sg|3|pres|ind	RC	9
14	,	,	$,	,	_	--	13
15	in	in	APPR	in	_	CJ	5
16	der	der	ART	d	dat|sg|fem	NK	17
17	Aufbewahrung	Aufbewahrung	NN	Aufbewahrung	dat|sg|fem	NK	15
18	der	der	ART	d	gen|sg|fem	NK	22
19	zur	zur	APPRART	zur	dat|sg|fem	MO	21
20	Reichshofrathsstube	Reichshofrathsstube	NN	Reichshofrathsstube	dat|sg|fem	NK	19
21	gehoͤrigen	gehörigen	ADJA	gehörig	gen|sg|masc|pos	NK	22
22	Sachen	Sachen	NN	Sache	gen|pl|fem	AG	17
23	,	,	$,	,	_	--	22
24	in	in	APPR	in	_	CJ	15
25	der	der	ART	d	dat|sg|fem	NK	26
26	Bewachung	Bewachung	NN	Bewachung	dat|sg|fem	NK	24
27	der	der	ART	d	gen|sg|fem	NK	28
28	Thuͤre	Türe	NN	Tür	gen|sg|fem	AG	26
29	,	,	$,	,	_	--	28
30	im	im	APPRART	im	dat|sg|neut	CJ	24
31	Verschliessen	Verschliessen	NN	Verschließen	dat|sg|neut	NK	30
32	und	und	KON	und	_	CD	31
33	Aufschliessen	Aufschliessen	NN	Aufschliessen	dat|sg|neut	CJ	32
34	derselben	derselben	PDS	derselbe	dat|sg|fem	SB	30
35	zur	zur	APPRART	zur	dat|sg|fem	MO	30
36	gehoͤrigen	gehörigen	ADJA	gehörig	dat|sg|fem|pos	NK	37
37	Zeit	Zeit	NN	Zeit	dat|sg|fem	NK	35
38	,	,	$,	,	_	--	37
39	in	in	APPR	in	_	CJ	30
40	der	der	ART	d	dat|sg|fem	NK	41
41	Obsorge	Obsorge	NN	Obsorge	dat|sg|fem	NK	39
42	,	,	$,	,	_	--	41
43	daß	daß	KOUS	daß	_	CP	53
44	waͤhrend	während	APPR	während	_	MO	53
45	der	der	ART	d	dat|sg|fem	NK	46
46	Session	Session	NN	Session	dat|sg|fem	NK	44
47	niemand	niemand	PIS	niemand	nom|sg|masc	OA	53
48	der	der	ART	d	gen|pl|masc	NK	49
49	Thuͤre	Türe	NN	Tür	gen|sg|fem	AG	47
50	,	,	$,	,	_	--	49
51	um	um	KOUI	um	_	CP	67
52	zu	zu	PTKZU	zu	_	PM	53
53	horchen	horchen	VVINF	horchen	_	MNR	37
54	,	,	$,	,	_	--	53
55	sich	sich	PRF	er|es|sie	acc|pl|3	OA	56
56	naͤhere	nähere	VVFIN	nähern	acc|sg|fem|comp	MNR	37
57	,	,	$,	,	_	--	56
58	in	in	APPR	in	_	CJ	30
59	der	der	ART	d	dat|sg|fem	NK	60
60	Schuldigkeit	Schuldigkeit	NN	Schuldigkeit	dat|sg|fem	NK	58
61	,	,	$,	,	_	--	60
62	den	den	ART	d	dat|pl|fem	NK	64
63	ankommenden	ankommenden	ADJA	ankommend	acc|sg|masc|pos	NK	64
64	Raͤthen	Räten	NN	Rat	dat|pl|fem	DA	67
65	dieselbe	dieselbe	PDS	derselbe	acc|sg|masc	OA	67
66	zu	zu	PTKZU	zu	_	PM	67
67	oͤfnen	öffnen	VVINF	öffnen	_	OC	60
68	,	,	$,	,	_	--	67
69	und	und	KON	und	_	CD	67
70	das	das	ART	d	acc|sg|neut	NK	71
71	Rathszimmer	Rathszimmer	NN	Rathszimmer	acc|sg|neut	OA	74
72	reinlich	reinlich	ADJD	reinlich	pos	MO	74
73	zu	zu	PTKZU	zu	_	PM	74
74	halten	halten	VVINF	halten	_	CJ	69
75	.	.	SENT	.	_	--	74

1	Aus	Aus	APPR	aus	_	MO	3
2	diesem	diesem	PDS	dies	dat|sg|masc	NK	1
3	darf	darf	VMFIN	dürfen	sg|3|pres|ind	--	0
4	er	er	PPER	er	nom|sg|masc|3	SB	3
5	niemanden	niemanden	PIS	niemand	acc|sg|masc	DA	7
6	etwas	etwas	ADV	etwas	*|*|neut	OA	7
7	kommuniciren	kommunizieren	VVINF	kommunizieren	_	OC	3
8	.	.	SENT	.	_	--	7

1	Er	Er	PPER	Er	nom|sg|masc|3	SB	2
2	sorgt	sorgt	VVFIN	sorgen	sg|3|pres|ind	--	0
3	fuͤr	für	APPR	für	_	OP	2
4	Tinte	Tinte	NN	Tinte	acc|sg|fem	NK	3
5	,	,	$,	,	_	--	4
6	Papier	Papier	NN	Papier	dat|sg|neut	CJ	4
7	und	und	KON	und	_	CD	6
8	Federn	Federn	NN	Feder	dat|pl|neut	CJ	7
9	auf	auf	APPR	auf	_	OP	2
10	der	der	ART	d	dat|sg|fem	NK	11
11	Reichshofrathstafel	Reichshofrathstafel	NN	Reichshofrathstafel	dat|sg|fem	NK	9
12	,	,	$,	,	_	--	11
13	und	und	KON	und	_	CD	2
14	legt	legt	VVFIN	legen	sg|3|pres|ind	CJ	13
15	vor	vor	APPR	vor	_	MO	14
16	ieder	jeder	PIAT	jed	dat|sg|fem	NK	17
17	Sitzung	Sitzung	NN	Sitzung	dat|sg|fem	NK	15
18	dem	dem	ART	d	dat|sg|masc	NK	19
19	Praͤsidenten	Präsidenten	NN	Präsident	dat|sg|masc	DA	14
20	den	den	ART	d	acc|sg|masc	NK	25
21	auf	auf	APPR	auf	_	MO	24
22	ein	ein	ART	ein	acc|sg|neut	NK	23
23	Papier	Papier	NN	Papier	acc|sg|neut	NK	21
24	geschriebenen	geschriebenen	ADJA	geschrieben	dat|sg|masc|pos	NK	25
25	Monatstag	Monatstag	NN	Monatstag	dat|sg|masc	OA	14
26	auf	auf	APPR	auf	_	MO	14
27	sein	sein	PPOSAT	sein	acc|sg|neut	NK	28
28	Schreibzeug	Schreibzeug	NN	Schreibzeug	acc|sg|neut	NK	26
29	.	.	SENT	.	_	--	28

1	Wenn	Wenn	KOUS	wenn	_	CP	21
2	der	der	ART	d	nom|sg|masc	NK	3
3	Praͤsident	Präsident	NN	Präsident	nom|sg|masc	SB	21
4	an	an	APPR	an	_	MNR	3
5	einem	einem	ART	ein	dat|sg|masc	NK	7
6	gewoͤhnlichen	gewöhnlichen	ADJA	gewöhnlich	dat|sg|masc|pos	NK	7
7	Rathstage	Rathstage	NN	Rathstage	dat|sg|masc	NK	4
8	keinen	keinen	PIAT	kein	acc|sg|masc	NK	9
9	Rath	Rat	NN	Rat	acc|sg|masc	OA	6
10	,	,	$,	,	_	--	9
11	oder	oder	KON	oder	_	CD	4
12	wegen	wegen	APPR	wegen	_	CJ	11
13	eines	eines	ART	ein	gen|sg|masc	NK	15
14	eingefallenen	eingefallenen	ADJA	eingefallenen	gen|sg|masc|pos	NK	15
15	Feiertags	Feiertags	NN	Feiertags	gen|sg|masc	NK	12
16	an	an	APPR	an	_	MNR	15
17	einem	einem	ART	ein	dat|sg|neut	NK	19
18	ungewoͤhnlichen	ungewöhnlichen	ADJA	ungewöhnlich	dat|sg|masc|pos	NK	19
19	Tage	Tage	NN	Tag	dat|sg|masc	NK	16
20	Rath	Rat	NN	Rat	dat|sg|masc	NK	19
21	laͤßt	läßt	VVFIN	lassen	sg|3|pres|ind	RE	24
22	halten	halten	VVINF	halten	_	OC	21
23	,	,	$,	,	_	--	22
24	so	so	ADV	so	_	MO	25
25	schreibt	schreibt	VVFIN	schreiben	sg|3|pres|ind	--	0
26	der	der	ART	d	nom|sg|masc	NK	27
27	Thuͤrhuͤter	Türhüter	NN	Türhüter	nom|sg|masc	SB	25
28	des	des	ART	d	gen|sg|masc	NK	29
29	Praͤsidenten	Präsidenten	NN	Präsident	gen|sg|masc	AG	27
30	Befehl	Befehl	NN	Befehl	nom|sg|masc	NK	29
31	auf	auf	APPR	auf	_	MO	25
32	ein	ein	ART	ein	acc|sg|neut	NK	33
33	Papier	Papier	NN	Papier	acc|sg|neut	NK	31
34	,	,	$,	,	_	--	33
35	und	und	KON	und	_	CD	25
36	heftet	heftet	VVFIN	heftet	sg|3|pres|ind	CJ	35
37	es	es	PPER	es	nom|sg|neut|3	OA	36
38	an	an	APPR	an	_	MO	36
39	die	die	ART	d	acc|sg|fem	NK	40
40	Reichshofrathsthuͤre	Reichshofrathsthüre	NN	Reichshofrathsthüre	acc|sg|fem	NK	38
41	,	,	$,	,	_	--	40
42	den	den	ART	d	acc|sg|masc	NK	43
43	Reichshofraͤthen	Reichshofräthen	NN	Reichshofräthen	acc|sg|masc	OA	36
44	zur	zur	APPRART	zur	dat|sg|fem	MNR	43
45	Nachricht	Nachricht	NN	Nachricht	dat|sg|fem	NK	44
46	.	.	SENT	.	_	--	45

1	Sein	Sein	PPOSAT	Sein	nom|sg|masc	NK	2
2	Auffenthalt	Aufenthalt	NN	Aufenthalt	nom|sg|masc	SB	6
3	unter	unter	APPR	unter	_	MNR	2
4	der	der	ART	d	dat|sg|fem	NK	5
5	Rathssitzung	Rathssitzung	NN	Rathssitzung	dat|sg|fem	NK	3
6	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
7	in	in	APPR	in	_	MO	6
8	der	der	ART	d	dat|sg|fem	NK	13
9	an	an	APPR	an	_	MO	12
10	das	das	ART	d	acc|sg|neut	NK	11
11	Reichshofrathszimmer	Reichshofrathszimmer	NN	Reichshofrathszimmer	acc|sg|neut	NK	9
12	anstossenden	anstoßenden	ADJA	anstoßenden	acc|pl|masc|pos	NK	13
13	Agentenstube	Agentenstube	NN	Agentenstube	acc|pl|masc	NK	7
14	.	.	SENT	.	_	--	13

1	In	In	APPR	in	_	MO	3
2	dieser	dieser	PDAT	dies	dat|sg|fem	NK	1
3	hat	hat	VAFIN	haben	sg|3|pres|ind	--	0
4	er	er	PPER	er	nom|sg|masc|3	SB	3
5	einen	einen	ART	ein	acc|sg|masc	NK	11
6	mit	mit	APPR	mit	_	MO	10
7	einem	einem	ART	ein	dat|sg|neut	NK	9
8	bretternen	Brettternen	ADJA	Brettternen	dat|sg|masc|pos	NK	9
9	Verschlage	Verschlage	NN	Verschlage	dat|sg|neut	NK	6
10	umgebenen	umgebenen	ADJA	umgebenen	dat|sg|masc|pos	NK	11
11	Schreibtisch	Schreibtisch	NN	Schreibtisch	dat|sg|masc	OA	3
12	zu	zu	APPR	zu	_	MNR	11
13	seinen	seinen	PPOSAT	sein	dat|pl|fem	NK	14
14	Ausfertigungen	Ausfertigungen	NN	Ausfertigungen	dat|pl|fem	NK	12
15	.	.	SENT	.	_	--	14

1	In	In	APPR	in	_	MO	4
2	dieser	dieser	PDAT	dies	dat|sg|fem	NK	3
3	Agentenstube	Agentenstube	NN	Agentenstube	dat|sg|fem	NK	1
4	nimmt	nimmt	VVFIN	nehmen	sg|3|pres|ind	--	0
5	er	er	PPER	er	nom|sg|masc|3	SB	4
6	die	die	ART	d	acc|pl|masc	NK	13
7	zum	zum	APPRART	zum	dat|sg|neut	MO	12
8	Einreichen	Einreichen	NN	einreichen	dat|sg|neut	NK	7
9	in	in	APPR	in	_	MO	12
10	den	den	ART	d	acc|sg|masc	NK	11
11	Rath	Rat	NN	Rat	acc|sg|masc	NK	9
12	bestimmten	bestimmten	ADJA	bestimmt	dat|pl|fem|pos	NK	13
13	Schriften	Schriften	NN	Schrift	dat|pl|fem	OA	4
14	von	von	APPR	von	_	MNR	13
15	den	den	ART	d	dat|pl|fem	NK	16
16	Parteien	Parteien	NN	Partei	dat|pl|fem	NK	14
17	und	und	KON	und	_	CD	16
18	Agenten	Agenten	NN	Agent	dat|pl|masc	CJ	17
19	an	an	PTKVZ	an	_	SVP	4
20	,	,	$,	,	_	--	19
21	traͤgt	trägt	VVFIN	tragen	sg|3|pres|ind	CJ	4
22	sie	sie	PPER	Sie	nom|sg|fem|3	SB	21
23	in	in	APPR	in	_	MO	21
24	das	das	ART	d	acc|sg|neut	NK	25
25	Rathszimmer	Rathszimmer	NN	Rathszimmer	acc|sg|neut	NK	23
26	,	,	$,	,	_	--	25
27	und	und	KON	und	_	CD	21
28	uͤberreicht	überreicht	VVPP	überreichen	sg|3|pres|ind	CJ	27
29	sie	sie	PPER	Sie	nom|sg|fem|3	OA	28
30	dem	dem	ART	d	dat|sg|masc	NK	31
31	Praͤsidenten	Präsidenten	NN	Präsident	dat|sg|masc	DA	28
32	.	.	SENT	.	_	--	31

1	Sieht	Sieht	VVFIN	sehen	sg|3|pres|ind	RE	9
2	er	er	PPER	er	nom|sg|masc|3	SB	1
3	auf	auf	APPR	auf	_	MO	1
4	dem	dem	ART	d	dat|sg|neut	NK	5
5	Rubrum	Rubrum	NN	Rubrum	dat|sg|neut	NK	3
6	einen	einen	ART	ein	acc|sg|masc	NK	7
7	Fehler	Fehler	NN	Fehler	acc|sg|masc	OA	1
8	,	,	$,	,	_	--	7
9	so	so	ADV	so	_	MO	10
10	macht	macht	VVFIN	machen	sg|3|pres|ind	--	0
11	er	er	PPER	er	nom|sg|masc|3	SB	10
12	dem	dem	ART	d	dat|sg|masc	NK	13
13	Ueberbringer	Überbringer	NN	Überbringer	dat|sg|masc	DA	10
14	seine	seine	PPOSAT	sein	acc|sg|fem	NK	15
15	Anmerkung	Anmerkung	NN	Anmerkung	acc|sg|fem	OA	10
16	hieruͤber	hierüber	PAV	hierüber	_	MO	10
17	;	;	SENT	;	_	--	16

1	ist	ist	VAFIN	sein	sg|3|pres|ind	RE	12
2	aber	aber	ADV	aber	_	MO	9
3	ein	ein	ART	ein	nom|sg|masc	NK	4
4	Hauptfehler	Hauptfehler	NN	Hauptfehler	nom|sg|masc	SB	1
5	gegen	gegen	APPR	gegen	_	MNR	4
6	die	die	ART	d	acc|sg|fem	NK	8
7	aͤusserliche	äußerliche	ADJA	äußerlich	acc|sg|fem|pos	NK	8
8	Form	Form	NN	Form	acc|sg|fem	NK	5
9	begangen	begangen	VVPP	begehen	_	OC	10
10	worden	worden	VAPP	werden	_	OC	1
11	,	,	$,	,	_	--	10
12	so	so	ADV	so	_	MO	13
13	uͤberbringt	überbringt	VVFIN	überbringt	sg|3|pres|ind	--	0
14	er	er	PPER	er	nom|sg|masc|3	SB	13
15	die	die	ART	d	acc|sg|fem	NK	16
16	Schrift	Schrift	NN	Schrift	acc|sg|fem	OA	13
17	sogleich	sogleich	ADV	sogleich	_	MO	13
18	dem	dem	ART	d	dat|sg|masc	NK	19
19	Praͤsidenten	Präsidenten	NN	Präsident	dat|sg|masc	DA	13
20	,	,	$,	,	_	--	19
21	und	und	KON	und	_	CD	13
