

1	§.	§.	$(	§	nom|sg|*	--	0
2	17.	17.	CARD	@ord@	nom|sg|masc|pos	--	0

1	Beynahe	Beinahe	ADV	beinahe	_	MO	2
2	mit	mit	APPR	mit	_	MO	19
3	eben	eben	ADV	eben	_	MO	2
4	dem	dem	ART	d	dat|sg|masc	NK	5
5	Grund	Grund	NN	Grund	dat|sg|masc	NK	2
6	,	,	$,	,	_	--	5
7	mit	mit	APPR	mit	_	MO	17
8	welchem	welchem	PRELS	welch	dat|sg|masc	NK	7
9	man	man	PIS	man	nom|sg|*	SB	17
10	die	die	ART	d	acc|sg|fem	NK	11
11	Cameralwissenschaft	Cameralwissenschaft	NN	Kameralwissenschaft	acc|sg|fem	OA	17
12	als	als	KOKOM	als	_	MO	17
13	einen	einen	ART	ein	acc|sg|masc	NK	14
14	Theil	Teil	NN	Teil	acc|sg|masc	NK	12
15	der	der	ART	d	gen|sg|fem	NK	16
16	Polizeywissenschaft	Polizeywissenschaft	NN	Polizeywissenschaft	gen|sg|fem	AG	14
17	ansieht	ansieht	VVFIN	ansehen	sg|3|pres|ind	RC	5
18	,	,	$,	,	_	--	17
19	koͤnnte	könnte	VMFIN	können	sg|3|past|subj	--	0
20	man	man	PIS	man	nom|sg|*	SB	19
21	die	die	ART	d	acc|sg|fem	NK	23
22	ganze	ganze	ADJA	ganz	acc|sg|fem|pos	NK	23
23	Lehre	Lehre	NN	Lehre	acc|sg|fem	OA	32
24	von	von	APPR	von	_	MNR	23
25	der	der	ART	d	dat|sg|fem	NK	26
26	Landwirthschaft	Landwirtschaft	NN	Landwirtschaft	dat|sg|fem	NK	24
27	als	als	KOKOM	als	_	MO	32
28	einen	einen	ART	ein	acc|sg|masc	NK	29
29	Theil	Teil	NN	Teil	acc|sg|masc	NK	27
30	der	der	ART	d	gen|sg|fem	NK	31
31	Cameralwissenschaft	Cameralwissenschaft	NN	Kameralwissenschaft	gen|sg|fem	AG	29
32	behandeln	behandeln	VVINF	behandeln	_	OC	19
33	.	.	SENT	.	_	--	32

1	Es	Es	PPER	es	nom|sg|neut|3	SB	2
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	wahr	wahr	ADJD	wahr	pos	PD	2
4	,	,	$,	,	_	--	3
5	sie	sie	PPER	Sie	nom|sg|fem|3	SB	6
6	enthaͤlt	enthält	VVFIN	enthalten	sg|3|pres|ind	CJ	2
7	Kenntnisse	Kenntnisse	NN	Kenntnis	acc|pl|neut	OA	6
8	,	,	$,	,	_	--	7
9	die	die	PRELS	d	nom|sg|fem	SB	15
10	dem	dem	ART	d	dat|sg|masc	NK	11
11	Cameralisten	Cameralisten	NN	Cameralisten	dat|sg|masc	DA	12
12	nuͤzlich	nützlich	ADJD	nützlich	pos	PD	15
13	und	und	KON	und	_	CD	12
14	nothwendig	notwendig	ADJD	notwendig	pos	CJ	13
15	sind	sind	VAFIN	sein	pl|3|pres|ind	RC	7
16	.	.	SENT	.	_	--	15

1	Bey	Bei	APPR	bei	_	MO	22
2	der	der	ART	d	dat|sg|fem	NK	3
3	Benutzung	Benutzung	NN	Benutzung	dat|sg|fem	NK	1
4	der	der	ART	d	gen|pl|fem	NK	5
5	Domaͤnen	Domänen	NN	Domäne	gen|pl|fem	AG	3
6	z.	z.	APPRART	zum	dat|sg|fem	MO	15
7	E.	E.	NN	Exempel	acc|sg|neut	NK	6
8	welches	welches	PRELS	welch	acc|sg|neut	SB	54
9	wohl	wohl	ADV	wohl	_	MO	15
