

1	PNC	CAPVT.	FM	CAPVT.	abbr	CAPVT.	2
2	--	VI	CARD	VI	word	VI	0
3	--	.	SENT	.	punctuation	.	2

1	MO	Wie	PWAV	wie	word	Wie	12
2	NK	dieser	PDAT	dies	word	dieser	3
3	SB	Schneiders-Geselle	NN	Schneiders-Geselle	word	Schneiders-Geselle	12
4	MO	an	APPR	an	word	an	12
5	NK	diesem	PDAT	dies	word	diesem	7
6	NK	türkischen	NN	Türckische	word	Tuͤrckischen	7
7	NK	Hofe	NN	Hof	word	Hofe	4
8	NK	seine	PPOSAT	sein	word	seine	9
9	OA	Wurzel	NN	Wurzel	word	Wurtzel	12
10	MO	schändlicher	ADJA	schändlicher	word	schaͤndlicher	11
11	MO	weise	NN	Weise	word	weise	12
12	OC	verlieret	VVFIN	verlieret	word	verlieret	39
13	CD	und	KON	und	word	und	12
14	CJ	einbüßet	VVFIN	einbüßet	word	einbuͤsset	13
15	--	,	$,	,	punctuation	,	14
16	MO	darauf	PAV	darauf	word	darauf	26
17	SBP	von	APPR	von	word	von	26
18	NK	dem	ART	d	word	dem	20
19	NK	anderen	ADJA	ander	word	andern	20
20	NK	Hof-Bedienten	NN	Hof-Bedienten	word	Hof-Bedienten	17
21	MO	bei	APPR	bei	word	bey	26
22	NK	dem	ART	d	word	dem	23
23	NK	Kaiser	NN	Kaiser	word	Kayser	21
24	NK	unrechtmäßiger	ADJA	unrechtmäßiger	word	unrechtmaͤßiger	25
25	AG	Weise	NN	Weise	word	Weise	23
26	CJ	beschuldiget	VVPP	beschuldigen	word	beschuldiget	12
27	CD	und	KON	und	word	und	26
28	CJ	angeklagt	VVPP	anklagen	word	angeklaget	27
29	--	,	$,	,	punctuation	,	28
30	CD	und	KON	und	word	und	28
31	MO	endlich	ADV	endlich	word	endlich	36
32	MO	von	APPR	von	word	von	36
33	NK	diesem	PDAT	dies	word	diesem	34
34	NK	Hofe	NN	Hof	word	Hofe	32
35	AC	hinweg	ADV	hinweg	word	hinweg	32
36	CJ	gejagt	VVPP	jagen	word	gejaget	30
37	CD	und	KON	und	word	und	36
38	CJ	vertrieben	VVPP	vertreiben	word	vertrieben	37
39	--	wird	VAFIN	werden	word	wird	0
40	--	.	SENT	.	punctuation	.	39

1	NK	Eine	ART	ein	word	Eine	4
2	MO	überaus	ADV	überaus	word	uͤberaus	3
3	NK	große	ADJA	groß	word	grosse	4
4	OA	Freude	NN	Freude	word	Freude	7
5	CD	und	KON	und	word	und	4
6	CJ	Wohlgewogenheit	NN	Wohlgewogenheit	word	Wohlgewogenheit	5
7	--	bezeigte	VVFIN	bezeigte	word	bezeigete	0
8	NK	dieser	PDAT	dies	word	dieser	10
9	NK	türkische	ADJA	türkisch	word	Tuͤrckische	10
10	SB	Kaiser	NN	Kaiser	word	Kayser	7
11	OP	über	APPR	über	word	uͤber	7
12	NK	meine	PPOSAT	mein	word	meine	13
13	NK	Anherokunft	NN	Anherokunft	word	Anherokunft	11
14	--	,	$,	,	punctuation	,	13
15	CJ	wußte	VVFIN	wissen	word	wuste	7
16	MO	anbei	PAV	anbei	word	anbey	15
