

1	SIEBENTES	siebentes	ADJA	siebenter	acc|sg|neut|pos	NK	2
2	MANIPEL	Manipel	NN	Manipel	nom|sg|masc	--	0
3	.	.	SENT	.	_	--	2

1	Das	Das	ART	d	nom|sg|neut	NK	2
2	Vogelschießen	Vogelschießen	NN	Vogelschießen	nom|sg|neut	--	0
3	-	-	$.	-	_	--	2
4	das	das	ART	d	nom|sg|neut	NK	5
5	Schwenkschießen	Schwenkschießen	NN	Schwenkschießen	nom|sg|neut	APP	2
6	-	-	$.	-	_	--	5
7	Rosa's	Rosas	NE	Rosas	nom|sg|masc	PNC	8
8	Andreas-Kampagne	Andreas-Kampagne	NE	Andreas-Kampagne	gen|sg|fem	AG	10
9	-	-	$-	-	_	--	8
10	Betrachtungen	Betrachtungen	NN	Betrachtung	nom|pl|fem	PAR	2
11	uͤber	über	APPR	über	_	MNR	10
12	Fluͤche	Flüche	NN	Fluch	acc|pl|masc	NK	11
13	,	,	$,	,	_	--	12
14	Kuͤsse	Küsse	NN	Küsse	acc|pl|masc	CJ	12
15	,	,	$,	,	_	--	14
16	und	und	KON	und	_	CD	14
17	Landmilizen	Landmilizen	NN	Landmilizen	dat|pl|masc	CJ	16
18	.	.	SENT	.	_	--	17

1	Nichts	Nichts	PIS	nichts	*|*|neut	SB	2
2	thut	tut	VVFIN	tun	sg|3|pres|ind	--	0
3	mir	mir	PPER	ich	dat|sg|*|1	DA	2
4	bei	bei	APPR	bei	_	MO	2
5	dieser	dieser	PDAT	dies	dat|sg|fem	NK	9
6	an	an	APPR	an	_	MO	8
7	sich	sich	PRF	er|es|sie	dat|sg|fem	NK	6
8	schoͤnen	schönen	ADJA	schön	dat|sg|fem|pos	NK	9
9	Historie	Historie	NN	Historie	dat|sg|fem	NK	4
10	mehr	mehr	ADV	mehr	*|*|*	NK	11
11	Schaden	Schaden	NN	Schaden	acc|sg|masc	OA	2
12	,	,	$,	,	_	--	11
13	als	als	KOKOM	als	_	CM	17
14	daß	daß	KOUS	daß	_	CP	17
15	ich	ich	PPER	ich	nom|sg|*|1	SB	17
16	mir	mir	PPER	ich	dat|sg|*|1	DA	17
17	vorgenommen	vorgenommen	VVPP	vornehmen	_	CC	10
18	,	,	$,	,	_	--	17
19	sie	sie	PPER	Sie	acc|pl|fem|3	OA	23
20	in	in	APPR	in	_	MO	23
21	drei	drei	CARD	drei	_	NK	22
22	Alphabete	Alphabete	NN	Alphabete	acc|pl|neut	NK	20
23	zusammenzudraͤngen	zusammenzudrängen	VVFIN	zusammenzudrängen	_	OC	17
24	:	:	SENT	:	_	--	23

1	ich	ich	PPER	ich	nom|sg|*|1	SB	2
2	habe	habe	VAFIN	haben	sg|1|pres|ind	--	0
3	mir	mir	PPER	ich	dat|sg|*|1	DA	8
4	dadurch	dadurch	PAV	dadurch	_	MO	8
5	selber	selber	ADV	selber	_	MO	8
6	allen	allen	PIAT	all	acc|sg|masc	NK	7
