

1	Zweytes	Zweites	ADJA	zweiter	nom|sg|neut|pos	NK	2
2	Capitel	Kapitel	NN	Kapitel	nom|sg|neut	--	0
3	.	.	SENT	.	_	--	2

1	Hippias	Hippias	NE	Hippias	nom|sg|*	SB	2
2	stattet	stattet	VVFIN	statten	sg|3|pres|ind	--	0
3	einer	einer	ART	ein	dat|sg|fem	NK	4
4	Dame	Dame	NN	Dame	dat|sg|fem	DA	2
5	einen	einen	ART	ein	acc|sg|masc	NK	6
6	Besuch	Besuch	NN	Besuch	acc|sg|masc	OA	2
7	ab	ab	PTKVZ	ab	_	SVP	2
8	.	.	SENT	.	_	--	7

1	Die	Die	ART	d	nom|pl|*	NK	2
2	Damen	Damen	NN	Dame	nom|pl|fem	SB	5
3	zu	zu	APPR	zu	_	MNR	2
4	Smyrna	Smyrna	NE	Smyrna	dat|sg|neut	NK	3
5	hatten	hatten	VAFIN	haben	pl|3|past|ind	--	0
6	damals	damals	ADV	damals	_	MO	5
7	eine	eine	ART	ein	nom|sg|fem	NK	8
8	Gewohnheit	Gewohnheit	NN	Gewohnheit	nom|sg|fem	OA	5
9	,	,	$,	,	_	--	8
10	welche	welche	PRELS	welch	nom|sg|fem	SB	15
11	ihrer	ihrer	PPOSAT	ihr	dat|sg|fem	NK	12
12	Schoͤnheit	Schönheit	NN	Schönheit	dat|sg|fem	DA	15
13	mehr	mehr	ADV	mehr	*|*|*	NK	14
14	Ehre	Ehre	NN	Ehre	acc|sg|fem	OA	15
15	machte	machte	VVFIN	machen	sg|3|past|ind	RC	8
16	als	als	KOKOM	als	_	MO	15
17	ihrer	ihrer	PPOSAT	ihr	dat|sg|fem	NK	18
18	Sittsamkeit	Sittsamkeit	NN	Sittsamkeit	dat|sg|fem	NK	16
19	.	.	SENT	.	_	--	18

1	Sie	Sie	PPER	Sie	nom|pl|*|3	SB	2
2	pflegten	pflegten	VVFIN	pflegen	pl|3|past|ind	--	0
3	sich	sich	PRF	er|es|sie	acc|pl|3	OA	2
4	in	in	APPR	in	_	MO	2
5	den	den	ART	d	dat|pl|masc	NK	7
6	warmen	warmen	ADJA	warm	dat|pl|masc|pos	NK	7
7	Monaten	Monaten	NN	Monat	dat|pl|masc	NK	4
8	gemeiniglich	gemeiniglich	ADJD	gemeiniglich	pos	MO	2
9	alle	alle	PIAT	all	nom|pl|masc	NK	10
10	Nachmittage	Nachmittage	NN	Nachmittag	nom|pl|masc	OA	15
11	eines	eines	ART	ein	gen|sg|masc	NK	13
