

1	Es	Es	PPER	es	nom|sg|neut|3	EP	2
2	wird	wird	VAFIN	werden	sg|3|pres|ind	--	0
3	zum	zum	APPRART	zum	dat|sg|masc	MO	5
4	Verkauf	Verkauf	NN	Verkauf	dat|sg|masc	NK	3
5	angetragen	angetragen	VVPP	antragen	_	OC	2
6	:	:	SENT	:	_	--	5

1	1.	1.	CARD	@ord@	_	--	0

1	Jm	im	APPRART	im	dat|sg|neut	MO	7
2	Bericht-Haus	Bericht-Haus	NN	Bericht-Haus	dat|sg|neut	NK	1
3	in	in	APPR	in	_	MNR	2
4	Basel	Basel	NE	Basel	dat|sg|neut	NK	3
5	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
6	zu	zu	PTKZU	zu	_	PM	7
7	haben	haben	VAINF	haben	_	OC	5
8	:	:	SENT	:	_	--	7

1	Der	Der	ART	d	nom|sg|masc	NK	2
2	curieuse	curieuse	FM	curieuse	_	--	0
3	,	,	$,	,	_	--	2
4	und	und	KON	und	_	CD	2
5	in	in	APPR	in	_	MO	10
6	allen	allen	PIAT	all	dat|pl|fem	NK	8
7	noͤthigen	nötigen	ADJA	nötig	dat|pl|fem|pos	NK	8
8	Wissenschafften	Wissenschaften	NN	Wissenschaft	dat|pl|fem	NK	5
9	nuͤtzliche	nützliche	ADJA	nützlich	acc|pl|neut|pos	NK	10
10	Dollmetscher	Dolmetscher	NN	Dolmetscher	acc|pl|masc	CJ	4
11	,	,	$,	,	_	--	10
12	oder	oder	KON	oder	_	CD	10
13	allgemeines	allgemeines	ADJA	allgemein	nom|sg|neut|pos	NK	14
14	Zeitungs-Handbuch	Zeitungs-Handbuch	NN	Zeitungs-Handbuch	nom|sg|neut	CJ	12
15	;	;	SENT	;	_	--	14
16	in	in	APPR	in	_	APP	10
17	welchem	welchem	PRELAT	welch	dat|sg|neut	OA	60
18	die	die	ART	d	acc|pl|fem	NK	19
19	uͤblichsten	üblichsten	ADJA	üblichsten	dat|pl|*|sup	NK	16
20	,	,	$,	,	_	--	19
21	und	und	KON	und	_	CD	16
22	in	in	APPR	in	_	CJ	21
23	Lesung	Lesung	NN	Lesung	dat|sg|fem	NK	22
24	Politisch-Historisch-	Politisch-Historisch-	TRUNC	Politisch-Historisch-	_	CJ	25
25	und	und	KON	und	_	CD	22
26	in	in	APPR	in	_	CJ	25
27	der	der	ART	d	dat|sg|fem	NK	28
28	Conversation	Konversation	NN	Konversation	dat|sg|fem	NK	26
29	vorkommenden	vorkommenden	ADJA	vorkommend	gen|pl|masc|pos	NK	30
30	Philosophischen	Philosophischen	ADJA	Philosophische	gen|pl|masc	AG	28
31	,	,	$,	,	_	--	30
32	Mathematischen	Mathematischen	NN	Mathematischen	dat|pl|masc	CJ	30
33	,	,	$,	,	_	--	32
34	Juristischen	Juristischen	NN	Juristischen	dat|pl|*	CJ	32
35	,	,	$,	,	_	--	34
36	Physicalischen	physikalischen	ADJA	physikalisch	dat|pl|neut|pos	NK	38
37	,	,	$,	,	_	--	36
38	Medicinischen	Medicinischen	ADJA	Medicinischen	dat|pl|masc	CJ	34
39	und	und	KON	und	_	CD	26
40	zu	zu	PTKA	zu	_	CJ	39
41	andern	anderen	ADJA	ander	dat|pl|fem|pos	NK	42
42	Wissenschaften	Wissenschaften	NN	Wissenschaft	dat|pl|fem	NK	40
43	gehoͤrige	gehörige	ADJA	gehörig	nom|pl|masc|pos	NK	44
44	Kunst-Woͤrter	Kunst-Wörter	NN	Kunst-Wörter	nom|pl|masc	SB	49
45	und	und	KON	und	_	CD	44
46	uͤbrige	übrige	ADJA	übrig	nom|pl|fem|pos	NK	47
47	Redens-Arten	Redens-Arten	NN	Redens-Arten	nom|pl|fem	CJ	45
48	erklaͤret	erkläret	VVPP	erklären	_	PD	49
49	sind	sind	VAFIN	sein	pl|3|pres|ind	RC	42
50	,	,	$,	,	_	--	49
51	und	und	KON	und	_	CD	49
52	das	das	ART	d	acc|sg|neut	SB	53
53	noͤthige	nötige	ADJA	nötig	sg|3|pres|subj	CJ	51
54	aus	aus	APPR	aus	_	MO	53
55	fast	fast	ADV	fast	_	MO	56
56	allen	allen	PIAT	all	dat|pl|masc	NK	57
57	Theilen	Teilen	NN	Teil	dat|pl|masc	NK	54
58	der	der	ART	d	gen|sg|fem	NK	59
59	Gelehrtheit	Gelehrtheit	NN	Gelehrtheit	gen|sg|fem	AG	57
60	angefuͤhret	angeführt	VVPP	anführen	_	PD	49
61	,	,	$,	,	_	--	60
62	insonderheit	insonderheit	ADV	insonderheit	_	CP	70
63	die	die	ART	d	nom|sg|fem	NK	65
64	historische	historische	ADJA	historisch	nom|sg|fem|pos	NK	65
65	Geographie	Geographie	NN	Geographie	nom|sg|fem	SB	70
66	mit	mit	APPR	mit	_	MO	70
67	30.	30.	CARD	@ord@	dat|pl|fem|pos	NK	68
68	Landkarten	Landkarten	NN	Landkarte	dat|pl|fem	NK	66
69	ausfuͤhrlich	ausführlich	ADJD	ausführlich	pos	MO	70
70	erlaͤutert	erläutert	VVPP	erläutern	_	MO	60
71	,	,	$,	,	_	--	70
72	und	und	KON	und	_	CD	49
73	damit	damit	KOUS	damit	_	MO	78
74	allen	allen	PIAT	all	dat|pl|*	NK	75
75	Gelehrten	Gelehrten	NN	gelehrter	dat|pl|*	DA	78
76	und	und	KON	und	_	CD	75
77	Ungelehrten	Ungelehrten	NN	Ungelehrten	dat|pl|*	CJ	76
78	etc.	et cetera	NE	et_cetera	sg|3|pres|ind	CJ	72
79	eine	eine	ART	ein	acc|sg|fem	NK	83
80	noͤthige	nötige	ADJA	nötig	acc|sg|fem|pos	NK	83
