

1	Aus	Aus	APPR	aus	_	--	0
2	dem	dem	ART	d	dat|sg|neut	NK	3
3	Braunschweigischen	Braunschweigischen	NA	Braunschweigische	dat|sg|neut	NK	1
4	.	.	SENT	.	_	--	3

1	An	An	APPR	an	_	--	0
2	die	die	ART	d	acc|pl|fem	NK	4
3	lieben	lieben	ADJA	lieb	acc|pl|fem|pos	NK	4
4	Landleute	Landleute	NN	Landleute	nom|pl|*	NK	1
5	.	.	SENT	.	_	--	4

1	Meine	Meine	PPOSAT	mein	nom|pl|masc	NK	3
2	lieben	lieben	ADJA	lieb	nom|pl|masc|pos	NK	3
3	Freunde	Freunde	NN	Freund	nom|pl|masc	--	0
4	!	!	SENT	!	_	--	3

1	wir	wir	PPER	wir	nom|pl|*|1	SB	2
2	lesen	lesen	VVFIN	lesen	pl|1|pres|ind	--	0
3	manchmal	manchmal	ADV	manchmal	_	MO	2
4	die	die	ART	d	acc|sg|fem	NK	5
5	Zeitung	Zeitung	NN	Zeitung	acc|sg|fem	OA	2
6	,	,	$,	,	_	--	5
7	und	und	KON	und	_	CD	2
8	es	es	PPER	es	nom|sg|neut|3	SB	9
9	gefaͤllt	gefällt	VVFIN	gefallen	sg|3|pres|ind	CJ	7
10	uns	uns	PPER	wir	acc|pl|*|1	OA	9
11	vieles	vieles	PIS	viel	acc|sg|neut	OA	9
12	,	,	$,	,	_	--	11
13	was	was	PWREL	was	acc|sg|neut	OA	16
14	wir	wir	PPER	wir	nom|pl|*|1	SB	16
15	darin	darin	PAV	darin	_	MO	16
16	lesen	lesen	VVINF	lesen	pl|1|pres|ind	RC	11
17	.	.	SENT	.	_	--	16

1	Man	Man	PIS	man	nom|sg|*	SB	2
2	hoͤrt	hört	VVFIN	hören	sg|3|pres|ind	--	0
3	und	und	KON	und	_	CD	2
4	sieht	sieht	VVFIN	sehen	sg|3|pres|ind	CJ	3
5	denn	denn	ADV	denn	_	MO	4
6	doch	doch	ADV	doch	_	MO	4
7	,	,	$,	,	_	--	6
8	wie	wie	KOUS	wie	_	MO	13
9	es	es	PPER	es	nom|sg|neut|3	EP	16
10	in	in	APPR	in	_	MO	13
11	der	der	ART	d	dat|sg|fem	NK	12
12	Welt	Welt	NN	Welt	dat|sg|fem	NK	10
13	hergeht	hergeht	VVFIN	hergehen	sg|3|pres|ind	OC	4
14	,	,	$,	,	_	--	13
15	da	da	ADV	da	_	MO	16
16	giebt	gibt	VVFIN	geben	sg|3|pres|ind	CJ	4
17	es	es	PPER	es	nom|sg|neut|3	EP	16
18	Gutes	Gutes	NA	Gute	acc|sg|neut	OA	16
19	und	und	KON	und	_	CD	18
20	Boͤses	Böses	NA	Böse	acc|sg|neut	CJ	19
21	durch	durch	APPR	durch	_	MO	16
22	einander	einander	PRF	einander	_	NK	21
23	.	.	SENT	.	_	--	22

1	Dies	Dies	PDAT	dies	acc|sg|neut	NK	2
2	Lesen	Lesen	NN	Lesen	acc|sg|neut	SB	5
3	und	und	KON	und	_	CD	2
4	Wissen	Wissen	NN	Wissen	dat|sg|neut	CJ	3
5	hat	hat	VAFIN	haben	sg|3|pres|ind	--	0
6	sein	sein	PPOSAT	sein	acc|sg|neut	NK	7
7	Angenehmes	Angenehmes	NA	Angenehme	acc|sg|neut	OA	5
8	,	,	$,	,	_	--	7
9	auch	auch	ADV	auch	_	MO	11
10	sein	sein	PPOSAT	sein	acc|sg|neut	NK	11
11	Nuͤtzliches	Nützliches	NA	Nützliche	acc|sg|neut	CJ	7
12	,	,	$,	,	_	--	11
13	und	und	KON	und	_	CD	5
14	macht	macht	VVFIN	machen	sg|3|pres|ind	CJ	13
15	klug	klug	ADJD	klug	pos	MO	14
16	.	.	SENT	.	_	--	15

1	Deswegen	Deswegen	PAV	deswegen	_	MO	2
2	gefaͤllt	gefällt	VVFIN	gefallen	sg|3|pres|ind	--	0
3	mir	mir	PPER	ich	dat|sg|*|1	DA	2
4	unser	unser	PPOSAT	unser	nom|sg|masc	NK	5
5	Nachbar	Nachbar	NN	Nachbar	nom|sg|masc	SB	2
6	Heinrich	Heinrich	NE	Heinrich	nom|sg|masc	NK	5
7	,	,	$,	,	_	--	6

1	der	der	PRELS	d	nom|sg|masc	SB	11
2	lieset	liest	VVFIN	lesen	sg|3|pres|ind	MO	4
3	die	die	ART	d	acc|pl|fem	NK	4
4	Zeitungen	Zeitungen	NN	Zeitung	acc|pl|fem	CJ	11
5	,	,	$,	,	_	--	4
6	wo	wo	PWAVREL	wo	_	MO	8
7	er	er	PPER	er	nom|sg|masc|3	SB	8
8	ausspannt	ausspannt	VVFIN	ausspannen	sg|3|pres|ind	RC	4
9	,	,	$,	,	_	--	8
10	und	und	KON	und	_	JU	11
11	kann	kann	VMFIN	können	sg|3|pres|ind	--	0
12	mitsprechen	mitsprechen	VVINF	mitsprechen	_	OC	11
13	,	,	$,	,	_	--	12
14	und	und	KON	und	_	CD	11
15	ist	ist	VAFIN	sein	sg|3|pres|ind	CJ	14
16	kein	kein	PIAT	kein	nom|sg|masc	NK	18
17	dummer	dummer	ADJA	dumm	nom|sg|masc|pos	NK	18
18	Mann	Mann	NN	Mann	nom|sg|masc	PD	15
19	.	.	SENT	.	_	--	18

1	Wie	Wie	PWAV	wie	_	MO	2
2	oft	oft	ADV	oft	_	MO	3
3	lernt	lernt	VVFIN	lernen	sg|3|pres|ind	--	0
4	man	man	PIS	man	nom|sg|*	SB	3
5	auch	auch	ADV	auch	_	MO	6
6	was	was	PWS	was	*|*|neut	SB	15
7	aus	aus	APPR	aus	_	MNR	6
8	den	den	ART	d	dat|pl|fem	NK	9
9	Zeitungen	Zeitungen	NN	Zeitung	dat|pl|fem	NK	7
10	,	,	$,	,	_	--	9
11	das	das	PRELS	d	acc|sg|neut	OA	14
12	man	man	PIS	man	nom|sg|*	SB	14
13	wieder	wieder	ADV	wieder	_	MO	14
14	brauchen	brauchen	VVINF	brauchen	_	RC	6
15	kann	kann	VMFIN	können	sg|3|pres|ind	OC	3
16	in	in	APPR	in	_	MO	15
17	der	der	ART	d	dat|sg|fem	NK	18
18	Haushaltung	Haushaltung	NN	Haushaltung	dat|sg|fem	NK	16
19	,	,	$,	,	_	--	18
20	beym	beim	APPRART	beim	dat|sg|masc	CJ	16
21	Ackerbau	Ackerbau	NN	Ackerbau	dat|sg|masc	NK	20
22	,	,	$,	,	_	--	21
23	beym	beim	APPRART	beim	dat|sg|neut	CJ	20
24	Viehe	Viehe	NN	Vieh	dat|sg|neut	NK	23
25	,	,	$,	,	_	--	24
26	in	in	APPR	in	_	CJ	23
27	Kuͤche	Küche	NN	Küche	dat|sg|fem	NK	26
28	und	und	KON	und	_	CD	27
29	Keller	Keller	NN	Keller	dat|sg|masc	CJ	28
30	oder	oder	KON	oder	_	CD	20
31	sonsten	sonsten	ADV	sonst	_	MO	33
32	,	,	$,	,	_	--	31
33	davon	davon	PAV	davon	_	CJ	30
34	man	man	PIS	man	nom|sg|*	SB	37
35	reinen	reinen	ADJA	rein	acc|sg|masc|pos	NK	36
36	Profit	Profit	NN	Profit	acc|sg|masc	OA	37
37	hat	hat	VAFIN	haben	sg|3|pres|ind	RE	33
38	.	.	SENT	.	_	--	37

1	Darum	Darum	PAV	darum	_	MO	2
2	waͤre	wäre	VAFIN	sein	sg|3|past|subj	--	0
3	es	es	PPER	es	nom|sg|neut|3	SB	2
4	immer	immer	ADV	immer	_	MO	2
5	gut	gut	ADJD	gut	pos	PD	2
6	,	,	$,	,	_	--	5
7	wenn	wenn	KOUS	wenn	_	CP	13
8	wir	wir	PPER	wir	nom|pl|*|1	SB	13
9	die	die	ART	d	acc|pl|neut	NK	10
10	Zeitungen	Zeitungen	NN	Zeitung	nom|pl|fem	OA	13
11	nur	nur	ADV	nur	_	MO	12
12	oͤftrer	öftrer	ADV	oft	comp	MO	13
13	laͤsen	läsen	VVFIN	lesen	_	RE	3
14	.	.	SENT	.	_	--	13

1	Aber	Aber	KON	aber	_	JU	3
2	das	das	PDS	d	nom|sg|neut	SB	3
3	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
4	denn	denn	ADV	denn	_	MO	3
5	auch	auch	ADV	auch	_	MO	3
6	oft	oft	ADV	oft	_	MO	3
7	verzweifelt	verzweifelt	ADJD	verzweifelt	pos	MO	8
8	schwer	schwer	ADJD	schwer	pos	PD	3
9	.	.	SENT	.	_	--	8

1	Die	Die	ART	d	nom|pl|fem	NK	2
2	Zeitungen	Zeitungen	NN	Zeitung	nom|pl|fem	SB	3
3	sind	sind	VAFIN	sein	pl|3|pres|ind	--	0
4	so	so	ADV	so	_	MO	5
5	groß	groß	ADJD	groß	pos	PD	3
6	,	,	$,	,	_	--	5
7	so	so	ADV	so	_	MO	8
8	weitlaͤuftig	weitläufig	ADJD	weitläufig	pos	CJ	5
9	,	,	$,	,	_	--	8
10	oft	oft	ADV	oft	_	MO	13
11	ganze	ganze	ADJA	ganz	nom|pl|neut|pos	NK	12
12	Bogen	Bogen	NN	Bogen	_	AMS	13
13	lang	lang	ADJD	lang	pos	CJ	8
14	,	,	$,	,	_	--	13

1	da	da	ADV	da	_	MO	2
2	vergeht	vergeht	VVFIN	vergehen	sg|3|pres|ind	--	0
3	einem	einem	PIS	ein	dat|sg|masc	SB	2
4	die	die	ART	d	acc|sg|fem	NK	5
5	Geduld	Geduld	NN	Geduld	acc|sg|fem	OA	2
6	,	,	$,	,	_	--	5
7	und	und	KON	und	_	CD	2
8	unser	unser	PPOSAT	unser	nom|sg|masc	NK	9
9	einer	einer	PIS	ein	nom|sg|masc	SB	10
10	hat	hat	VAFIN	haben	sg|3|pres|ind	CJ	7
11	mehr	mehr	ADV	mehr	*|*|*	OA	13
12	zu	zu	PTKZU	zu	_	PM	13
13	thun	tun	VVINF	tun	_	OC	10
14	,	,	$,	,	_	--	13
15	als	als	KOKOM	als	_	CM	18
16	Zeitungen	Zeitungen	NN	Zeitung	nom|pl|fem	OA	18
17	zu	zu	PTKZU	zu	_	PM	18
18	lesen	lesen	VVINF	lesen	_	CC	11
19	:	:	SENT	:	_	--	18
20	Und	Und	KON	und	_	CD	10
21	hat	hat	VAFIN	haben	sg|3|pres|ind	CJ	20
22	man	man	PIS	man	nom|sg|*	SB	21
23	denn	denn	ADV	denn	_	MO	26
24	erst	erst	ADV	erst	_	MO	25
25	einmahl	einmal	ADV	einmal	_	MO	26
26	angefangen	angefangen	VVPP	anfangen	_	OC	21
27	,	,	$,	,	_	--	26
28	so	so	ADV	so	_	MO	29
29	will	will	VMFIN	wollen	sg|3|pres|ind	MO	26
30	man	man	PIS	man	nom|sg|*	SB	29
31	doch	doch	ADV	doch	_	MO	29
32	das	das	ART	d	acc|sg|neut	NK	33
33	Ende	Ende	NN	Ende	acc|sg|neut	OA	35
34	gern	gern	ADV	gern	_	MO	35
35	wissen	wissen	VVINF	wissen	_	OC	29
36	,	,	$,	,	_	--	35
37	und	und	KON	und	_	CD	21
38	das	das	PDS	d	acc|sg|neut	SB	39
39	erfordert	erfordert	VVFIN	erfordern	sg|3|pres|ind	CJ	37
40	Zeit	Zeit	NN	Zeit	acc|sg|fem	OA	39
41	;	;	SENT	;	_	--	40

1	ich	ich	PPER	ich	nom|sg|*|1	SB	2
2	weiß	weiß	VVFIN	wissen	sg|1|pres|ind	--	0
3	,	,	$,	,	_	--	2
4	wie	wie	KOUS	wie	_	MO	8
5	mir	mir	PPER	ich	dat|sg|*|1	DA	8
6	s	s	PPER	es	acc|sg|neut|3	DA	8
7	selbst	selbst	PRF	selbst	_	MNR	6
8	gehet	gehet	VVFIN	gehen	_	OC	2
9	.	.	SENT	.	_	--	8

1	Dann	Dann	ADV	dann	_	MO	2
2	steht	steht	VVFIN	stehen	sg|3|pres|ind	--	0
3	so	so	ADV	so	_	MO	4
4	viel	viel	ADV	viel	*|*|*	SB	2
5	von	von	APPR	von	_	PG	4
6	hohen	hohen	ADJA	hoch	dat|pl|neut|pos	NK	7
7	Dingen	Dingen	NN	Ding	dat|pl|neut	NK	5
8	darin	darin	PAV	darin	_	MO	2
9	,	,	$,	,	_	--	8
10	von	von	APPR	von	_	CJ	5
11	Kaysern	Kaisern	NN	Kaiser	dat|pl|masc	NK	10
12	und	und	KON	und	_	CD	11
13	Potentaten	Potentaten	NN	Potentat	dat|pl|neut	CJ	12
14	,	,	$,	,	_	--	13
15	von	von	APPR	von	_	CJ	10
16	Laͤndern	Ländern	NN	Land	dat|pl|neut	NK	15
17	und	und	KON	und	_	CD	16
18	Reichen	Reichen	NN	Reich	dat|pl|masc	CJ	17
19	,	,	$,	,	_	--	18
20	die	die	PRELS	d	acc|pl|*	OA	24
21	man	man	PIS	man	nom|sg|*	SB	24
22	nicht	nicht	PTKNEG	nicht	_	NG	23
23	alle	alle	PIS	all	nom|pl|*	SB	24
24	kennt	kennt	VVFIN	kennen	sg|3|pres|ind	RC	16
25	;	;	SENT	;	_	--	24
26	was	was	PWS	was	acc|sg|neut	OA	30
27	die	die	ART	d	nom|pl|masc	NK	28
28	Zeitungsschreiber	Zeitungsschreiber	NN	Zeitungsschreiber	nom|pl|masc	SB	30
29	politisch	politisch	ADJD	politisch	pos	MO	30
30	heissen	heißen	VVINF	heißen	pl|3|pres|ind	RE	8
31	.	.	SENT	.	_	--	30
32	Dann	Dann	ADV	dann	_	MO	36
33	wieder	wieder	ADV	wieder	_	MO	36
34	so	so	ADV	so	_	MO	35
35	was	was	PWS	was	nom|sg|neut	OA	36
36	hochgelahrtes	hochgelahrtes	NA	hochgelehrte	acc|sg|neut|pos	CJ	8
37	,	,	$,	,	_	--	36
38	das	das	KOUS	d	acc|sg|neut	OA	42
39	man	man	PIS	man	nom|sg|*	SB	42
40	gar	gar	ADV	gar	_	MO	41
41	nicht	nicht	PTKNEG	nicht	_	NG	42
42	versteht	versteht	VVFIN	verstehen	sg|3|pres|ind	RC	36
43	.	.	SENT	.	_	--	42

1	Dann	Dann	ADV	dann	_	MO	8
2	sind	sind	VAFIN	sein	pl|3|pres|ind	--	0
3	sie	sie	PPER	Sie	nom|pl|*|3	SB	2
4	so	so	ADV	so	_	MO	5
