

1	Woher	Woher	PWAV	woher	_	MO	4
2	dise	diese	PDAT	dies	nom|sg|fem	NK	3
3	Kranckheit	Krankheit	NN	Krankheit	acc|sg|fem	SB	4
4	entsprungen	entsprungen	VVPP	entspringen	_	MO	16
5	/	/	$,	/	_	--	4
6	vnd	und	KON	und	_	CD	4
7	was	was	PWS	was	acc|sg|neut	OA	16
8	dero	deren	PDAT	d	gen|sg|fem	AG	10
9	unterschidliche	unterschiedliche	ADJA	unterschiedlich	acc|sg|neut|pos	NK	10
10	Vrsachen	Ursachen	NN	Ursache	nom|sg|neut	PD	11
11	seyn	sein	VAINF	sein	_	CJ	6
12	/	/	$,	/	_	--	11
13	wird	wird	VAFIN	werden	sg|3|pres|ind	--	0
14	angefuͤgt	angefügt	VVPP	angefügt	_	OC	13
15	vnd	und	KON	und	_	CD	14
16	beschriben	beschrieben	VVPP	beschreiben	_	CJ	15
17	.	.	SENT	.	_	--	16

1	§.	§.	$(	§	_	NK	2
2	III	III	CARD	III	_	--	0
3	.	.	SENT	.	_	--	2

1	VOn	von	APPR	von	_	SBP	12
2	denen	denen	ART	d	dat|pl|fem	AG	3
3	Vrsachen	Ursachen	NN	Ursache	dat|pl|fem	NK	1
4	oder	oder	KON	oder	_	CD	3
5	Vrsprung	Vrsprung	NN	Vrsprung	dat|sg|fem	CJ	4
6	diser	dieser	PDAT	dies	gen|sg|fem	NK	8
7	boͤsen	bösen	ADJA	böse	gen|sg|fem|pos	NK	8
8	Sucht	Sucht	NN	Sucht	gen|sg|fem	AG	3
9	hierbey	hierbei	ADV	hierbei	_	MO	12
10	auch	auch	ADV	auch	_	MO	12
11	was	was	PWS	was	acc|sg|neut	OA	19
12	zumelden	zumelden	VVINF	zumelden	_	RE	14
13	/	/	$,	/	_	--	12
14	so	so	ADV	so	_	MO	19
15	werden	werden	VAFIN	werden	pl|3|pres|ind	--	0
16	deren	deren	PDAT	d	gen|sg|fem	AG	17
17	fuͤrnemblic	fürnemblic	NE	fürnemblic	_	SB	15
