

1	Das	Das	ART	d	nom|sg|neut	NK	3
2	IX.	IX.	CARD	IX.	nom|sg|neut|pos	NK	3
3	Capitel	Kapitel	NN	Kapitel	nom|sg|neut	--	0
4	.	.	SENT	.	_	--	3

1	Daß	Dass	KOUS	Dass	_	CP	22
2	das	das	ART	d	nom|sg|neut	NK	3
3	Feuer	Feuer	NN	Feuer	nom|sg|neut	SB	22
4	allein	allein	ADV	allein	_	MO	7
5	/	/	$,	/	_	--	4
6	das	das	PRELS	d	nom|sg|neut	NK	7
7	☉	☉	NE	☉	acc|sg|neut	SB	9
8	nicht	nicht	PTKNEG	nicht	_	NG	9
9	wuͤrde	würde	VAFIN	werden	sg|3|past|subj	OC	3
10	♎	♎	$(	♎	acc|sg|*	NK	11
11	iren	Iren	NN	Ire	acc|pl|fem	SB	12
12	koͤnnen	können	VMFIN	können	_	OC	9
13	/	/	$,	/	_	--	12
14	wann	wann	KOUS	wann	_	MO	21
15	ihm	ihm	PPER	er	dat|sg|masc|3	DA	21
16	nicht	nicht	PTKNEG	nicht	_	NG	21
17	durch	durch	APPR	durch	_	MO	21
18	den	den	ART	d	acc|sg|masc	NK	20
19	gemeinen	gemeinen	ADJA	gemein	acc|sg|masc|pos	NK	20
20	☿	☿	NE	Mercurius	acc|sg|masc	NK	17
21	geholffen	geholfen	VVPP	helfen	_	OC	22
22	wuͤrde	würde	VAFIN	werden	sg|3|past|subj	--	0
23	.	.	SENT	.	_	--	22

1	DAs	DAs	ART	d	*|*|*	PNC	2
2	☉	☉	NE	☉	nom|sg|*	SB	3
3	hat	hat	VAFIN	haben	sg|3|pres|ind	--	0
4	eine	eine	ART	ein	acc|sg|fem	NK	9
5	so	so	ADV	so	_	MO	6
6	zaͤhe	zähe	ADJA	zähe	acc|sg|fem|pos	NK	9
7	und	und	KON	und	_	CD	6
8	leymechtige	leymechtige	ADJA	leymechtige	acc|sg|fem|pos	CJ	7
