

1	Angestellter	Angestellter	NN	angestellter	gen|pl|fem|pos	NK	2
2	Beobachtungen	Beobachtungen	NN	Beobachtung	gen|pl|fem	--	0
3	bey	bei	APPR	bei	_	MNR	2
4	dem	dem	ART	d	dat|sg|masc	NK	5
5	Polar-Zirkel	Polar-Zirkel	NN	Polar-Zirkel	dat|sg|masc	NK	3
6	Drittes	Drittes	ADJA	dritte	nom|sg|neut|pos	NK	7
7	Buch	Buch	NN	Buch	nom|sg|neut	NK	5
8	Messung	Messung	NN	Messung	nom|sg|fem	NK	7
9	der	der	ART	d	gen|sg|fem	NK	10
10	Schwehre	schwere	NN	Schwere	nom|sg|masc|pos	AG	8
11	bey	bei	APPR	bei	_	MNR	10
12	dem	dem	ART	d	dat|sg|masc	NK	13
13	Polar-Zirkel	Polar-Zirkel	NN	Polar-Zirkel	dat|sg|masc	NK	11
14	.	.	SENT	.	_	--	13

1	Erstes	Erstes	ADJA	erster	nom|sg|neut|pos	NK	2
2	Capitel	Kapitel	NN	Kapitel	nom|sg|neut	--	0
3	.	.	SENT	.	_	--	2

1	Ueber	Über	APPR	über	_	--	0
2	die	die	ART	d	acc|sg|fem	NK	3
3	Schwehre	Schwere	NN	Schwere	acc|sg|fem	NK	1
4	insgemein	insgemein	ADV	insgemein	_	MO	1
5	.	.	SENT	.	_	--	4

1	WAs	Was	PWS	was	nom|sg|neut	SB	9
2	immer	immer	ADV	immer	_	MO	9
3	,	,	$,	,	_	--	2
4	die	die	ART	d	nom|sg|fem	SB	9
5	Ursache	Ursache	NN	Ursache	nom|sg|fem	PD	8
6	der	der	ART	d	gen|sg|fem	NK	7
7	Schwehre	schwere	NN	Schwere	nom|sg|masc|pos	AG	5
8	seyn	sein	VAINF	sein	_	OC	9
9	mag	mag	VMFIN	mögen	sg|3|pres|ind	RE	11
10	,	,	$,	,	_	--	9
11	so	so	ADV	so	_	MO	12
12	kann	kann	VMFIN	können	sg|3|pres|ind	--	0
13	man	man	PIS	man	nom|sg|*	SB	12
14	sich	sich	PRF	er|es|sie	acc|sg|3	DA	24
15	dieselbe	dieselbe	PDS	derselbe	acc|sg|fem	NK	23
16	doch	doch	ADV	doch	_	MO	12
17	,	,	$,	,	_	--	16
18	als	als	KOKOM	als	_	MO	22
19	eine	eine	ART	ein	nom|sg|fem	NK	18
20	den	den	ART	d	dat|pl|masc	NK	21
21	Koͤrpern	Körpern	NN	Körper	dat|pl|masc	DA	18
22	anklebende	anklebende	ADJA	anklebende	acc|sg|fem|pos	NK	23
23	Kraft	Kraft	NN	Kraft	acc|sg|fem	OA	24
24	vorstellen	vorstellen	VVFIN	vorstellen	_	OC	12
25	,	,	$,	,	_	--	24
26	welche	welche	PRELS	welch	acc|pl|fem	OA	29
27	sie	sie	PPER	Sie	nom|pl|masc|3	SB	29
28	gleichsam	gleichsam	ADV	gleichsam	pos	MO	29
29	belebet	belebet	VVFIN	belebet	_	RC	23
30	,	,	$,	,	_	--	29
31	und	und	KON	und	_	CD	24
32	bleyrecht	bleyrecht	ADJD	bleyrecht	pos	MO	37
33	auf	auf	APPR	auf	_	MO	37
34	die	die	ART	d	acc|sg|fem	NK	35
35	Erde	Erde	NN	Erde	acc|sg|fem	NK	33
36	zu	zu	PTKZU	zu	_	PM	37
37	fallen	fallen	VVINF	fallen	_	CJ	31
38	,	,	$,	,	_	--	37
39	treibet	treibet	VVFIN	treiben	sg|3|pres|ind	RE	11
40	:	:	SENT	:	_	--	39

1	Vergleichet	Vergleichet	VVFIN	Vergleichet	sg|3|pres|ind	--	0
2	man	man	PIS	man	nom|sg|*	SB	1
3	die	die	ART	d	acc|pl|fem	NK	4
4	Wuͤrkungen	Wirkungen	NN	Wirkung	acc|pl|fem	OA	1
5	dieser	dieser	PDAT	dies	gen|sg|fem	NK	6
6	Kraft	Kraft	NN	Kraft	gen|sg|fem	AG	4
7	,	,	$,	,	_	--	6
8	wenn	wenn	KOUS	wenn	_	CP	17
9	sie	sie	PPER	Sie	nom|sg|fem|3	SB	17
10	einen	einen	ART	ein	acc|sg|masc	NK	11
11	Stein	Stein	NN	Stein	acc|sg|masc	OA	16
12	gegen	gegen	APPR	gegen	_	MNR	11
13	die	die	ART	d	acc|sg|fem	NK	14
14	Erde	Erde	NN	Erde	acc|sg|fem	NK	12
15	zu	zu	PTKZU	zu	_	PM	16
16	fallen	fallen	VVINF	fallen	_	OC	17
17	machet	macht	VVFIN	machen	sg|3|pres|ind	MO	1
18	,	,	$,	,	_	--	17
19	mit	mit	APPR	mit	_	MO	33
20	der	der	ART	d	dat|sg|fem	NK	21
21	Kraft	Kraft	NN	Kraft	dat|sg|fem	NK	19
22	,	,	$,	,	_	--	21
23	so	so	ADV	so	_	MO	24
24	erfordert	erfordert	VVPP	erfordern	sg|3|pres|ind	OC	25
25	wuͤrde	würde	VAFIN	werden	sg|3|past|subj	OC	21
26	,	,	$,	,	_	--	25
27	den	den	ART	d	acc|sg|masc	NK	28
28	Mond	Mond	NN	Mond	acc|sg|masc	OA	33
29	in	in	APPR	in	_	MO	33
30	seiner	seiner	PPOSAT	sein	dat|sg|fem	NK	31
31	Bahn	Bahn	NN	Bahn	dat|sg|fem	NK	29
32	zu	zu	PTKZU	zu	_	PM	33
33	erhalten	erhalten	VVINF	erhalten	_	OC	11
34	;	;	SENT	;	_	--	33

1	so	so	ADV	so	_	MO	2
2	findet	findet	VVFIN	finden	sg|3|pres|ind	--	0
3	man	man	PIS	man	nom|sg|*	SB	2
4	durch	durch	APPR	durch	_	MO	2
5	die	die	ART	d	acc|sg|fem	NK	6
6	Rechnung	Rechnung	NN	Rechnung	acc|sg|fem	NK	4
7	,	,	$,	,	_	--	6
8	daß	daß	KOUS	daß	_	CP	27
9	die	die	ART	d	nom|sg|fem	NK	10
10	Schwehre	schwere	NN	Schwere	nom|sg|fem|pos	SB	27
11	,	,	$,	,	_	--	10
12	die	die	PRELS	d	acc|pl|*	OA	18
13	wir	wir	PPER	wir	nom|pl|*|1	SB	18
14	hier	hier	ADV	hier	_	MO	18
15	auf	auf	APPR	auf	_	MO	18
16	unserer	unserer	PPOSAT	unser	dat|sg|fem	NK	17
17	Erde	Erde	NN	Erde	dat|sg|fem	NK	15
18	empfinden	empfinden	VVINF	empfinden	_	RC	10
19	,	,	$,	,	_	--	18
20	sich	sich	PRF	er|es|sie	acc|pl|3	OA	27
21	biß	bis	KON	bis	_	AC	22
22	in	in	APPR	in	_	MO	27
23	die	die	ART	d	acc|pl|fem	NK	24
24	Gegenden	Gegenden	NN	Gegend	acc|pl|*	NK	22
25	des	des	ART	d	gen|sg|masc	NK	26
26	Mondes	Mondes	NN	Mondes	gen|sg|masc	AG	24
27	erstrecket	erstrecket	VVPP	erstrecken	sg|3|pres|ind	OC	6
28	,	,	$,	,	_	--	27
29	und	und	KON	und	_	CD	6
30	daselbst	daselbst	ADV	daselbst	_	MO	32
31	seine	seine	PPOSAT	sein	acc|sg|fem	NK	32
