

1	USUS	USUS	FM	usus	nom|sg|*	SB	3
2	HIeran	hieran	PAV	hieran	_	MNR	17
3	mag	mag	VMFIN	mögen	sg|3|pres|ind	--	0
4	nun	nun	ADV	nun	_	MO	3
5	ein	ein	ART	ein	nom|sg|masc	NK	13
6	ieder	jeder	PIS	jed	nom|sg|masc	SB	7
7	sehen	sehen	VVINF	sehen	_	OC	3
8	und	und	KON	und	_	CD	7
9	erkennen	erkennen	VVINF	erkennen	_	OC	10
10	lernen	lernen	VVINF	lernen	_	CJ	8
11	/	/	$,	/	_	--	10
12	was	was	PWREL	was	nom|sg|neut	NK	13
13	Regieren	Regieren	VVINF	regieren	nom|sg|neut	SB	14
14	sey	sei	VAFIN	sein	sg|3|pres|subj	OC	9
15	/	/	$,	/	_	--	14
16	nemlich	nämlich	ADV	nämlich	_	MO	21
17	nichts	nichts	PIS	nichts	*|*|neut	OA	21
18	/	/	$,	/	_	--	17
19	als	als	KOUS	als	_	CM	20
20	andern	anderen	PIS	ander	nom|pl|*	CC	17
21	dienen	dienen	VVINF	dienen	_	OC	14
22	/	/	$,	/	_	--	21
23	und	und	KON	und	_	CD	21
24	unter	unter	APPR	unter	_	MO	30
25	Sorgen	Sorgen	NN	Sorge	acc|pl|fem	NK	24
26	/	/	$,	/	_	--	25
27	Muͤhe	Mühe	NN	Mühe	acc|sg|fem	CJ	25
28	und	und	KON	und	_	CD	27
29	Plagen	Plagen	NN	Plage	dat|pl|fem	CJ	28
30	stecken	stecken	VVINF	stecken	pl|3|pres|ind	CJ	23
31	.	.	SENT	.	_	--	30

1	Wenn	Wenn	KOUS	wenn	_	CP	5
2	Paulus	Paulus	NE	Paulus	nom|sg|*	SB	5
3	das	das	ART	d	acc|sg|neut	NK	4
4	Regieren	Regieren	NN	regieren	acc|sg|neut	OA	5
5	beschreibet	beschreibet	VVFIN	beschreiben	sg|3|pres|ind	RE	7
6	/	/	$,	/	_	--	5
7	so	so	ADV	so	_	MO	8
8	nennet	nennet	VVFIN	nennen	sg|3|pres|ind	--	0
9	ers	er	PPER	er	nom|sg|masc|3	SB	8
10	ein	ein	ART	ein	acc|sg|neut	NK	12
11	Sorgen-volles	Sorgen-volles	NN	Sorgen-volles	acc|sg|neut|pos	NK	12
12	Wesen	Wesen	NN	Wesen	acc|sg|neut	OA	8
13	:	:	SENT	:	_	--	12

1	Regieret	Regieret	VVFIN	regieren	nom|sg|neut	RE	2
2	jemand	jemand	PIS	jemand	nom|sg|masc	SB	5
