

1	Gesegneter	Gesegneter	NA	Gesegnete	nom|sg|masc|pos	NK	2
2	Mann	Mann	NN	Mann	nom|sg|masc	PD	4
3	Das	Das	PDS	d	nom|sg|neut	SB	4
4	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
5	:	:	SENT	:	_	--	4

1	Schuldige	Schuldige	NN	schuldige	nom|pl|masc|pos	NK	2
2	Lobrede	Lobrede	NE	Lobrede	nom|sg|fem	--	0
3	vber	über	APPR	über	_	MNR	2
4	deß	dessen	PDAT	d	gen|sg|masc	AG	6
5	glorwuͤrdigen	glorwürdigen	ADJA	glorwürdigen	dat|pl|fem|pos	NK	6
6	Patriarchen	Patriarchen	NN	Patriarch	dat|pl|fem	NK	3
7	vnd	und	KON	und	_	CD	6
8	Ordens-Stiffter	Ordens-Stiffter	NN	Ordens-Stiffter	dat|sg|fem	CJ	7
9	St.	St.	NE	St.	*|*|*	PNC	10
10	Benedicti	Benedicti	NE	Benedicti	nom|sg|*	NK	8
11	/	/	$,	/	_	--	10
12	Bey	Bei	APPR	bei	_	MO	16
13	vnser	unser	PPOSAT	unser	dat|pl|fem	NK	14
14	Frawen	Frauen	NN	Frau	dat|pl|fem	NK	12
15	Monserat	Monserrat	NN	Monserrat	nom|sg|masc	NK	14
16	gehalten	gehalten	VVPP	halten	_	PAR	8
17	den	den	ART	d	acc|sg|masc	NK	19
18	25.	25.	CARD	@ord@	acc|sg|masc|pos	NK	19
19	Martij	Martij	NN	Martii	acc|sg|masc	OA	16
20	.	.	SENT	.	_	--	19
21	Anno	Anno	FM	Annum	dat|sg|masc	PAR	19
22	1657.	1657.	CARD	@ord@	_	NK	21

1	Benedictus	Benedictus	NE	Benedictus	nom|sg|masc	PNC	2
2	Vir	Vir	NE	Vir	nom|sg|masc	--	0
3	,	,	$,	,	_	--	2
4	qui	qui	FM	qui	nom|sg|masc	PNC	5
5	confidit	confidit	FM	confidit	acc|sg|masc	--	0
6	in	in	APPR	in	_	MNR	5
7	Domino	Domino	NE	Domino	dat|sg|neut	NK	6
8	.	.	SENT	.	_	--	7

1	Gesegnet	Gesegnet	VVPP	segnen	_	PD	2
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	der	der	ART	d	nom|sg|masc	NK	4
4	Mann	Mann	NN	Mann	nom|sg|masc	SB	2
5	/	/	$,	/	_	--	4
6	der	der	PRELS	d	nom|sg|masc	SB	12
7	sein	sein	PPOSAT	sein	nom|sg|masc	NK	8
8	vertrawen	vertrauen	VVINF	vertrauen	acc|sg|neut	SB	12
9	auff	auf	APPR	auf	_	MO	12
10	den	den	ART	d	acc|sg|masc	NK	11
11	HErrn	Herrn	NN	Herr	acc|sg|masc	NK	9
12	setzt	setzt	VVFIN	setzen	sg|3|pres|ind	RC	4
13	.	.	SENT	.	_	--	12

1	DIe	DIe	ART	d	dat|sg|fem	NK	2
2	Sonn	Sonne	NN	Sonne	dat|sg|fem	DA	25
3	/	/	$,	/	_	--	2
4	das	das	ART	d	nom|sg|neut	NK	5
5	Fewer	Feuer	NN	Feuer	acc|sg|neut	SB	25
6	/	/	$,	/	_	--	5
7	der	der	ART	d	nom|sg|masc	NK	8
8	Diemant	Diemant	NN	Diamant	nom|sg|masc	CJ	5
9	/	/	$,	/	_	--	8
10	das	das	ART	d	acc|sg|neut	NK	11
11	Golt	Gold	NN	Gold	nom|sg|neut	CJ	8
12	/	/	$,	/	_	--	11
13	der	der	ART	d	nom|sg|masc	NK	14
14	Cederbaum	Cederbaum	NN	Zederbaum	nom|sg|masc	CJ	11
15	/	/	$,	/	_	--	14
16	die	die	ART	d	acc|sg|fem	NK	17
17	Rose	Rose	NN	Rose	acc|sg|fem	CJ	14
18	/	/	$,	/	_	--	17
19	der	der	ART	d	nom|sg|masc	NK	20
20	Adler	Adler	NN	Adler	nom|sg|masc	CJ	17
21	/	/	$,	/	_	--	20
22	der	der	ART	d	gen|sg|fem	NK	23
23	Loͤw	Löwe	NN	Löwe	nom|sg|masc	APP	20
24	/	/	$,	/	_	--	23
25	has	hast	VAFIN	haben	sg|2|pres|ind	--	0
26	Hertz	Herz	NN	Herz	nom|sg|neut	SB	31
27	/	/	$,	/	_	--	26
28	der	der	ART	d	nom|sg|masc	NK	29
29	General	General	NN	General	nom|sg|masc	CJ	26
30	/	/	$,	/	_	--	29
31	haben	haben	VAFIN	haben	pl|3|pres|ind	OC	25
32	in	in	APPR	in	_	MO	31
33	der	der	ART	d	dat|sg|fem	NK	34
34	Wuͤrdigkeit	Würdigkeit	NN	Würdigkeit	dat|sg|fem	NK	32
35	das	das	ART	d	nom|sg|neut	NK	36
36	hoͤchste	höchste	NA	Höchste	nom|sg|neut|sup	OA	31
37	/	/	$,	/	_	--	36
38	in	in	APPR	in	_	MNR	36
39	der	der	ART	d	dat|sg|fem	NK	40
40	Herrlichkeit	Herrlichkeit	NN	Herrlichkeit	dat|sg|fem	NK	38
41	das	das	ART	d	acc|sg|neut	NK	42
42	beste	beste	NA	Beste	acc|sg|neut|sup	MO	36
43	/	/	$,	/	_	--	42
44	in	in	APPR	in	_	MO	36
45	den	den	ART	d	dat|pl|fem	NK	46
46	Ehren	Ehren	NN	Ehre	dat|pl|fem	NK	44
