

1	Andaͤchtige	Andächtige	ADJD	Andächtige	nom|pl|*	--	0
2	in	in	APPR	in	_	MNR	1
3	dem	dem	ART	d	dat|sg|masc	NK	4
4	HErrn	Herrn	NN	Herr	dat|sg|masc	NK	2
5	JEsu	JEsu	NE	Jesus	nom|sg|neut	NK	4
6	!	!	SENT	!	_	--	5

1	IN	in	APPR	in	_	MO	6
2	dem	dem	ART	d	dat|sg|neut	NK	5
3	gantzen	ganzen	ADJA	ganz	dat|sg|neut|pos	NK	5
4	27.	27.	CARD	@ord@	dat|sg|masc|pos	NK	5
5	Psalm	Psalm	NN	Psalm	dat|sg|masc	NK	1
6	handelt	handelt	VVFIN	handeln	sg|3|pres|ind	--	0
7	und	und	KON	und	_	CD	6
8	redet	redet	VVFIN	reden	sg|3|pres|ind	CJ	7
9	David	David	NE	David	nom|sg|masc	SB	8
10	als	als	KON	als	_	MO	8
11	einer	einer	PIS	ein	nom|sg|masc	NK	10
12	der	der	ART	d	dat|sg|fem	SB	17
13	von	von	APPR	von	_	SBP	16
14	den	den	ART	d	dat|pl|masc	NK	15
15	Feinden	Feinden	NN	Feind	dat|pl|masc	NK	13
16	angefochten	angefochten	VVPP	anfechten	_	OC	17
17	wird	wird	VAFIN	werden	sg|3|pres|ind	RC	11
18	/	/	$,	/	_	--	17
19	darwider	dawider	PAV	dawider	_	MO	20
20	kaͤmpffet	kämpfet	VVFIN	kämpfet	sg|3|pres|ind	CJ	8
21	und	und	KON	und	_	CD	20
22	streitet	streitet	VVFIN	streiten	sg|3|pres|ind	CJ	21
23	/	/	$,	/	_	--	22
24	sich	sich	PRF	er|es|sie	acc|sg|3	OA	28
25	darbey	dabei	PAV	dabei	_	MO	28
26	des	des	ART	d	gen|sg|masc	NK	27
27	Sieges	Sieges	NN	Sieg	gen|sg|masc	OG	28
28	versichert	versichert	VVPP	versichern	sg|3|pres|ind	OC	22
29	/	/	$,	/	_	--	28
30	auch	auch	ADV	auch	_	MO	32
31	die	die	ART	d	acc|pl|neut	NK	32
32	Mittel	Mittel	NN	Mittel	acc|pl|neut	OA	22
33	/	/	$,	/	_	--	32
34	den	den	ART	d	acc|sg|masc	NK	35
35	Kampff	Kampf	NN	Kampf	acc|sg|masc	OA	40
36	und	und	KON	und	_	CD	35
37	Streit	Streit	NN	Streit	acc|sg|masc	CJ	36
38	recht	Recht	NN	Recht	acc|sg|neut	NK	35
39	zu	zu	PTKZU	zu	_	PM	40
40	halten	halten	VVINF	halten	_	OC	32
41	/	/	$,	/	_	--	40
42	und	und	KON	und	_	CD	40
43	den	den	ART	d	acc|sg|masc	NK	44
44	Sieg	Sieg	NN	Sieg	acc|sg|masc	OA	47
45	darvon	davon	PAV	davon	_	MO	47
46	zu	zu	PTKZU	zu	_	PM	47
47	bringen	bringen	VVINF	bringen	_	CJ	42
48	/	/	$,	/	_	--	47
49	wohl	wohl	ADV	wohl	_	MO	50
50	gebrauchet	gebrauchet	VVPP	gebrauchen	pos	MO	47
51	/	/	$,	/	_	--	50
52	sonderlich	sonderlich	ADJD	sonderlich	pos	MO	53
53	gedencket	gedenket	VVFIN	gedenken	sg|3|pres|ind	PAR	50
54	er	er	PPER	er	nom|sg|masc|3	SB	53
55	des	des	ART	d	gen|sg|neut	NK	56
56	Glaubens	Glaubens	NN	Glaube	gen|sg|masc	OG	53
57	/	/	$,	/	_	--	56
58	als	als	KOKOM	als	_	MO	53
59	des	des	ART	d	gen|sg|masc	NK	61
60	vornehmsten	vornehmsten	ADJA	vornehm	gen|sg|masc|pos	NK	61
61	Werckzeugs	Werkzeugs	NN	Werkzeugs	gen|sg|masc	NK	58
62	/	/	$,	/	_	--	61
63	womit	womit	PWAVREL	womit	_	MO	65
64	wohl	wohl	ADV	wohl	_	MO	65
65	gekaͤmpffet	gekämpft	VVPP	kämpfen	_	OC	68
66	und	und	KON	und	_	CD	65
67	gesieget	gesiegt	VVPP	gesiegt	_	CJ	66
68	wird	wird	VAFIN	werden	sg|3|pres|ind	RE	45
69	/	/	$,	/	_	--	68
70	in	in	APPR	in	_	MO	47
71	unsern	unseren	PPOSAT	unser	dat|pl|masc	NK	72
72	Text-Worten	Text-Worten	NN	Text-Worten	dat|pl|masc	NK	70
73	;	;	SENT	;	_	--	72

1	Nach	Nach	APPR	Nach	_	MO	5
2	welchen	welchen	PWAT	welch	pl|1|pres|ind	NK	1
3	wir	wir	PPER	wir	nom|pl|*|1	SB	5
4	vorstellen	vorstellen	VVFIN	vorstellen	_	OC	5
5	wollen	wollen	VMFIN	wollen	pl|1|pres|ind	--	0
6	des	des	ART	d	gen|sg|masc	NK	7
7	Glaubens	Glaubens	NN	Glaube	gen|sg|masc	AG	8
8	Kampff	Kampf	NN	Kampf	nom|sg|masc	SB	18
9	und	und	KON	und	_	CD	8
10	Sieg	Sieg	NN	Sieg	nom|sg|masc	CJ	9
11	wider	wider	APPR	wider	_	MNR	8
12	alle	alle	PIAT	all	acc|sg|fem	NK	13
13	Anfechtung	Anfechtung	NN	Anfechtung	acc|sg|fem	NK	11
14	/	/	$,	/	_	--	13
