

1	III.	III.	CARD	3	*|*|*	PNC	2
2	PARS	PARS	NE	PARS	nom|sg|*	--	0
3	.	.	SENT	.	_	--	2

1	Was	Was	PWS	was	acc|sg|neut	SB	10
2	nun	nun	ADV	nun	_	MO	10
3	das	das	ART	d	acc|sg|neut	NK	4
4	Dritte	Dritte	ADJA	dritt	acc|sg|neut	OA	10
5	oder	oder	KON	oder	_	CD	4
6	den	den	ART	d	acc|sg|masc	NK	7
7	Liebes-Zug	Liebes-Zug	NN	Liebes-Zug	acc|sg|masc	CJ	5
8	JEsu	JEsu	NE	Jesus	nom|sg|*	NK	7
9	selbst	selbst	PRF	selbst	_	MNR	1
10	anlangt	anlangt	VVFIN	anlangen	sg|3|pres|ind	MO	20
11	/	/	$,	/	_	--	10
12	so	so	ADV	so	_	MO	13
13	wird	wird	VAFIN	werden	sg|3|pres|ind	--	0
14	derselbe	derselbe	PDS	derselbe	_	MO	15
15	ausgedruckt	ausgedrückt	VVPP	ausdrücken	_	OC	13
16	durch	durch	APPR	durch	_	MO	20
17	die	die	ART	d	acc|pl|neut	NK	18
18	Worte	Worte	NN	Wort	acc|pl|neut	NK	16
19	/	/	$,	/	_	--	18
20	erscheinen	erscheinen	VVFIN	erscheinen	pl|3|pres|ind	RE	12
21	und	und	KON	und	_	CD	13
22	ziehen	ziehen	VVFIN	ziehen	_	CJ	21
23	:	:	SENT	:	_	--	22

1	Der	Der	ART	d	nom|sg|masc	NK	2
2	HErr	Herr	NN	Herr	nom|sg|masc	SB	3
3	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
4	mir	mir	PPER	ich	dat|sg|*|1	DA	5
5	erschienen	erschienen	VVPP	erscheinen	_	OC	3
6	;	;	SENT	;	_	--	5

1	Ich	Ich	PPER	ich	nom|sg|*|1	SB	2
2	habe	habe	VAFIN	haben	sg|1|pres|ind	--	0
3	dich	dich	PPER	du	acc|sg|*|2	OA	4
4	gezogen	gezogen	VVPP	ziehen	_	OC	2
5	.	.	SENT	.	_	--	4

1	Von	Von	APPR	von	_	MO	10
2	dem	dem	ART	d	dat|sg|neut	NK	3
3	Erscheinen	Erscheinen	NN	erscheinen	dat|sg|neut	NK	1
4	des	des	ART	d	gen|sg|masc	NK	5
5	HErrn	Herrn	NN	Herr	gen|sg|masc	AG	3
6	zu	zu	APPR	zu	_	MO	10
7	erst	erst	ADV	erst	_	MO	8
8	etwas	etwas	PIS	etwas	_	NK	6
9	zu	zu	PTKZU	zu	_	PM	10
10	lallen	lallen	VVINF	lallen	_	RE	12
11	/	/	$,	/	_	--	10
12	so	so	ADV	so	_	MO	22
13	hat	hat	VAFIN	haben	sg|3|pres|ind	--	0
14	ein	ein	ART	ein	nom|sg|neut	NK	16
15	frommes	frommes	ADJA	frommes	nom|sg|neut|pos	NK	16
16	Hertz	Herz	NN	Herz	nom|sg|neut	SB	13
17	wohl	wohl	ADV	wohl	_	MO	13
18	Ursach	Ursache	NN	Ursache	nom|sg|fem	OA	13
19	/	/	$,	/	_	--	18
20	sich	sich	PRF	er|es|sie	acc|sg|3	OA	22
21	zu	zu	PTKZU	zu	_	PM	22
22	verwundern	verwundern	VVINF	verwundern	_	OC	13
23	/	/	$,	/	_	--	22
24	daß	daß	KOUS	daß	_	CP	45
25	die	die	ART	d	nom|sg|fem	NK	26
26	Welt	Welt	NN	Welt	nom|sg|fem	SB	45
27	/	/	$,	/	_	--	26
28	die	die	PRELS	d	nom|sg|fem	SB	42
29	sich	sich	PRF	er|es|sie	acc|sg|3	OA	42
30	des	des	ART	d	gen|sg|masc	NK	31
31	Namens	Namens	NN	Name	gen|sg|masc	AG	26
32	CHristi	CHristi	NE	Christus	nom|sg|*	PNC	33
33	ruͤhmet	rühmet	VVFIN	rühmen	nom|sg|fem	NK	31
34	/	/	$,	/	_	--	33
