

1	2.	2.	CARD	@ord@	_	--	0

1	Die	Die	ART	d	nom|sg|fem	NK	2
2	Schaͤndlichkeit	Schändlichkeit	NN	Schändlichkeit	nom|sg|fem	SB	7
3	des	des	ART	d	gen|sg|masc	NK	4
4	Lasters	Lasters	NN	Lasters	gen|sg|masc	AG	2
5	der	der	ART	d	gen|sg|fem	NK	6
6	Undankbarkeit	Undankbarkeit	NN	Undankbarkeit	gen|sg|fem	AG	4
7	muß	muß	VMFIN	müssen	sg|3|pres|ind	--	0
8	jedem	jedem	PIS	jed	dat|sg|masc	NK	12
9	nicht	nicht	PTKNEG	nicht	_	NG	10
10	ganz	ganz	ADV	ganz	_	MO	11
11	verdorbenen	verdorbenen	ADJA	verdorbenen	dat|pl|masc|pos	NK	12
12	Menschen	Menschen	NN	Mensch	dat|pl|masc	OA	15
13	von	von	APPR	von	_	MO	15
14	selbst	selbst	PRF	selbst	_	NK	13
15	einleuchten	einleuchten	VVINF	einleuchten	_	OC	7
16	.	.	SENT	.	_	--	15

1	Gott	Gott	NE	Gott	nom|sg|masc	SB	3
2	selbst	selbst	ADV	selbst	_	MNR	1
3	hat	hat	VAFIN	haben	sg|3|pres|ind	--	0
4	die	die	ART	d	nom|sg|fem	NK	5
5	Triebe	Triebe	NN	Trieb	nom|sg|fem	SB	3
6	der	der	ART	d	gen|sg|fem	NK	7
7	Dankbarkeit	Dankbarkeit	NN	Dankbarkeit	gen|sg|fem	AG	5
8	gleichsam	gleichsam	ADV	gleichsam	pos	MO	12
9	in	in	APPR	in	_	MO	12
10	unsre	unsre	PPOSAT	unser	acc|sg|fem|pos	NK	11
11	Natur	Natur	NN	Natur	acc|sg|fem	NK	9
12	gelegt	gelegt	VVPP	legen	_	OC	3
13	.	.	SENT	.	_	--	12

1	Daher	Daher	ADV	daher	_	MO	2
2	bemerkt	bemerkt	VVFIN	bemerken	sg|3|pres|ind	--	0
3	man	man	PIS	man	nom|sg|*	SB	2
4	schon	schon	ADV	schon	_	MO	5
5	an	an	APPR	an	_	MO	2
6	den	den	ART	d	dat|pl|neut	NK	8
7	kleinsten	kleinsten	ADJA	klein	dat|pl|neut|sup	NK	8
8	Kindern	Kindern	NN	Kind	dat|pl|neut	NK	5
9	,	,	$,	,	_	--	8
10	ehe	ehe	KOUS	ehe	_	CP	15
11	sich	sich	PRF	er|es|sie	acc|sg|3	OA	15
12	noch	noch	ADV	noch	_	MO	15
13	ihre	ihre	PPOSAT	ihr	acc|sg|fem	NK	14
14	Vernunft	Vernunft	NN	Vernunft	nom|sg|fem	SB	15
15	anfaͤngt	anfängt	VVFIN	anfangen	sg|3|pres|ind	MO	2
16	zu	zu	PTKZU	zu	_	PM	17
17	entwickeln	entwickeln	VVINF	entwickeln	_	OC	15
18	,	,	$,	,	_	--	17
19	daß	daß	KOUS	daß	_	CP	51
20	sie	sie	PPER	Sie	nom|pl|*|3	SB	51
21	ihre	ihre	PPOSAT	ihr	acc|sg|fem	NK	22
22	Liebe	Liebe	NN	Liebe	acc|sg|fem	OA	51
23	und	und	KON	und	_	CD	22
24	ihre	ihre	PPOSAT	ihr	acc|sg|fem	NK	25
25	Dankbarkeit	Dankbarkeit	NN	Dankbarkeit	acc|sg|fem	CJ	23
26	gegen	gegen	APPR	gegen	_	MNR	25
27	ihre	ihre	PPOSAT	ihr	acc|pl|masc	NK	28
28	Muͤtter	Mütter	NN	Mutter	acc|pl|masc	NK	26
29	,	,	$,	,	_	--	28
30	gegen	gegen	APPR	gegen	_	CJ	26
31	ihre	ihre	PPOSAT	ihr	acc|pl|fem	NK	32
32	Waͤrterinnen	Wärterinnen	NN	Wärterinnen	acc|pl|fem	NK	30
33	und	und	KON	und	_	CD	30
34	gegen	gegen	APPR	gegen	_	CJ	33
35	andere	andere	ADJA	ander	acc|pl|fem|pos	NK	36
36	Personen	Personen	NN	Person	acc|pl|fem	NK	34
37	,	,	$,	,	_	--	36
38	die	die	PRELS	d	acc|pl|fem	SB	43
39	es	es	PPER	es	nom|sg|neut|3	OA	43
40	gut	gut	ADJD	gut	pos	MO	43
41	mit	mit	APPR	mit	_	MO	43
42	ihnen	ihnen	PPER	sie	dat|pl|*|3	NK	41
43	meynen	meinen	PPOSAT	mein	pl|3|pres|ind	RC	36
44	,	,	$,	,	_	--	43
45	nach	nach	APPR	nach	_	MO	51
46	ihrer	ihrer	PPOSAT	ihr	dat|sg|fem	NK	47
47	Art	Art	NN	Art	dat|sg|fem	NK	45
48	an	an	APPR	an	_	MO	51
49	den	den	ART	d	acc|sg|masc	NK	50
50	Tag	Tag	NN	Tag	acc|sg|masc	NK	48
51	legen	legen	VVINF	legen	_	OC	17
52	.	.	SENT	.	_	--	51

1	Unter	Unter	APPR	unter	_	MO	20
2	allen	allen	PIAT	all	dat|pl|masc	NK	1
3	,	,	$,	,	_	--	2
4	auch	auch	ADV	auch	_	MO	5
5	unter	unter	APPR	unter	_	MO	20
6	den	den	ART	d	dat|pl|fem	NK	8
7	wildesten	wildesten	ADJA	wildesten	dat|pl|neut|pos	NK	8
8	Voͤlkern	Völkern	NN	Volk	dat|pl|neut	NK	5
9	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
10	der	der	ART	d	nom|sg|masc	NK	11
11	Undank	Undank	NN	Undank	nom|sg|masc	SB	9
12	stets	stets	ADV	stets	_	MO	20
13	fuͤr	für	APPR	für	_	MO	20
14	eines	eines	ART	ein	acc|sg|neut	NK	13
15	der	der	ART	d	gen|pl|neut	NK	19
16	unnatuͤrlichsten	unnatürlichsten	ADJA	unnatürlichsten	gen|pl|neut|sup	NK	19
17	und	und	KON	und	_	CD	16
18	schaͤndlichsten	schändlichsten	ADJA	schändlichsten	gen|pl|neut|sup	CJ	17
19	Laster	Laster	NN	Laster	nom|pl|masc	AG	14
20	gehalten	gehalten	VVPP	halten	_	OC	21
21	worden	worden	VAPP	werden	_	OC	9
22	;	;	SENT	;	_	--	21

1	und	und	KON	und	_	JU	5
2	manche	manche	PIAT	manch	nom|pl|masc	NK	4
3	heidnische	heidnische	ADJA	heidnisch	nom|pl|masc|pos	NK	4
4	Sittenlehrer	Sittenlehrer	NN	Sittenlehrer	nom|pl|masc	SB	5
5	sind	sind	VAFIN	sein	pl|3|pres|ind	--	0
6	sogar	sogar	ADV	sogar	_	MO	9
7	der	der	ART	d	dat|sg|fem	NK	8
8	Meynung	Meinung	NN	Meinung	dat|sg|fem	MO	9
9	gewesen	gewesen	VAPP	sein	_	OC	5
10	,	,	$,	,	_	--	9
11	daß	daß	KOUS	daß	_	CP	17
12	es	es	PPER	es	nom|sg|neut|3	SB	17
13	vor	vor	APPR	vor	_	MO	16
14	Gericht	Gericht	NN	Gericht	dat|sg|neut	NK	13
15	zu	zu	PTKZU	zu	_	PM	16
16	bestrafen	bestrafen	VVINF	bestrafen	_	OC	17
17	sey	sei	VAFIN	sein	sg|3|pres|subj	OC	8
18	.	.	SENT	.	_	--	17

1	Auch	Auch	ADV	auch	_	MO	4
2	sogar	sogar	ADV	sogar	_	MO	4
3	unvernuͤnftige	unvernünftige	ADJA	unvernünftige	nom|pl|masc|pos	NK	4
4	Thiere	Tier	NN	Tier	nom|pl|masc	SB	5
5	pflegen	pflegen	VVFIN	pflegen	pl|3|pres|ind	--	0
6	durch	durch	APPR	durch	_	MO	5
7	Geberden	Gebärden	NN	Gebärde	acc|pl|fem	NK	6
8	und	und	KON	und	_	CD	7
9	Schmeicheleyen	Schmeicheleien	NN	Schmeichelei	acc|pl|fem	CJ	8
10	eine	eine	ART	ein	acc|sg|fem	NK	12
11	gewisse	gewisse	ADJA	gewiß	acc|sg|fem|pos	NK	12
12	Art	Art	NN	Art	acc|sg|fem	OA	5
13	von	von	APPR	von	_	PG	12
14	Dankbarkeit	Dankbarkeit	NN	Dankbarkeit	dat|sg|fem	NK	13
15	gegen	gegen	APPR	gegen	_	MNR	14
16	diejenigen	diejenigen	PDS	derjenige	*|*|fem	NK	15
17	an	an	APPR	an	_	MO	21
18	den	den	ART	d	acc|sg|masc	NK	19
19	Tag	Tag	NN	Tag	acc|sg|masc	NK	17
20	zu	zu	PTKZU	zu	_	PM	21
21	legen	legen	VVINF	legen	_	OC	12
22	,	,	$,	,	_	--	21
23	von	von	APPR	von	_	MO	35
24	welchen	welchen	PRELS	welch	dat|pl|masc	NK	23
25	sie	sie	PPER	Sie	nom|sg|fem|3	SB	23
26	ihr	ihr	PPOSAT	ihr	acc|sg|neut	NK	27
27	Futter	Futter	NN	Futter	acc|sg|neut	OA	35
28	,	,	$,	,	_	--	27
29	oder	oder	KON	oder	_	CD	27
30	eine	eine	ART	ein	nom|sg|fem	NK	32
31	andere	andere	ADJA	ander	nom|sg|fem|pos	NK	32
32	Art	Art	NN	Art	nom|sg|fem	CJ	29
33	der	der	ART	d	gen|sg|fem	NK	34
34	Huͤlfe	Hilfe	NN	Hilfe	gen|sg|fem	AG	32
35	empfangen	empfangen	VVPP	empfangen	_	RC	16
36	.	.	SENT	.	_	--	35

1	Wie	Wie	PWAV	wie	_	MO	3
2	aͤußerst	äußerst	ADV	äußerst	_	MO	3
3	verdorben	verdorben	VVPP	verderben	_	OC	7
4	,	,	$,	,	_	--	3
5	wie	wie	KOKOM	wie	_	MO	6
6	tief	tief	ADJD	tief	pos	MO	11
7	muß	muß	VMFIN	müssen	sg|3|pres|ind	--	0
8	nicht	nicht	PTKNEG	nicht	_	NG	7
9	ein	ein	ART	ein	nom|sg|masc	NK	10
10	Mensch	Mensch	NN	Mensch	nom|sg|masc	SB	7
11	gesunken	gesunken	VVPP	sinken	_	OC	12
12	seyn	sein	VAINF	sein	_	OC	7
13	,	,	$,	,	_	--	12
14	wenn	wenn	KOUS	wenn	_	CP	20
15	er	er	PPER	er	nom|sg|masc|3	SB	20
16	dieses	dieses	PDAT	dies	acc|sg|neut	NK	18
17	natuͤrliche	natürliche	ADJA	natürlich	acc|sg|neut|pos	NK	18
18	Gefuͤhl	Gefühl	NN	Gefühl	acc|sg|neut	OA	20
19	ganz	ganz	ADV	ganz	_	MO	20
20	unterdruͤckt	unterdrückt	VVPP	unterdrücken	_	MO	7
21	!	!	SENT	!	_	--	20

1	Kann	Kann	VMFIN	können	sg|3|pres|ind	--	0
2	sich	sich	PRF	er|es|sie	acc|sg|3	OA	8
3	denn	denn	ADV	denn	_	MO	1
4	wohl	wohl	ADV	wohl	_	MO	1
5	ein	ein	ART	ein	nom|sg|masc	NK	7
6	solcher	solcher	PIAT	solch	nom|sg|masc	NK	7
7	Mensch	Mensch	NN	Mensch	nom|sg|masc	SB	8
8	ruͤhmen	rühmen	VVINF	rühmen	_	OC	1
9	,	,	$,	,	_	--	8
10	Gefuͤhl	Gefühl	NN	Gefühl	acc|sg|neut	OA	19
11	fuͤr	für	APPR	für	_	MNR	10
12	Gott	Gott	NE	Gott	acc|sg|masc	NK	11
13	,	,	$,	,	_	--	12
14	fuͤr	für	APPR	für	_	CJ	11
15	Religion	Religion	NN	Religion	acc|sg|fem	NK	14
16	und	und	KON	und	_	CD	15
17	Tugend	Tugend	NN	Tugend	acc|sg|fem	CJ	16
18	zu	zu	PTKZU	zu	_	PM	19
19	haben	haben	VAINF	haben	_	OC	7
20	?	?	SENT	?	_	--	19

1	Muß	Muß	VMFIN	müssen	sg|3|pres|ind	--	0
2	er	er	PPER	er	nom|sg|masc|3	SB	1
3	nicht	nicht	PTKNEG	nicht	_	NG	1
4	zu	zu	APPR	zu	_	MO	8
5	allen	allen	PIAT	all	dat|pl|masc	NK	7
6	moͤglichen	möglichen	ADJA	möglich	dat|pl|masc|pos	NK	7
7	Lastern	Lastern	NN	Laster	dat|pl|masc	NK	4
8	aufgelegt	aufgelegt	VVPP	auflegen	_	PD	9
9	seyn	sein	VAINF	sein	_	OC	1
10	?	?	SENT	?	_	--	9

1	Schon	Schon	ADV	schon	_	MO	2
2	hieraus	hieraus	PAV	daraus	_	MO	3
3	erhellet	erhellet	VVFIN	erhellen	_	--	0
4	,	,	$,	,	_	--	3
5	daß	daß	KOUS	daß	_	CP	16
6	das	das	ART	d	nom|sg|neut	NK	7
7	Laster	Laster	NN	Laster	nom|sg|neut	SB	16
8	der	der	ART	d	gen|sg|fem	NK	9
9	Undankbarkeit	Undankbarkeit	NN	Undankbarkeit	gen|sg|fem	AG	7
10	in	in	APPR	in	_	MNR	9
11	Gottes	Gottes	NE	Gott	gen|sg|masc	AG	12
12	Augent	Augent	NN	Augent	nom|sg|masc	NK	10
13	hoͤchst	höchst	ADV	höchst	_	MO	14
14	strafwuͤrdig	strafwürdig	ADJD	strafwürdig	pos	PD	15
15	seyn	sein	VAINF	sein	_	OC	16
16	muß	muß	VMFIN	müssen	sg|3|pres|ind	OC	3
17	.	.	SENT	.	_	--	16

1	Es	Es	PPER	es	nom|sg|neut|3	PH	2
2	kommen	kommen	VVFIN	kommen	pl|3|pres|ind	--	0
3	aber	aber	ADV	aber	_	MO	2
4	auch	auch	ADV	auch	_	MO	7
5	noch	noch	ADV	noch	_	MO	2
6	andere	andere	ADJA	ander	acc|pl|fem|pos	NK	7
7	Ursachen	Ursachen	NN	Ursache	acc|pl|fem	SB	2
8	hinzu	hinzu	PTKVZ	hinzu	_	SVP	2
9	,	,	$,	,	_	--	8
10	wodurch	wodurch	PWAVREL	wodurch	_	MO	14
11	die	die	ART	d	nom|sg|fem	NK	12
12	Strafbarkeit	Strafbarkeit	NN	Strafbarkeit	nom|sg|fem	SB	15
13	desselben	desselben	PDS	derselbe	gen|sg|neut	AG	12
14	vermehrt	vermehrt	ADJD	vermehrt	_	OC	15
15	wird	wird	VAFIN	werden	sg|3|pres|ind	RC	7
16	.	.	SENT	.	_	--	15

1	Der	Der	ART	d	nom|sg|masc	NK	2
2	Undankbare	Undankbare	NN	Undankbare	dat|sg|fem	DA	3
3	begeht	begeht	VVFIN	begeht	sg|3|pres|ind	--	0
4	naͤmlich	nämlich	ADV	nämlich	_	MO	3
5	eine	eine	ART	ein	acc|sg|fem	NK	8
6	sehr	sehr	ADV	sehr	_	MO	7
7	große	große	ADJA	groß	acc|sg|fem|pos	NK	8
8	Ungerechtigkeit	Ungerechtigkeit	NN	Ungerechtigkeit	acc|sg|fem	OA	3
9	gegen	gegen	APPR	gegen	_	MNR	8
10	seine	seine	PPOSAT	sein	acc|pl|masc	NK	11
11	Wohlthaͤter	Wohltäter	NN	Wohltäter	acc|pl|masc	NK	9
12	,	,	$,	,	_	--	11
13	und	und	KON	und	_	CD	3
14	verursacht	verursacht	VVFIN	verursachen	pl|2|imp	CJ	13
15	ihnen	ihnen	PPER	sie	dat|pl|*|3	DA	14
16	die	die	ART	d	acc|pl|masc	NK	18
17	allerempfindlichsten	allerempfindlichsten	ADJA	allerempfindlichsten	acc|pl|fem|sup	NK	18
18	Kraͤnkungen	Kränkungen	NN	Kränkung	acc|pl|fem	OA	14
19	.	.	SENT	.	_	--	18

1	Nach	Nach	APPR	Nach	_	MO	6
2	der	der	ART	d	dat|sg|fem	NK	3
3	Vorschrift	Vorschrift	NN	Vorschrift	dat|sg|fem	NK	1
4	des	des	ART	d	gen|sg|neut	NK	5
5	Christenthums	Christentums	NN	Christentum	gen|sg|neut	AG	3
6	sind	sind	VAFIN	sein	pl|1|pres|ind	--	0
7	wir	wir	PPER	wir	nom|pl|*|1	SB	6
8	allen	allen	PIAT	all	dat|pl|masc	NK	9
9	Menschen	Menschen	NN	Mensch	dat|pl|masc	DA	19
10	,	,	$,	,	_	--	9
11	sogar	sogar	ADV	sogar	_	MO	15
12	auch	auch	ADV	auch	_	MO	15
13	unsern	unseren	PPOSAT	unser	dat|pl|fem	NK	15
14	aͤrgsten	ärgsten	ADJD	arg	dat|pl|fem|sup	NK	15
15	Feinden	Feinden	NN	Feind	dat|pl|masc	APP	9
16	Liebe	Liebe	NN	Liebe	acc|sg|fem	NK	15
17	und	und	KON	und	_	CD	16
